Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","For Use With/Related Products"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/SEN-14678_Web.pdf,-,SEN-14678-ND,SEN-14678,SparkFun Electronics,PIXY2 CMUCAM5,0,0,"73.75000","0","1","Pixy2","Active","Vision Sensor","Arduino"
http://www.globalspecialties.com/media/k2/attachments/PB-4_datasheet.pdf,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_PB-4.jpg,BKPB-4-ND,PB-4,Global Specialties,SOCKET PLATE FOR PB-505/PB-506,0,0,"90.65000","0","1","-","Active","-","PB-505, PB506"
//media.digikey.com/pdf/Data%20Sheets/Parallax%20PDFs/700-10027_Web.pdf,//media.digikey.com/Photos/Parallax%20Photos/MFG_700-10027.jpg,700-10027-ND,700-10027,Parallax Inc.,"NETTING, 50'X25', 2"" MESH",0,0,"93.75000","0","1","-","Active","Netting","-"
https://cdn.sparkfun.com/assets/0/6/a/8/9/MWMobile2TransitionDoc.pdf,-,SEN-14758-ND,SEN-14758,SparkFun Electronics,NEUROSKY MINDWAVE MOBILE 2,0,0,"124.94000","0","1","MindWave Mobile 2","Active","Headset","-"
http://www.globalspecialties.com/programmable-robotics/assembled-robots/download/1568_9099ef9c54b43c1c2dc33a21a1d83368.html,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_RP6V2-WIFI.jpg,RP6V2-WIFI-ND,RP6V2-WIFI,Global Specialties,RP6V2 WIFI MODULE,0,0,"200.00000","0","1","-","Active","WiFi Module","RP6V2 Robot"
http://image.dfrobot.com/image/data/DFR0234/IV-18+VFD+tube+Clock+Manual+EN+v1.2.0.pdf,-,DFR0234-ND,DFR0234,DFRobot,VFD TUBE TIME CLOCK 8-DIGIT,0,0,"207.33000","0","1","-","Active","VFD Clock","-"
https://cdn-shop.adafruit.com/product-files/2504/Perstorp_CAPA_6800_PDS.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2504.jpg,1528-2260-ND,2504,Adafruit Industries LLC,HAND-MOLDABLE PLASTIC - LOW TEMP,0,0,"4.95000","0","1","-","Active","Instamorph","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/389_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_389.jpg,1528-2540-ND,389,Adafruit Industries LLC,MINI REMOTE CONTROL,0,0,"4.95000","0","1","-","Active","Infrared Remote Control","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/4134_Web.pdf,-,1528-2910-ND,4134,Adafruit Industries LLC,THERMOCHROMIC PIGMENT - BLACK -,0,0,"4.95000","0","1","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/4135_Web.pdf,-,1528-2911-ND,4135,Adafruit Industries LLC,THERMOCHROMIC PIGMENT - RED - 10,0,0,"4.95000","0","1","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/4136_Web.pdf,-,1528-2912-ND,4136,Adafruit Industries LLC,THERMOCHROMIC PIGMENT - ORANGE -,0,0,"4.95000","0","1","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/4137_Web.pdf,-,1528-2913-ND,4137,Adafruit Industries LLC,THERMOCHROMIC PIGMENT - YELLOW -,0,0,"4.95000","0","1","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/4138_Web.pdf,-,1528-2914-ND,4138,Adafruit Industries LLC,THERMOCHROMIC PIGMENT - GREEN -,0,0,"4.95000","0","1","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/4139_Web.pdf,-,1528-2915-ND,4139,Adafruit Industries LLC,THERMOCHROMIC PIGMENT - BLUE - 1,0,0,"4.95000","0","1","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/4140_Web.pdf,-,1528-2916-ND,4140,Adafruit Industries LLC,THERMOCHROMIC PIGMENT - PINK - 1,0,0,"4.95000","0","1","*","Active","-","-"
-,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_131.jpg,131-ND,131,Adafruit Industries LLC,SNES CONTROLLER,0,0,"5.00000","0","1","-","Active","Controller","Super Famicom, Super Nintendo"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1309_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1309.jpg,1528-2210-ND,1309,Adafruit Industries LLC,ITO (INDIUM TIN OXIDE) COATED PE,0,0,"9.95000","0","1","-","Active","ITO Coated Plastic","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/4123_Web.pdf,-,1528-2959-ND,4123,Adafruit Industries LLC,FLUORESCENT PIGMENT - PINK,0,0,"9.95000","0","1","-","Active","Fluorescent Pigment","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/4124_Web.pdf,-,1528-2960-ND,4124,Adafruit Industries LLC,FLUORESCENT PIGMENT - PURPLE,0,0,"9.95000","0","1","-","Active","Fluorescent Pigment","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/4125_Web.pdf,-,1528-2961-ND,4125,Adafruit Industries LLC,FLUORESCENT PIGMENT - GREEN,0,0,"9.95000","0","1","-","Active","Fluorescent Pigment","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/4126_Web.pdf,-,1528-2962-ND,4126,Adafruit Industries LLC,FLUORESCENT PIGMENT - YELLOW,0,0,"9.95000","0","1","-","Active","Fluorescent Pigment","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3698_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3698.jpg,1528-2510-ND,3698,Adafruit Industries LLC,CHIBI CLIP,0,0,"12.44000","0","1","Chibitronics ","Active","Clip","Chibi Chip"
-,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_102990037.jpg,102990037-ND,102990037,"Seeed Technology Co., Ltd",USB INFRARED TOY V2,0,0,"21.04000","0","2","-","Active","Infrared Remote Control","-"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/108100004_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_108100004.jpg,108100004-ND,108100004,"Seeed Technology Co., Ltd",MICRO HYDRO GENERATOR 3.6V,0,0,"25.50000","0","2","-","Active","Hydro Generator","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3739_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3739.jpg,1528-2584-ND,3739,Adafruit Industries LLC,FOOT PEDAL POTENTIOMETER,0,0,"26.95000","0","1","-","Active","Foot Switch","-"
https://cdn-learn.adafruit.com/downloads/pdf/timesquare-watch-kit.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1225.jpg,1528-1298-ND,1225,Adafruit Industries LLC,WATCH KIT BLUE DISP 8X8 MATRIX,0,0,"38.95000","0","1","TIMESQUARE","Active","Watch","-"
https://cdn-shop.adafruit.com/datasheets/CHmulticoin.jpg,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_787.jpg,787-ND,787,Adafruit Industries LLC,COIN ACCEPTOR PROGR 4COIN TYPE,0,0,"39.95000","0","1","-","Active","Coin Acceptor","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2936_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2936.jpg,1528-2502-ND,2936,Adafruit Industries LLC,POCKET SOCKET USB 5V 1 AMP OUTPU,0,0,"81.19000","0","1","-","Active","Hand Crank Generator","-"
