Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Main Purpose","Type","Specifications"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/Electro_Fashion.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2709.jpg,1927-1026-ND,2709,Kitronik Ltd.,"ELECTRO-FASHION, SLIDE SWITCH",111,0,"1.24000","0","1","-","Active","Human Interface","Slide Switch","0.71"" L x 0.33"" W (18.00mm x 8.50mm)"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/Electro_Fashion.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2708.jpg,1927-1025-ND,2708,Kitronik Ltd.,"ELECTRO-FASHION, PUSH BUTTON SWI",81,0,"1.24000","0","1","-","Active","Human Interface","Push Switch","0.71"" L x 0.33"" W (18.00mm x 8.50mm)"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/Electro_Fashion.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2701.jpg,1927-1024-ND,2701,Kitronik Ltd.,"ELECTRO-FASHION, SEWABLE COIN CE",169,0,"1.44000","0","1","-","Active","Power","Battery Holder","CR2032"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/Electro_Fashion.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2718.jpg,1927-1031-ND,2718,Kitronik Ltd.,SEWABLE MINIATURE COIN CELL HOLD,55,0,"1.44000","0","1","-","Active","Power","Battery Holder","CR1220"
https://www.kitronik.co.uk/pdf/2754_how_to_use_your_light_level_detector.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2754.jpg,1927-1043-ND,2754,Kitronik Ltd.,"ELECTRO-FASHION, LIGHT LEVEL DET",161,0,"1.78000","0","1","-","Active","Lighting","Sensor","-"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/Electro_Fashion.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2710.jpg,1927-1027-ND,2710,Kitronik Ltd.,"ELECTRO-FASHION, TILT SWITCH",80,0,"1.96000","0","1","-","Active","Human Interface","Tilt Switch","1.02"" L x 0.26"" W (26.00mm x 6.50mm)"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/2753_Web.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2753.jpg,1927-1042-ND,2753,Kitronik Ltd.,"ELECTRO-FASHION, LATCHING SWITCH",74,0,"2.09000","0","1","-","Active","Power","Latching Switch","0.79"" L x 0.79"" W (20.00mm x 20.00mm)"
https://www.kitronik.co.uk/pdf/2722_2724_2727_electro-fashion_conductive_thread_datasheet.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2724.jpg,1927-1036-ND,2724,Kitronik Ltd.,"ELECTRO-FASHION, CONDUCTIVE THRE",69,0,"2.17000","0","1","-","Active","Sewing","Conductive Thread","6.56' (2.00m)"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/Electro_Fashion.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2711.jpg,1927-1028-ND,2711,Kitronik Ltd.,"ELECTRO-FASHION, SWITCHED COIN C",66,0,"2.42000","0","1","-","Active","Power","Battery Holder with Switch","CR2032"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/2752_Web.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2752.jpg,1927-1041-ND,2752,Kitronik Ltd.,"ELECTRO-FASHION, LATCHING SWITCH",34,0,"2.81000","0","1","-","Active","Power","Battery Holder with Switch","CR2032"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/TEK007_Web.pdf,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_TEK007.jpg,1778-1163-ND,TEK007,Pimoroni Ltd,GHOSTLED,26,0,"3.14000","0","1","Teknikio","Active","Lighting","LED Orange","-"
https://www.kitronik.co.uk/pdf/2745_electro_fashion_sewable_buzzer_datasheet.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2745.jpg,1927-1039-ND,2745,Kitronik Ltd.,"ELECTRO-FASHION, SEWABLE BUZZER",64,0,"3.27000","0","1","-","Active","Audio","Buzzer","0.71"" L x 0.31"" W (18.00mm x 8.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/TEK004_Web.pdf,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_TEK004.jpg,1778-1160-ND,TEK004,Pimoroni Ltd,SEWABLE HEART LEDS,27,0,"3.97000","0","1","Teknikio","Active","Lighting","LED Pink","4 Pieces"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/2746_Web.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2746.jpg,1927-1040-ND,2746,Kitronik Ltd.,"ELECTRO-FASHION, SEWABLE 5MM LED",38,0,"4.25000","0","1","-","Active","Power","LED Holder","10 Pieces"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/Electro_Fashion.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2721.jpg,1927-1034-ND,2721,Kitronik Ltd.,"ELECTRO-FASHION, LIGHT SENSING C",46,0,"4.57000","0","1","-","Active","Sensor","Light","-"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/Electro_Fashion.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2719.jpg,1927-1032-ND,2719,Kitronik Ltd.,"ELECTRO-FASHION, FLASHER CONTROL",33,0,"6.27000","0","1","-","Active","Lighting","LED White","LED, Thread"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/Textiles_Crafts.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2740.jpg,1927-1037-ND,2740,Kitronik Ltd.,CONDUCTIVE HOOK & LOOP (VELCRO),33,0,"6.54000","0","1","-","Active","Sewing","Conductive Hook and Loop","3.94"" L x 0.98"" W (100.00mm x 25.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/5607_Web.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_5607.jpg,1927-1071-ND,5607,Kitronik Ltd.,E-TEXTILES KIT FOR THE BBC MICRO,40,0,"9.80000","0","1","-","Active","Lighting","LED","Board, LED, Thread"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-14631_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_DEV-14631.jpg,1568-1875-ND,DEV-14631,SparkFun Electronics,LILYPAD USB PLUS,22,0,"26.25000","0","1","LilyPad","Active","Sensor","Reed Switch","-"
https://www.kitronik.co.uk/pdf/Electro_fashion_sewable_LED_kits_web.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2715.jpg,1927-1029-ND,2715,Kitronik Ltd.,"ELECTRO-FASHION, DISCOVERY PACK",11,0,"28.10000","0","1","-","Active","Kit","Starter Pack","LED, Thread"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-14346_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_DEV-14346.jpg,1568-1724-ND,DEV-14346,SparkFun Electronics,LILYPAD PROTOSNAP PLUS,18,0,"39.95000","0","1","LilyPad","Active","MCU","ATmega32U4","ProtoSnap"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/COM2306_Web.pdf,-,COM2306-ND,COM2306,Pimoroni Ltd,CONDUCTIVE THREAD-3M,57,0,"2.38000","0","1","-","Active","Sewing","Conductive Thread","9.84' (3.00m)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1757_Web.pdf,"//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1755,-1756,-1757,-1758,-1792.jpg",1528-1527-ND,1757,Adafruit Industries LLC,ADAFRUIT LED SEQUINS,72,0,"3.95000","0","1","-","Active","Lighting","LED Blue","5 Pieces"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1981_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1981.jpg,1528-1334-ND,1981,Adafruit Industries LLC,FLORA UV INDEX SENSOR SI1145,43,0,"8.95000","0","1","Flora","Active","Sensor","Ultra Violet","SI1145"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1850_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1850.jpg,1528-1331-ND,1850,Adafruit Industries LLC,KIT GEMMA SEQUIN STARTER PACK,12,0,"17.95000","0","1","Gemma","Active","Kit","Starter Pack","MCU, LED, Battery Holder"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1657_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1657.jpg,1528-1324-ND,1657,Adafruit Industries LLC,KIT GEMMA STARTER PACK,58,0,"27.95000","0","1","Gemma","Active","Kit","Starter Pack","MCU, LED, Thread"
https://download.mikroe.com/documents/full-featured-boards/universal/hexiwear-workstation/hexiwear-workstation-manual.pdf,//media.digikey.com/Photos/MikroElektronika/MFG_MIKROE-3017.jpg,1471-2006-ND,MIKROE-3017,MikroElektronika,HEXIWEAR WORKSTATION,6,0,"100.98000","0","1","Hexiwear","Active","Interface","Workstation","Expansion Board"
https://learn.adafruit.com/downloads/pdf/getting-started-with-flora.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1458.jpg,1528-1319-ND,1458,Adafruit Industries LLC,FLORA SENSOR PACK WEARABLE,21,0,"64.95000","0","1","Flora","Obsolete","Kit","Starter Pack","MCU, LED, Sensors"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-13814_Web.pdf,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_DEV-13814.JPG,1568-1804-ND,DEV-13814,SparkFun Electronics,SMOOTH THREAD BOBBIN 12M (STAINL,25,0,"3.95000","0","1","-","Active","Sewing","Conductive Thread","39.37' (12m)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/COM-11289_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-11289.jpg,1568-1798-ND,COM-11289,SparkFun Electronics,HEATING PAD 5VDC 600MA 5X15CM,0,0,"4.95000","0","1","-","Active","Resistive Heating","Heating Pad","5.91"" L x 1.97"" W (150.00mm x 50.00mm)"
https://www.kitronik.co.uk/pdf/2716-conductive-fabric-riptop.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2716.jpg,1927-1030-ND,2716,Kitronik Ltd.,"CONDUCTIVE FABRIC, RIPSTOP",21,0,"14.70000","0","1","-","Active","Sewing","Conductive Fabric","13.00"" L x 12.00"" W (330.20mm x 304.80mm)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-09102_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_DEV-09102.jpg,1568-1537-ND,DEV-09102,SparkFun Electronics,LILYPAD PROTOBOARD SMALL,24,0,"1.50000","0","1","LilyPad","Active","Prototyping Board","Plated Through Hole","-"
