Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Title","Author(s)","Publisher","ISBN"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781680453744.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781680453744.jpg,1653-1047-ND,9781680453744,O'Reilly Media,LEARN ELECTRONICS WITH ARDUINO B,24,0,"24.99000","0","1","-","Active","Book","Learn Electronics with Arduino","Jody Culkin, Eric Hagan","O'Reilly Media","9781680453744"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781680451832.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781680451832.jpg,1653-1043-ND,9781680451832,O'Reilly Media,LINUX FOR MAKERS BY AARON NEWCOM,16,0,"24.99000","0","1","-","Active","Book","Linux for Makers","Aaron Newcomb","O'Reilly Media","9781680451832"
http://www.ti.com/lit/pdf/spmt213,//media.digikey.com/Photos/Texas%20Instr%20Photos/EKB-UCOS3-BOOK.JPG,296-27711-ND,EKB-UCOS3-BOOK,Texas Instruments,BOOK OS-111 FOR EKB-UC0S3,2,0,"85.67000","0","1","-","Obsolete","Book","Micrium's uC/OS-III: The Real-Time Kernel","Jean J. Labrosse","Taylor & Francis","9781578201037"
-,//media.digikey.com/Photos/TLG%20Publications/400075.jpg,9255B-ND,400075,TLG Publications,DATABOOK NSG PACKAGING,46,0,"4.62000","0","1","-","Discontinued at Digi-Key","Book","Packaging Databook","-","-","-"
-,//media.digikey.com/Photos/TLG%20Publications/400037.jpg,9244B-ND,400037,TLG Publications,DATABOOK POWER IC'S,39,0,"7.92000","0","1","-","Discontinued at Digi-Key","Book","National Power ICs Databook","National Semiconductor","National Semiconductor","-"
//media.digikey.com/pdf/Data%20Sheets/McGraw%20Hill%20Ed%20PDFs/1259644251_Web.pdf,//media.digikey.com/Photos/McGraw-Hill%20Education/MFG_1259644251.jpg,1751-1003-ND,1259644251,McGraw-Hill Education,BOOK: BIG BOOK OF MAKERSPACE,10,0,"15.96000","0","1","-","Active","Book","The Big Book of Makerspace Projects","Colleen Graves, Aaron Graves","McGraw-Hill Education","9781259644252"
//media.digikey.com/pdf/Data%20Sheets/McGraw%20Hill%20Ed%20PDFs/0071835202_Web.pdf,//media.digikey.com/Photos/McGraw-Hill%20Education/MFG_0071835202.jpg,1751-1009-ND,0071835202,McGraw-Hill Education,BOOK: THE INTERNET OF THINGS,10,0,"19.95000","0","1","-","Active","Book","The Internet of Things","Donald Norris","McGraw-Hill Education","9780071835206"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781593276904.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781593276904.jpg,1653-1026-ND,9781593276904,O'Reilly Media,THE ARDUINO PROJECT HANDBOOK,10,0,"24.95000","0","1","-","Discontinued at Digi-Key","Book","The Arduino Project Handbook","Mark Geddes","No Starch Press","978-1-59327-690-4"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781593277253.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781593277253.jpg,1653-1037-ND,9781593277253,O'Reilly Media,ELECTRONICS FOR KIDS,9,0,"24.95000","0","1","-","Discontinued at Digi-Key","Book","Electronics For Kids","Oyvind Nydal Dahl","No Starch Press","978-1-59327-725-3"
//media.digikey.com/pdf/Data%20Sheets/Wurth%20Electronics%20PDFs/744013_Capacitor_Handbook.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_744013.jpg,732-6292-ND,744013,Wurth Electronics Inc.,ABC OF CAPACITORS BOOK,6,0,"14.99000","0","1","-","Active","Book","ABC of Capacitors","Stephan Menzel","-","-"
//media.digikey.com/pdf/Data%20Sheets/Wurth%20Electronics%20PDFs/744016_Power_Module_Handbook.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_744016.jpg,732-10198-ND,744016,Wurth Electronics Inc.,ABC OF POWER MODULES AT APEC,3,0,"14.99000","0","1","-","Active","Book","ABC of Power Modules","Steffen Wolf, Ralf Regenhold, Jan Stephan","Würth Elektronik","-"
//media.digikey.com/pdf/Data%20Sheets/Wurth%20Electronics%20PDFs/699001_Trilogy_of_Connectors.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_699001.JPG,732-5408-ND,699001,Wurth Electronics Inc.,TRILOGY OF CONN KIT,2,0,"38.50000","0","1","-","Active","Book","Trilogy of Connectors","Robert S. Mroczkowski, Romain Jugy, Alexander Gerfer","Würth Elektronik","-"
//media.digikey.com/pdf/Data%20Sheets/Wurth%20Electronics%20PDFs/LTspice_IV_Simulator_Appl%20Handbook.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744010.JPG,732-4621-ND,744010,Wurth Electronics Inc.,APPLICATION HANDBOOK FOR LTSPICE,3,0,"70.81000","0","1","-","Active","Book","The LTSpice IV Simulator Handbook","Gilles Brocard","Würth Elektronik","978-3-89929-258-9"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744006.jpg,732-2511-ND,744006,Wurth Electronics Inc.,BOOK TRILOGY OF MAGNETICS,3,0,"75.90000","0","1","-","Active","Book","Trilogy Of Magnetics","Thomas Brander","Würth Elektronik","-"
//media.digikey.com/pdf/Data%20Sheets/McGraw%20Hill%20Ed%20PDFs/0071832122_Web.pdf,//media.digikey.com/Photos/McGraw-Hill%20Education/0071832122.jpg,1751-1000-ND,9780071832120,McGraw-Hill Education,BOOK: PROGRAMMING THE BEAGLEBONE,11,0,"11.97000","0","1","-","Active","Book","Programming the BeagleBone Black","Simon Monk","McGraw-Hill Education","9780071832120"
//media.digikey.com/pdf/Data%20Sheets/McGraw%20Hill%20Ed%20PDFs/1259641635_Web.pdf,//media.digikey.com/Photos/McGraw-Hill%20Education/MFG_1259641635.jpg,1751-1016-ND,1259641635,McGraw-Hill Education,BOOK: PROGRAMMING ARDUINO,3,0,"11.97000","0","1","-","Active","Book","Programming Arduino","Simon Monk","McGraw-Hill Education","9781259641633"
//media.digikey.com/pdf/Data%20Sheets/McGraw%20Hill%20Ed%20PDFs/1259587401_Web.pdf,//media.digikey.com/Photos/McGraw-Hill%20Education/MFG_1259587401.jpg,1751-1012-ND,1259587401,McGraw-Hill Education,BOOK: PROGRAMMING RASPBERRY PI,2,0,"11.97000","0","1","-","Active","Book","Programming the Raspberry Pi (2nd Edition)","Simon Monk","McGraw-Hill Education","9781259587405"
