Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Width","Length"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5921.5""X8""-25-ND,3M CM592 1.5"" X 8""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1.,0,0,"38.50333","0","3","-","Active","Radiant Light Film","1.50"" (38.10mm)","8.00"" (203.2mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM592CIRCLE-1""-250-ND,3M CM592 CIRCLE-1""-250,3M (TC),3M CM592 RADIANT LIGHT FILM - 1"",0,0,"39.78000","0","3","-","Active","Radiant Light Film","1.00"" (25.40mm) dia","-"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5926""X6""-10-ND,3M CM592 6"" X 6""-10,3M (TC),3M CM592 RADIANT LIGHT FILM - 6"",0,0,"42.48000","0","3","-","Active","Radiant Light Film","6.00"" (152.40mm)","6.00"" (152.4mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5921.5""X9""-25-ND,3M CM592 1.5"" X 9""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1.,0,0,"43.18000","0","2","-","Active","Radiant Light Film","1.50"" (38.10mm)","9.00"" (228.6mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3-5-CM592-ND,3-5-CM592,3M (TC),3M CM592 RADIANT LIGHT FILM - 3"",0,0,"43.23571","0","7","-","Active","Radiant Light Film","3.00"" (76.20mm)","15' (4.6m) 5 yds"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5922""X7""-25-ND,3M CM592 2"" X 7""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 2"",0,0,"43.74000","0","2","-","Active","Radiant Light Film","2.00"" (50.80mm)","7.00"" (177.8mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5923""X5""-25-ND,3M CM592 3"" X 5""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 3"",0,0,"45.95500","0","2","-","Active","Radiant Light Film","3.00"" (76.20mm)","5.00"" (127.0mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5921.5""X10""-25-ND,3M CM592 1.5"" X 10""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1.,0,0,"47.88000","0","2","-","Active","Radiant Light Film","1.50"" (38.10mm)","10.00"" (254.0mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5924""X4""-25-ND,3M CM592 4"" X 4""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 4"",0,0,"48.72500","0","2","-","Active","Radiant Light Film","4.00"" (101.60mm)","4.00"" (101.6mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5926""X7""-10-ND,3M CM592 6"" X 7""-10,3M (TC),3M CM592 RADIANT LIGHT FILM - 6"",0,0,"49.30000","0","2","-","Active","Radiant Light Film","6.00"" (152.40mm)","7.00"" (177.8mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5922""X8""-25-ND,3M CM592 2"" X 8""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 2"",0,0,"49.82500","0","2","-","Active","Radiant Light Film","2.00"" (50.80mm)","8.00"" (203.2mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5923""X6""-25-ND,3M CM592 3"" X 6""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 3"",0,0,"51.75000","0","2","-","Active","Radiant Light Film","3.00"" (76.20mm)","6.00"" (152.4mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5922""X9""-25-ND,3M CM592 2"" X 9""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 2"",0,0,"52.78500","0","2","-","Active","Radiant Light Film","2.00"" (50.80mm)","9.00"" (228.6mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5926""X8""-10-ND,3M CM592 6"" X 8""-10,3M (TC),3M CM592 RADIANT LIGHT FILM - 6"",0,0,"53.04000","0","2","-","Active","Radiant Light Film","6.00"" (152.40mm)","8.00"" (203.2mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5927""X7""-10-ND,3M CM592 7"" X 7""-10,3M (TC),3M CM592 RADIANT LIGHT FILM - 7"",0,0,"54.07500","0","2","-","Active","Radiant Light Film","7.00"" (177.80mm)","7.00"" (177.8mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM59210""X10""-5-ND,3M CM592 10"" X 10""-5,3M (TC),3M CM592 RADIANT LIGHT FILM - 10,0,0,"54.28000","0","2","-","Active","Radiant Light Film","10.00"" (254.00mm)","10.00"" (254.0mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,4-5-CM592-ND,4-5-CM592,3M (TC),3M CM592 RADIANT LIGHT FILM - 4"",0,0,"54.45200","0","5","-","Active","Radiant Light Film","4.00"" (101.60mm)","15' (4.6m) 5 yds"
