Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Tape Type","Adhesive","Backing, Carrier","Thickness","Thickness - Adhesive","Thickness - Backing, Carrier","Width","Length","Color","Usage","Temperature Range"
http://documents.desco.com/PDF/79200.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_79210.jpg,16-1264-ND,79210,Desco,TAPE ESD CLEAR 3/4""X 72YDS,236,0,"7.74000","0","1","Roll","-","Active","Antistatic - ESD Symbols","Rubber","Cellulose","0.0024"" (2.4 mils, 0.061mm)","-","-","0.75"" (19.05mm) 3/4""","216' (66.0m) 72 yds","Clear","Packaging","14 ~ 160°F (-10 ~ 71°C)"
http://multimedia.3m.com/mws/media/41159O/scotch-vinyl-electrical-tape-35.pdf,//media.digikey.com/photos/3M%20Photos/35%20YELLOW%20X66%20SERIES.jpg,3M35-YL-ND,35 YELLOW (3/4""X66'),3M,TAPE ELECTRICAL YLW 3/4""X 22YDS,747,0,"7.91000","0","1","Roll","Scotch® 35","Active","Electrical","Rubber","PVC (Poly Vinyl Chloride)","0.0070"" (7.0 mils, 0.178mm)","-","-","0.75"" (19.05mm) 3/4""","66' (20.1m) 22 yds","Yellow","Color Coding","176°F (80°C)"
http://multimedia.3m.com/mws/media/41159O/scotch-vinyl-electrical-tape-35.pdf,//media.digikey.com/photos/3M%20Photos/35%20RED%20X66%20SEROES.jpg,3M35-RD-ND,35 RED (3/4""X66'),3M,TAPE ELECTRICAL RED 3/4""X 22YDS,450,0,"7.91000","0","1","Roll","Scotch® 35","Active","Electrical","Rubber","PVC (Poly Vinyl Chloride)","0.0070"" (7.0 mils, 0.178mm)","-","-","0.75"" (19.05mm) 3/4""","66' (20.1m) 22 yds","Red","Color Coding","176°F (80°C)"
http://multimedia.3m.com/mws/media/41159O/scotch-vinyl-electrical-tape-35.pdf,//media.digikey.com/photos/3M%20Photos/35%20WHITE%20X66%20SERIES.jpg,3M35-WH-ND,35 WHITE (3/4""X66'),3M,TAPE ELECTRICAL WHT 3/4""X 22YDS,116,0,"7.91000","0","1","Roll","Scotch® 35","Active","Electrical","Rubber","PVC (Poly Vinyl Chloride)","0.0070"" (7.0 mils, 0.178mm)","-","-","0.75"" (19.05mm) 3/4""","66' (20.1m) 22 yds","White","Color Coding","176°F (80°C)"
http://multimedia.3m.com/mws/media/115887O/3mtm-aluminum-foil-tape-425-and-427.pdf,//media.digikey.com/Photos/3M%20Photos/1%5E2-5-427.jpg,3M9783-ND,1/2-5-427,3M (TC),TAPE ALUM FOIL SILVER 1/2""X 5YDS,3243,0,"8.35000","0","1","Roll","427","Active","Aluminum Foil","Acrylic","Aluminum, Dead Soft","0.0046"" (4.6 mils, 0.117mm)","0.0018"" (1.8 mils, 0.046mm)","0.0028"" (2.8 mils, 0.071mm)","0.50"" (12.70mm) 1/2""","15' (4.6m) 5 yds","Silver","Heat Dissipation, Reflection","-65°F ~ 300°F (-54°C ~ 149°C)"
http://multimedia.3m.com/mws/media/37464O/scotch-professional-grade-vinyl-electrical-tape-super-88.pdf,//media.digikey.com/photos/3M%20Photos/88%20SUPER%20(3^4%20INCH%20X%2066%20FEET).jpg,3M88A-ND,88 SUPER (3/4""X66'),3M,TAPE ELECTRICAL BLK 3/4""X 22YDS,251,0,"9.57000","0","1","Roll","Scotch® Super 88","Active","Electrical","Pressure Sensitive Adhesive (PSA)","PVC (Poly Vinyl Chloride)","0.0085"" (8.5 mils, 0.216mm)","-","-","0.75"" (19.05mm) 3/4""","66' (20.1m) 22 yds","Black","General Purpose","220°F (105°C)"
http://multimedia.3m.com/mws/media/326683O/vhbtm-adhesive-transfer-tapes-f9460pc-f9469pc-f9473pc.pdf,//media.digikey.com/Photos/3M%20Photos/12X12-6-F9469PC.JPG,3M10380-ND,12X12-6-F9469PC,3M (TC),TAPE ADHSV TRNSFR CLEAR 12""X 12"",179,0,"10.87000","0","1","Bulk","VHB™ F9469PC","Active","Adhesive Transfer","Acrylic, 100MP","Polycoated Kraft Liner","0.0090"" (9.0 mils, 0.229mm)","0.0050"" (5.0 mils, 0.127mm)","0.0040"" (4.0 mils, 0.102mm)","12.00"" (304.80mm)","12.00"" (304.80mm)","Clear","Attachment, High Temperature Applications","-"
http://multimedia.3m.com/mws/media/41151O/ordering-info-for-scotch-linerless-electrical-rubber-tape-2242.PDF,//media.digikey.com/Photos/3M%20Photos/MFG_2242-3%5E4X15FT.jpg,3M156241-ND,2242-3/4X15FT,3M,TAPE ELECTRICAL BLACK 3/4""X 5YDS,263,0,"11.25000","0","1","-","Scotch® 2242","Active","Electrical","Rubber, Self Fusing","Rubber","0.0300"" (30.0 mils, 0.762mm)","-","-","0.75"" (19.05mm) 3/4""","15' (4.6m) 5 yds","Black","Electrically Insulating","194°F (90°C) Max"
https://multimedia.3m.com/mws/media/142939O/adhesive-transfer-tapes-with-adhesive-300lse.pdf,-,3M160633-ND,8132LE-24""X36"",3M,ADHTRANSFER TAPE DBLLINED 1=1SHT,196,0,"12.09000","0","1","-","8132LE","Active","Adhesive Transfer","Acrylic, 300LSE","Polycoated Kraft Liner","0.0125"" (12.5 mils, 0.317mm)","0.0023"" (2.3 mils, 0.058mm)","0.0102"" (10.2 mils, 0.259mm)","24.00"" (609.60mm)","36.00"" (914.40mm)","-","Bonding","-"
http://multimedia.3m.com/mws/media/37380O/3m-polyimide-film-tape-1205-with-acrylic-adhesive.pdf,//media.digikey.com/Photos/3M%20Photos/12X12-6-1205.JPG,3M10221-ND,12X12-6-1205,3M (TC),TAPE FILM AMBER 12""X 12"",218,0,"14.62000","0","1","Bulk","1205","Active","Film","Acrylic","Polyimide","0.0030"" (3.0 mils, 0.076mm)","0.0020"" (2.0 mils, 0.051mm)","0.0010"" (1.0 mils, 0.025mm)","12.00"" (304.80mm)","12.00"" (304.80mm)","Amber","Insulating, High Temperature","-40°F ~ 311°F (-40°C ~ 155°C)"
