Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Voltage - Input","Output","Type","Size / Dimension","Mounting Type"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/BXA-12553.pdf,//media.digikey.com/photos/JKL/BXA-12553.jpg,289-1049-ND,BXA-12553,JKL Components Corp.,INVERTER 700V FOR CCFL LAMP,0,0,"Obsolete","0","100","-","Obsolete","12V","700V","CCFL and UV Lamps","1.65"" L x 0.79"" W x 0.47"" H (42mm x 20mm x 12mm)","Through Hole"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/BXA-12576.pdf,//media.digikey.com/photos/JKL/BXA-12576.jpg,289-1050-ND,BXA-12576,JKL Components Corp.,INVERTER 800V FOR CCFL LAMP,0,0,"Obsolete","0","100","-","Obsolete","12V","800V","CCFL and UV Lamps","2.20"" L x 0.26"" W x 0.24"" H (56mm x 6.5mm x 6mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/BXA-12563KIT.pdf,-,BXA12563/KIT-ND,BXA12563/KIT,JKL Components Corp.,INVERTER 12V INPUT 1000V OUTPUT,0,0,"Obsolete","0","100","-","Obsolete","12V","1000V","CCFL and UV Lamps","3.31"" L x 0.83"" W x 0.24"" H (84mm x 21mm x 6mm)","Chassis Mount"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/HBL-0210.pdf,-,HBL-0210-ND,HBL-0210,Tamura,INVERTER CFL 3.6VIN 500VAC 1MA,0,0,"Obsolete","0","200","-","Obsolete","3.6V","900V","CCFL and UV Lamps","2.34"" L x 0.35"" W x 0.43"" H (59.5mm x 9mm x 11mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/BXA-302.pdf,//media.digikey.com/photos/JKL/BXA-302.jpg,289-1062-ND,BXA-302,JKL Components Corp.,INVERTER 3V INPUT 650V OUTPUT,0,0,"Obsolete","0","100","-","Obsolete","3V","650V","CCFL and UV Lamps","1.02"" L x 0.51"" W x 0.20"" H (26mm x 13mm x 5mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/BXA-12549-6M2.pdf,//media.digikey.com/photos/JKL/BXA-12549-6M.jpg,289-1063-ND,BXA-12549-6M,JKL Components Corp.,INVERTER DUAL DIMMING 12V INPUT,0,0,"Obsolete","0","100","-","Obsolete","12V","1200V","CCFL and UV Lamps","3.94"" L x 0.79"" W x 0.33"" H (100mm x 20mm x 8.5mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/BXA-503.pdf,//media.digikey.com/photos/JKL/BXA-503.jpg,289-1064-ND,BXA-503,JKL Components Corp.,INVERTER 6V INPUT 1200V OUTPUT,0,0,"Obsolete","0","100","-","Obsolete","6V","1200V","CCFL and UV Lamps","1.97"" L x 0.79"" W x 0.51"" H (50mm x 20mm x 13mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/BXA-12617C-6M.pdf,//media.digikey.com/photos/JKL/BXA-12617C-6M.jpg,289-1065-ND,BXA-12617C-6M,JKL Components Corp.,INVERTER 12V INPUT 1200V OUTPUT,0,0,"Obsolete","0","100","-","Obsolete","12V","1200V","CCFL and UV Lamps","2.76"" L x 0.71"" W x 0.24"" H (70mm x 18mm x 6mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/BXA-12592-3M.pdf,//media.digikey.com/photos/JKL/BXA-12592-3M.jpg,289-1116-ND,BXA-12592-3M,JKL Components Corp.,INVERTER DIMMING SINGLE 12V 3MA,0,0,"Obsolete","0","100","-","Obsolete","12V","1000V","CCFL and UV Lamps","3.74"" L x 0.65"" W x 0.26"" H (95mm x 16.5mm x 6.5mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/BXA-12594-5M.pdf,//media.digikey.com/photos/JKL/BXA-12594-5M.jpg,289-1117-ND,BXA-12594-5M,JKL Components Corp.,INVERTER DIMMING SINGLE 12V 5MA,0,0,"Obsolete","0","100","-","Obsolete","12V","1000V","CCFL and UV Lamps","3.74"" L x 0.65"" W x 0.26"" H (95mm x 16.5mm x 6.5mm)","Chassis Mount"
