Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","For Use With/Related Products","Color","Size / Dimension"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/COM2400_COM2401_Web.pdf,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_COM2400.jpg,1778-1140-ND,COM2400,Pimoroni Ltd,LCD DISPLAY LCD LIGHT VALVE,59,0,"3.40000","0","1","-","Active","LCD Light Valve","LCD Display","-","1.42"" L x 1.42"" W (36.00mm x 36.00mm)"
http://www.4dsystems.com.au/productpages/gen4-BEZEL/downloads/gen4-BEZEL_datasheet_R_1_0.pdf,//media.digikey.com/Photos/4D-Systems-Pty-Ltd/MFG_GEN4-BEZEL.jpg,1613-1402-ND,GEN4-BEZEL-50B,4D Systems Pty Ltd,LCD DISPLAY BEZEL BLACK,32,0,"13.25000","0","1","-","Active","Bezel","LCD Display","Black","5.85"" L x 3.70"" W (148.50mm x 94.00mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/Lens%20Filters.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6201050.jpg,PRD180W-ND,6201050,PRD Plastics,LCD DISPLAY LENS CLEAR,787,0,"2.07000","0","1","-","Active","Lens","LCD Display","Clear Lens","1.8"" (45.8mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/Lens%20Filters.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6202040.jpg,PRD250G-ND,6202040,PRD Plastics,LED DISPLAY LENS GREEN,254,0,"2.28000","0","1","-","Active","Lens","LED Display","Green Lens","2.5"" (63.5mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/Lens%20Filters.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6203020.jpg,PRD360S-ND,6203020,PRD Plastics,LED DISPLAY LENS SMOKE,259,0,"2.52000","0","1","-","Active","Lens","LED Display","Smoke Lens","3.6"" (91.44mm)"
http://www.4dsystems.com.au/productpages/gen4-BEZEL/downloads/gen4-BEZEL_datasheet_R_1_0.pdf,//media.digikey.com/Photos/4D-Systems-Pty-Ltd/MFG_GEN4-BEZEL.jpg,1613-1397-ND,GEN4-BEZEL-24B,4D Systems Pty Ltd,LCD DISPLAY BEZEL BLACK,25,0,"10.19000","0","1","-","Active","Bezel","LCD Display","Black","3.70"" L x 2.56"" W (94.00mm x 65.00mm)"
http://www.4dsystems.com.au/productpages/gen4-BEZEL/downloads/gen4-BEZEL_datasheet_R_1_0.pdf,//media.digikey.com/Photos/4D-Systems-Pty-Ltd/MFG_GEN4-BEZEL.jpg,1613-1399-ND,GEN4-BEZEL-32B,4D Systems Pty Ltd,LCD DISPLAY BEZEL BLACK,14,0,"10.19000","0","1","-","Active","Bezel","LCD Display","Black","4.55"" L x 3.07"" W (115.50mm x 78.00mm)"
http://www.4dsystems.com.au/productpages/gen4-BEZEL/downloads/gen4-BEZEL_datasheet_R_1_0.pdf,//media.digikey.com/Photos/4D-Systems-Pty-Ltd/MFG_GEN4-BEZEL.jpg,1613-1401-ND,GEN4-BEZEL-43B,4D Systems Pty Ltd,LCD DISPLAY BEZEL BLACK,6,0,"13.25000","0","1","-","Active","Bezel","LCD Display","Black","5.39"" L x 3.39"" W (137.00mm x 86.00mm)"
http://www.lcd-module.com/eng/pdf/zubehoer/rahmene.pdf,//media.digikey.com/Photos/Electronic%20Assembly%20GmbH%20photos/EA%20017-9UKE.jpg,1481-1012-ND,EA 017-9UKE,Display Visions,LCD DISPLAY BEZEL BLACK,25,0,"16.42000","0","1","-","Active","Bezel","LCD Display","Black","3.58"" L x 1.43"" W (91.00mm x 36.40mm)"
http://www.4dsystems.com.au/productpages/BEZEL-32PTU/downloads/BEZEL-32PTU_datasheet_R_1_2.pdf,//media.digikey.com/photos/4D-Systems-Pty-Ltd/4DBEZEL-32B_Primary.jpg,1613-1006-ND,4DBEZEL-32B,4D Systems Pty Ltd,LCD DISPLAY BEZEL BLACK,14,0,"10.19000","0","1","-","Active","Bezel","LCD Display","Black","-"
http://www.4dsystems.com.au/productpages/BEZEL-32PTU/downloads/BEZEL-32PTU_datasheet_R_1_2.pdf,//media.digikey.com/Photos/4D-Systems-Pty-Ltd/4DBEZEL-32W_primary.jpg,1613-1007-ND,4DBEZEL-32W,4D Systems Pty Ltd,LCD DISPLAY BEZEL WHITE,12,0,"10.19000","0","1","-","Active","Bezel","LCD Display","White","-"
http://www.4dsystems.com.au/productpages/BEZEL-43PT/downloads/BEZEL-43PT_datasheet_R_1_2.pdf,//media.digikey.com/Photos/4D-Systems-Pty-Ltd/4DBEZEL-43W_primary.jpg,1613-1009-ND,4DBEZEL-43W,4D Systems Pty Ltd,LCD DISPLAY BEZEL WHITE,6,0,"10.19000","0","1","-","Active","Bezel","LCD Display","White","-"
http://www.lcd-module.com/eng/pdf/zubehoer/rahmene.pdf,//media.digikey.com/Photos/Electronic%20Assembly%20GmbH%20photos/EA-017-2UKE.jpg,1481-1007-ND,EA 017-2UKE,Display Visions,LCD DISPLAY BEZEL BLACK,7,0,"14.37000","0","1","-","Active","Bezel","LCD Display","Black","2.99"" L x 1.06"" W (76.00mm x 27.00mm)"
http://www.4dsystems.com.au/productpages/BEZEL-70DT/downloads/BEZEL-70DT_datasheet_R_1_2.pdf,//media.digikey.com/photos/4D-Systems-Pty-Ltd/4D-BEZEL-70W_Primary.jpg,1613-1011-ND,4D-BEZEL-70W,4D Systems Pty Ltd,LCD DISPLAY BEZEL WHITE,5,0,"15.29000","0","1","-","Active","Bezel","LCD Display","White","7.80"" L x 5.04"" W (198.00mm x 127.9mm)"
http://www.lcd-module.com/eng/pdf/zubehoer/rahmene.pdf,//media.digikey.com/Photos/Electronic%20Assembly%20GmbH%20photos/EA%20017-8UKE.jpg,1481-1011-ND,EA 017-8UKE,Display Visions,LCD DISPLAY BEZEL BLACK,7,0,"16.42000","0","1","-","Active","Bezel","LCD Display","Black","3.02"" L x 1.43"" W (76.80mm x 36.40mm)"
http://www.lcd-module.com/eng/pdf/zubehoer/rahmene.pdf,//media.digikey.com/Photos/Electronic%20Assembly%20GmbH%20photos/EA-017-17UKE.jpg,1481-1003-ND,EA 017-17UKE,Display Visions,LCD DISPLAY BEZEL BLACK,1,0,"16.55000","0","1","-","Active","Bezel","LCD Display","Black","2.91"" L x 1.76"" W (74.00mm x 44.70mm)"
http://www.lcd-module.com/eng/pdf/zubehoer/rahmene.pdf,//media.digikey.com/Photos/Electronic%20Assembly%20GmbH%20photos/EA-017-12UKE.jpg,1481-1000-ND,EA 017-12UKE,Display Visions,LCD DISPLAY BEZEL BLACK,3,0,"16.86000","0","1","-","Active","Bezel","LCD Display","Black","4.46"" L x 1.36"" W (113.40mm x 34.60mm)"
http://www.lcd-module.de/eng/pdf/grafik/kit1296e.pdf,//media.digikey.com/Photos/Electronic%20Assembly%20GmbH%20photos/EA-0FP129-6SW.jpg,1481-1013-ND,EA 0FP129-6SW,Display Visions,LCD DISPLAY BEZEL BLACK,1,0,"44.84000","0","1","-","Active","Bezel","LCD Display","Black","3.425"" L x 2.520"" W (87.00mm x 64.00mm)"
http://www.lcd-module.de/eng/pdf/grafik/ediptft43-ae.pdf,//media.digikey.com/Photos/Electronic%20Assembly%20GmbH%20photos/EA-0FP481-43SW.jpg,1481-1019-ND,EA 0FP481-43SW,Display Visions,LED DISPLAY BEZEL BLACK,2,0,"52.69000","0","1","-","Active","Bezel","LED Display","Black","4.72"" L x 3.74"" W (120.00mm x 95.00mm)"
http://www.4dsystems.com.au/productpages/gen4-BEZEL/downloads/gen4-BEZEL_datasheet_R_1_0.pdf,//media.digikey.com/Photos/4D-Systems-Pty-Ltd/MFG_GEN4-BEZEL.jpg,1613-1398-ND,GEN4-BEZEL-28B,4D Systems Pty Ltd,LCD DISPLAY BEZEL BLACK,16,0,"10.19000","0","1","-","Active","Bezel","LCD Display","Black","4.02"" L x 2.84"" W (102.00mm x 72.00mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/Lens%20Filters.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6201040.jpg,PRD180G-ND,6201040,PRD Plastics,LED DISPLAY LENS GREEN,0,0,"0.76700","0","2000","-","Active","Lens","LED Display","Green Lens","1.8"" (45.8mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/Lens%20Filters.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6202010.jpg,PRD250C-ND,6202010,PRD Plastics,LCD DISPLAY LENS CLEAR,0,0,"0.84500","0","2000","-","Active","Lens","LCD Display","Clear Lens","2.5"" (63.5mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/Lens%20Filters.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6202050.jpg,PRD250W-ND,6202050,PRD Plastics,LCD DISPLAY LENS CLEAR,0,0,"0.84500","0","2000","-","Active","Lens","LCD Display","Clear Lens","2.5"" (63.5mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/Lens%20Filters.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6202060.jpg,PRD250W1-ND,6202060,PRD Plastics,LCD DISPLAY LENS CLEAR,0,0,"0.84500","0","2000","-","Active","Lens","LCD Display","Clear Lens","2.5"" (63.5mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/Lens%20Filters.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6203010.jpg,PRD360C-ND,6203010,PRD Plastics,LCD DISPLAY LENS CLEAR,0,0,"0.93600","0","2000","-","Active","Lens","LCD Display","Clear Lens","3.6"" (91.44mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/Lens%20Filters.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6203030.jpg,PRD360R-ND,6203030,PRD Plastics,LED DISPLAY LENS RED,0,0,"0.93600","0","2000","-","Active","Lens","LED Display","Red Lens","3.6"" (91.44mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/Lens%20Filters.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6203050.jpg,PRD360W-ND,6203050,PRD Plastics,LCD DISPLAY LENS CLEAR,0,0,"0.93600","0","2000","-","Active","Lens","LCD Display","Clear Lens","3.6"" (91.44mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/Lens%20Filters.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6203060.jpg,PRD360W1-ND,6203060,PRD Plastics,LCD DISPLAY LENS CLEAR,0,0,"0.93600","0","2000","-","Active","Lens","LCD Display","Clear Lens","3.6"" (91.44mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/LED%20LCD.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6301020.jpg,PRD180LPW-ND,6301020,PRD Plastics,LCD DISPLAY BEZEL BLK W/CLR LENS,0,0,"1.54275","0","2000","-","Active","Bezel with Lens","LCD Display","Black, Clear Lens","1.8"" (45.8mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/LED%20LCD.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6301040.jpg,PRD180LPS-ND,6301040,PRD Plastics,LED DISPLAY BZL BLK W/SMOKE LENS,0,0,"1.54275","0","2000","-","Active","Bezel with Lens","LED Display","Black, Smoke Lens","1.8"" (45.8mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/LED%20LCD.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6301050.jpg,PRD180LPR-ND,6301050,PRD Plastics,LED DISPLAY BEZEL BLK W/RED LENS,0,0,"1.54275","0","2000","-","Active","Bezel with Lens","LED Display","Black, Red Lens","1.8"" (45.8mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/LED%20LCD.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6302030.jpg,PRD250LPW1-ND,6302030,PRD Plastics,LCD DISPLAY BEZEL BLK W/CLR LENS,0,0,"1.72125","0","2000","-","Active","Bezel with Lens","LCD Display","Black, Clear Lens","2.5"" (63.5mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/LED%20LCD.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6302050.jpg,PRD250LPR-ND,6302050,PRD Plastics,LED DISPLAY BEZEL BLK W/RED LENS,0,0,"1.72125","0","2000","-","Active","Bezel with Lens","LED Display","Black, Red Lens","2.5"" (63.5mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/LED%20LCD.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6303010.jpg,PRD360LP-ND,6303010,PRD Plastics,LCD DISPLAY BEZEL BLK W/CLR LENS,0,0,"1.95075","0","2000","-","Active","Bezel with Lens","LCD Display","Black, Clear Lens","3.6"" (91.44mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/LED%20LCD.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6303020.jpg,PRD360LPW-ND,6303020,PRD Plastics,LCD DISPLAY BEZEL BLK W/CLR LENS,0,0,"1.95075","0","2000","-","Active","Bezel with Lens","LCD Display","Black, Clear Lens","3.6"" (91.44mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/LED%20LCD.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6303030.jpg,PRD360LPW1-ND,6303030,PRD Plastics,LCD DISPLAY BEZEL BLK W/CLR LENS,0,0,"1.95075","0","2000","-","Active","Bezel with Lens","LCD Display","Black, Clear Lens","3.6"" (91.44mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/LED%20LCD.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6303040.jpg,PRD360LPS-ND,6303040,PRD Plastics,LED DISPLAY BZL BLK W/SMOKE LENS,0,0,"1.95075","0","2000","-","Active","Bezel with Lens","LED Display","Black, Smoke Lens","3.6"" (91.44mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/LED%20LCD.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6303050.jpg,PRD360LPR-ND,6303050,PRD Plastics,LED DISPLAY BEZEL BLK W/RED LENS,0,0,"1.95075","0","2000","-","Active","Bezel with Lens","LED Display","Black, Red Lens","3.6"" (91.44mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/LED%20LCD.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6303060.jpg,PRD360LPG-ND,6303060,PRD Plastics,LED DISPLAY BEZEL BLK W/GRN LENS,0,0,"1.95075","0","2000","-","Active","Bezel with Lens","LED Display","Black, Green Lens","3.6"" (91.44mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/Lens%20Filters.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6202020.jpg,PRD250S-ND,6202020,PRD Plastics,LED DISPLAY LENS SMOKE,22,0,"2.28000","0","1","-","Active","Lens","LED Display","Smoke Lens","2.5"" (63.5mm)"
-,-,SA2612/6-ND,SA2612/6,Bulgin,BEZEL LCD 28MM X 87.5MM,0,0,"10.74000","0","120","-","Active","-","-","-","-"
http://www.lcd-module.com/eng/pdf/zubehoer/rahmene.pdf,//media.digikey.com/Photos/Electronic%20Assembly%20GmbH%20photos/EA-017-1UKE.jpg,1481-1004-ND,EA 017-1UKE,Display Visions,LCD DISPLAY BEZEL BLACK,0,0,"14.51000","0","1","-","Active","Bezel","LCD Display","Black","3.13"" L x 0.98"" W (79.50mm x 25.00mm)"
http://www.lcd-module.com/eng/pdf/zubehoer/rahmene.pdf,//media.digikey.com/Photos/Electronic%20Assembly%20GmbH%20photos/EA%20017-6UKE.jpg,1481-1009-ND,EA 017-6UKE,Display Visions,LCD DISPLAY BEZEL BLK W/CLR LENS,0,0,"14.88000","0","1","-","Active","Bezel","LCD Display","Black, Clear Lens","4.50"" L x 0.98"" W (114.50mm x 25.00mm)"
http://www.lcd-module.com/eng/pdf/zubehoer/rahmene.pdf,//media.digikey.com/Photos/Electronic%20Assembly%20GmbH%20photos/EA-017-7UKE.jpg,1481-1010-ND,EA 017-7UKE,Display Visions,LCD DISPLAY BEZEL BLK W/CLR LENS,0,0,"15.32000","0","1","-","Active","Bezel","LCD Display","Black, Clear Lens","3.83"" L x 1.16"" W (97.50mm x 29.40mm)"
