Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Current - DC Forward (If) (Max)","Radiant Intensity (Ie) Min @ If","Wavelength","Voltage - Forward (Vf) (Typ)","Viewing Angle","Orientation","Operating Temperature","Mounting Type","Package / Case"
https://dammedia.osram.info/media/resource/hires/osram-dam-2496195/SFH%204053.pdf,"//media.digikey.com/photos/Osram%20Opto%20Photos/MFG_SPH-40(4,5)3.jpg",475-2945-6-ND,SFH 4053,OSRAM Opto Semiconductors Inc.,EMITTER IR 860NM 70MA 0402,36457,0,"Digi-Reel","0","1","Digi-Reel®","CHIPLED","Active","Infrared (IR)","70mA","7mW/sr @ 70mA","860nm","1.6V","140°","Top View","-40°C ~ 85°C (TA)","Surface Mount","0402 (1005 Metric)"
http://www.vishay.com/docs/81930/vsmb2000.pdf,"//media.digikey.com/Renders/Vishay%20Semi%20Renders/2-SMD,%20Gull%20Wing.jpg",VSMB2020X01TR-ND,VSMB2020X01,Vishay Semiconductor Opto Division,EMITTER IR 940NM 100MA SMD,12000,0,"0.23625","0","6000","Tape & Reel (TR)","-","Active","Infrared (IR)","100mA","20mW/sr @ 100mA","940nm","1.35V","24°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, Gull Wing"
http://www.vishay.com/docs/81930/vsmb2000.pdf,"//media.digikey.com/Renders/Vishay%20Semi%20Renders/2-SMD,%20Gull%20Wing.jpg",VSMB2020X01CT-ND,VSMB2020X01,Vishay Semiconductor Opto Division,EMITTER IR 940NM 100MA SMD,12111,0,"0.87000","0","1","Cut Tape (CT)","-","Active","Infrared (IR)","100mA","20mW/sr @ 100mA","940nm","1.35V","24°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, Gull Wing"
http://www.vishay.com/docs/81930/vsmb2000.pdf,"//media.digikey.com/Renders/Vishay%20Semi%20Renders/2-SMD,%20Gull%20Wing.jpg",VSMB2020X01DKR-ND,VSMB2020X01,Vishay Semiconductor Opto Division,EMITTER IR 940NM 100MA SMD,12111,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Infrared (IR)","100mA","20mW/sr @ 100mA","940nm","1.35V","24°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, Gull Wing"
http://www.vishay.com/docs/81241/vsmf3710.pdf,//media.digikey.com/renders/Vishay%20Semi%20Renders/Vishay%20-%20PLCC-2%20Pkg.jpg,751-1253-2-ND,VSMF3710-GS08,Vishay Semiconductor Opto Division,EMITTER IR 890NM 100MA PLCC,85500,0,"0.24000","0","1500","Tape & Reel (TR)","-","Active","Infrared (IR)","100mA","6mW/sr @ 100mA","890nm","1.4V","120°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-PLCC"
http://www.vishay.com/docs/81241/vsmf3710.pdf,//media.digikey.com/renders/Vishay%20Semi%20Renders/Vishay%20-%20PLCC-2%20Pkg.jpg,751-1253-1-ND,VSMF3710-GS08,Vishay Semiconductor Opto Division,EMITTER IR 890NM 100MA PLCC,85731,0,"0.79000","0","1","Cut Tape (CT)","-","Active","Infrared (IR)","100mA","6mW/sr @ 100mA","890nm","1.4V","120°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-PLCC"
http://www.vishay.com/docs/81241/vsmf3710.pdf,//media.digikey.com/renders/Vishay%20Semi%20Renders/Vishay%20-%20PLCC-2%20Pkg.jpg,751-1253-6-ND,VSMF3710-GS08,Vishay Semiconductor Opto Division,EMITTER IR 890NM 100MA PLCC,85731,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Infrared (IR)","100mA","6mW/sr @ 100mA","890nm","1.4V","120°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-PLCC"
https://dammedia.osram.info/media/resource/hires/osram-dam-2496190/SFH%204244.pdf,"//media.digikey.com/photos/Osram%20Opto%20Photos/MFG_SFH-42(44,55)-Z.jpg",475-2867-2-ND,SFH 4244-Z,OSRAM Opto Semiconductors Inc.,EMITTER IR 950NM 70MA SIDELED,22000,0,"0.24024","0","2000","Tape & Reel (TR)","SIDELED","Active","Infrared (IR)","70mA","11mW/sr @ 70mA","950nm","1.5V","120°","Side View","-40°C ~ 100°C (TA)","Surface Mount, Right Angle","2-SMD, J-Lead"
https://dammedia.osram.info/media/resource/hires/osram-dam-2496190/SFH%204244.pdf,"//media.digikey.com/photos/Osram%20Opto%20Photos/MFG_SFH-42(44,55)-Z.jpg",475-2867-1-ND,SFH 4244-Z,OSRAM Opto Semiconductors Inc.,EMITTER IR 950NM 70MA SIDELED,22536,0,"0.85000","0","1","Cut Tape (CT)","SIDELED","Active","Infrared (IR)","70mA","11mW/sr @ 70mA","950nm","1.5V","120°","Side View","-40°C ~ 100°C (TA)","Surface Mount, Right Angle","2-SMD, J-Lead"
https://dammedia.osram.info/media/resource/hires/osram-dam-2496190/SFH%204244.pdf,"//media.digikey.com/photos/Osram%20Opto%20Photos/MFG_SFH-42(44,55)-Z.jpg",475-2867-6-ND,SFH 4244-Z,OSRAM Opto Semiconductors Inc.,EMITTER IR 950NM 70MA SIDELED,22536,0,"Digi-Reel","0","1","Digi-Reel®","SIDELED","Active","Infrared (IR)","70mA","11mW/sr @ 70mA","950nm","1.5V","120°","Side View","-40°C ~ 100°C (TA)","Surface Mount, Right Angle","2-SMD, J-Lead"
https://dammedia.osram.info/media/resource/hires/osram-dam-2496064/SFH%204045N.pdf,//media.digikey.com/photos/Osram%20Opto%20Photos/MFG_SFH-4045N.jpg,475-3047-2-ND,SFH 4045N,OSRAM Opto Semiconductors Inc.,EMITTER IR 950NM 70MA SMD,10000,0,"0.24094","0","2000","Tape & Reel (TR)","CHIPLED","Active","Infrared (IR)","70mA","90mW/sr @ 70mA","950nm","1.6V","18°","Side View","-40°C ~ 85°C (TA)","Surface Mount, Right Angle","2-SMD, No Lead"
https://dammedia.osram.info/media/resource/hires/osram-dam-2496064/SFH%204045N.pdf,//media.digikey.com/photos/Osram%20Opto%20Photos/MFG_SFH-4045N.jpg,475-3047-1-ND,SFH 4045N,OSRAM Opto Semiconductors Inc.,EMITTER IR 950NM 70MA SMD,12114,0,"0.85000","0","1","Cut Tape (CT)","CHIPLED","Active","Infrared (IR)","70mA","90mW/sr @ 70mA","950nm","1.6V","18°","Side View","-40°C ~ 85°C (TA)","Surface Mount, Right Angle","2-SMD, No Lead"
https://dammedia.osram.info/media/resource/hires/osram-dam-2496064/SFH%204045N.pdf,//media.digikey.com/photos/Osram%20Opto%20Photos/MFG_SFH-4045N.jpg,475-3047-6-ND,SFH 4045N,OSRAM Opto Semiconductors Inc.,EMITTER IR 950NM 70MA SMD,12114,0,"Digi-Reel","0","1","Digi-Reel®","CHIPLED","Active","Infrared (IR)","70mA","90mW/sr @ 70mA","950nm","1.6V","18°","Side View","-40°C ~ 85°C (TA)","Surface Mount, Right Angle","2-SMD, No Lead"
http://www.vishay.com/docs/81894/vsmb3940.pdf,//media.digikey.com/Photos/Vishay%20Photos/VSMB3940X01-GS08.JPG,VSMB3940X01-GS08TR-ND,VSMB3940X01-GS08,Vishay Semiconductor Opto Division,EMITTER IR 940NM 100MA SMD,24000,0,"0.24600","0","1500","Tape & Reel (TR)","-","Active","Infrared (IR)","100mA","7mW/sr @ 1000mA","940nm","1.35V","120°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, J-Lead"
