Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Color","Size / Dimension","Contents"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/COM-14698_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-14698.jpg,1568-1886-ND,COM-14698,SparkFun Electronics,BENDABLE EL WIRE GREEN 3M,24,0,"10.95000","0","1","-","Active","EL Wire","Green","9.84' (3m)","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/COM-14699_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-14699.jpg,1568-1887-ND,COM-14699,SparkFun Electronics,BENDABLE EL WIRE FLUORESCENT GRE,23,0,"10.95000","0","1","-","Active","EL Wire","Green","9.84' (3m)","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/COM-14700_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-14700.jpg,1568-1888-ND,COM-14700,SparkFun Electronics,BENDABLE EL WIRE PURPLE 3M,23,0,"10.95000","0","1","-","Active","EL Wire","Purple","9.84' (3m)","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/Bendable_EL_Wire_3m_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-14701.jpg,1568-1889-ND,COM-14701,SparkFun Electronics,BENDABLE EL WIRE YELLOW 3M,23,0,"10.95000","0","1","-","Active","EL Wire","Yellow","9.84' (3m)","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/Bendable_EL_Wire_3m_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-14703.jpg,1568-1891-ND,COM-14703,SparkFun Electronics,BENDABLE EL WIRE RED 3M,23,0,"10.95000","0","1","-","Active","EL Wire","Red","9.84' (3m)","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/Bendable_EL_Wire_3m_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-14705.jpg,1568-1893-ND,COM-14705,SparkFun Electronics,BENDABLE EL WIRE ORANGE 3M,21,0,"10.95000","0","1","-","Active","EL Wire","Orange","9.84' (3m)","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/COM-14697_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-14697.jpg,1568-1885-ND,COM-14697,SparkFun Electronics,BENDABLE EL WIRE BLUE 3M,20,0,"10.95000","0","1","-","Active","EL Wire","Blue","9.84' (3m)","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/Bendable_EL_Wire_3m_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-14702.jpg,1568-1890-ND,COM-14702,SparkFun Electronics,BENDABLE EL WIRE BLUEGREEN 3M,20,0,"10.95000","0","1","-","Active","EL Wire","Blue-Green","9.84' (3m)","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/Bendable_EL_Wire_3m_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-14704.jpg,1568-1892-ND,COM-14704,SparkFun Electronics,BENDABLE EL WIRE PINK 3M,18,0,"10.95000","0","1","-","Active","EL Wire","Pink","9.84' (3m)","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/Bendable_EL_Wire_3m_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-14706.jpg,1568-1894-ND,COM-14706,SparkFun Electronics,BENDABLE EL WIRE WHITE 3M,16,0,"10.95000","0","1","-","Active","EL Wire","White","9.84' (3m)","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0185-B_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_DFR0185-B.jpg,DFR0185-B-ND,DFR0185-B,DFRobot,EL WIRE - BLUE,0,0,"7.52000","0","1","-","Active","EL Wire","Blue","3.28' (1m)","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0185-GB_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_DFR0185-GB.jpg,DFR0185-GB-ND,DFR0185-GB,DFRobot,EL WIRE - GRAY BLUE,0,0,"7.52000","0","1","-","Active","EL Wire","Blue-Gray","9.84' (3m)","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0185-GY_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_DFR0185-GY.jpg,DFR0185-GY-ND,DFR0185-GY,DFRobot,EL WIRE - GREEN YELLOW,0,0,"7.52000","0","1","-","Active","EL Wire","Green-Yellow","3.28' (1m)","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0185-HP_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_DFR0185-HP.jpg,DFR0185-HP-ND,DFR0185-HP,DFRobot,EL WIRE - HOT PINK,0,0,"7.52000","0","1","-","Active","EL Wire","Pink","9.84' (3m)","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0185-LB_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_DFR0185-LB.jpg,DFR0185-LB-ND,DFR0185-LB,DFRobot,EL WIRE - LIGHT BLUE,0,0,"7.52000","0","1","-","Active","EL Wire","Blue","9.84' (3m)","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0185-NG_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_DFR0185-NG.jpg,DFR0185-NG-ND,DFR0185-NG,DFRobot,EL WIRE - NEON GREEN (3M),0,0,"7.52000","0","1","-","Active","EL Wire","Green","3.28' (1m)","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0185-O_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_DFR0185-O.jpg,DFR0185-O-ND,DFR0185-O,DFRobot,EL WIRE - ORANGE,0,0,"7.52000","0","1","-","Active","EL Wire","Orange","3.28' (1m)","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0185-P_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_DFR0185-P.jpg,DFR0185-P-ND,DFR0185-P,DFRobot,EL WIRE - PURPLE,0,0,"7.52000","0","1","-","Active","EL Wire","Purple","9.84' (3m)","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0185-R_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_DFR0185-R.jpg,DFR0185-R-ND,DFR0185-R,DFRobot,EL WIRE - RED,0,0,"7.52000","0","1","-","Active","EL Wire","Red","3.28' (1m)","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/446_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_446.jpg,1528-1243-ND,446,Adafruit Industries LLC,ELECTROLUMINESCN STRIP GRN 100CM,11,0,"8.95000","0","1","-","Active","EL Tape","Green","3.28' (1m)","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/415_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_415.jpg,1528-1239-ND,415,Adafruit Industries LLC,ELECTROLUMINESC STRIP 100CM AQUA,9,0,"8.95000","0","1","-","Active","EL Tape","Aqua","3.28' (1m)","-"
http://cdn.sparkfun.com/datasheets/Components/General/ELTapeSpecification.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-10793.jpg,COM-10793-ND,COM-10793,SparkFun Electronics,EL TAPE - BLUE (1M),0,0,"9.95000","0","1","-","Active","EL Tape","Blue","3.28' (1m)","-"
http://cdn.sparkfun.com/datasheets/Components/General/ELTapeSpecification.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-10794.jpg,COM-10794-ND,COM-10794,SparkFun Electronics,EL TAPE - WHITE (1M),0,0,"9.95000","0","1","-","Active","EL Tape","White","3.28' (1m)","-"
http://cdn.sparkfun.com/datasheets/Components/General/ELTapeSpecification.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-10795.jpg,COM-10795-ND,COM-10795,SparkFun Electronics,EL TAPE - BLUE/GREEN (1M),0,0,"9.95000","0","1","-","Active","EL Tape","Green","3.28' (1m)","-"
http://cdn.sparkfun.com/datasheets/Components/General/ELTapeSpecification.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-10796.jpg,COM-10796-ND,COM-10796,SparkFun Electronics,EL TAPE - RED (1M),0,0,"9.95000","0","1","-","Active","EL Tape","Red","3.28' (1m)","-"
https://cdn-shop.adafruit.com/wanyuPL3.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_403.jpg,1528-1230-ND,403,Adafruit Industries LLC,ELECTROLUMINESCENT WIRE RED 2.5M,0,0,"12.00000","0","1","-","Active","EL Wire","Red","8.2' (2.5m)","-"
https://cdn-shop.adafruit.com/wanyuPL3.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_403.jpg,1528-1231-ND,404,Adafruit Industries LLC,ELECTROLUMINESCNT WIRE PINK 2.5M,0,0,"12.00000","0","1","-","Active","EL Wire","Pink","8.2' (2.5m)","-"
https://cdn-shop.adafruit.com/wanyuPL3.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_405.jpg,1528-1232-ND,405,Adafruit Industries LLC,ELECTROLUMINESCENT WIRE ORN 2.5M,0,0,"12.00000","0","1","-","Active","EL Wire","Orange","8.2' (2.5m)","-"
https://cdn-shop.adafruit.com/wanyuPL3.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_406.jpg,1528-1233-ND,406,Adafruit Industries LLC,ELECTROLUMINESCENT WIRE YLW 2.5M,0,0,"12.00000","0","1","-","Active","EL Wire","Yellow","8.2' (2.5m)","-"
https://cdn-shop.adafruit.com/wanyuPL3.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_407.jpg,1528-1234-ND,407,Adafruit Industries LLC,ELECTROLUMINESCENT WIRE GRN 2.5M,0,0,"12.00000","0","1","-","Active","EL Wire","Green","8.2' (2.5m)","-"
https://cdn-shop.adafruit.com/wanyuPL3.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_408.jpg,1528-1235-ND,408,Adafruit Industries LLC,ELECTROLUMINESCENT WIRE BLU 2.5M,0,0,"12.00000","0","1","-","Active","EL Wire","Blue","8.2' (2.5m)","-"
https://cdn-shop.adafruit.com/wanyuPL3.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_409.jpg,1528-1236-ND,409,Adafruit Industries LLC,ELECTROLUMINESCNT WIRE AQUA 2.5M,0,0,"12.00000","0","1","-","Active","EL Wire","Aqua","8.2' (2.5m)","-"
https://cdn-shop.adafruit.com/wanyuPL3.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_410.jpg,1528-1237-ND,410,Adafruit Industries LLC,ELECTROLUMINESCENT WIRE WHT 2.5M,0,0,"12.00000","0","1","-","Active","EL Wire","White","8.2' (2.5m)","-"
