Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Touchscreen","Voltage - Input","Voltage - Output","Size / Dimension","Interface","Operating Temperature"
http://www.digitalview.com/media/brochures/DVS-1600-brochure.pdf,//media.digikey.com/Photos/Digital%20View%20Photos/4171400XX-3.JPG,586-1021-ND,4171400XX-3,Digital View Inc.,LCD DRVR BRD PUSHBUTTON/SERIAL,0,0,"Obsolete","0","2","-","Obsolete","-","12V, 24V","3.3V, 5V, 12V, 18V","5.6"" L x 3.6"" W (142mm x 92mm)","Pushbutton, Serial","-"
http://www.digitalview.com/media/brochures/SVH-1920-brochure.pdf,//media.digikey.com/photos/Digital%20View%20Photos/4160134XX-3.JPG,586-1023-ND,4160134XX-3,Digital View Inc.,LCD DRVR BRD ADPTR HD1000 HD-SDI,0,0,"Obsolete","0","2","-","Obsolete","-","12V, 24V","-","3.05"" L x 3"" W (77.5mm x 76.2mm)","-","-"
http://www.digitalview.com/media/brochures/SVH-1920-brochure.pdf,//media.digikey.com/photos/Digital%20View%20Photos/4160133XX-3.JPG,586-1024-ND,4160133XX-3,Digital View Inc.,LCD DRVR BRD ADPTR HD2000 HD-SDI,0,0,"Obsolete","0","1","-","Obsolete","-","12V, 24V","-","3.05"" L x 3"" W (77.5mm x 76.2mm)","-","-"
http://www.digitalview.com/media/brochures/SVH-1920-brochure.pdf,//media.digikey.com/photos/Digital%20View%20Photos/4169600XX-3.JPG,586-1026-ND,4169600XX-3,Digital View Inc.,LCD DRVR BRD INFRARED/PUSHBUTTON,0,0,"Obsolete","0","1","-","Obsolete","-","12V, 24V","3.3V, 5V, 12V","7"" L x 4.74"" W (179mm x 120.4mm)","Infrared, Pushbutton, Serial","-"
http://www.digitalview.com/media/manuals/DVI-2560-manual.pdf,//media.digikey.com/photos/Digital%20View%20Photos/4171300XX-3.JPG,586-1027-ND,4171300XX-3,Digital View Inc.,LCD DRVR BRD TMDS DVI-2560 DUAL,0,0,"Obsolete","0","2","-","Obsolete","-","24V","18V","4.2"" L x 3.6"" W (107mm x 92mm)","TMDS","-"
http://www.digitalview.com/media/brochures/SGX-1920_Brochure.pdf,//media.digikey.com/Photos/Digital%20View%20Photos/4172500XX-3.jpg,586-1057-ND,4172500XX-3,Digital View Inc.,LCD DRVR BRD ETHERNET/INFRARED,0,0,"Obsolete","0","5","-","Obsolete","-","12V, 24V","3.3V, 5V, 12V, 18V","7.1"" L x 4.7"" W (179.1mm x 120.4mm)","Ethernet, Infrared, Pushbutton, Serial","0°C ~ 60°C"
http://www.digitalview.com/media/brochures/SVH-1920+_brochure.pdf,//media.digikey.com/Photos/Digital%20View%20Photos/4171700XX-3.jpg,586-1061-ND,4171700XX-3,Digital View Inc.,LCD DRVR BRD INFRARED/PUSHBUTTON,0,0,"Obsolete","0","5","-","Obsolete","-","12V, 24V","3.3V, 5V, 12V, 18V","7.1"" L x 4.7"" W (179.1mm x 120.4mm)","Infrared, Pushbutton, Serial","0°C ~ 50°C"
http://www.digitalview.com/media/manuals/SVX-1920_3x_manual.pdf,//media.digikey.com/Photos/Digital%20View%20Photos/4172100XX-3.jpg,586-1060-ND,4172100XX-3,Digital View Inc.,LCD DRVR BRD ETHERNET/INFRARED,0,0,"Obsolete","0","5","-","Obsolete","-","12V, 24V","3.3V, 5V, 12V, 18V","7.1"" L x 4.7"" W (179.1mm x 120.4mm)","Ethernet, Infrared, Pushbutton, Serial","0°C ~ 60°C"
http://www.digitalview.com/media/brochures/AVP-1600-brochure.pdf,//media.digikey.com/Photos/Digital%20View%20Photos/4172200XX-3.jpg,586-1059-ND,4172200XX-3,Digital View Inc.,LCD DRVR BRD INFRARED/PUSHBUTTON,0,0,"Obsolete","0","5","-","Obsolete","-","12V, 24V","3.3V, 5V, 12V, 18V","5.6"" L x 3.6"" W (142.2mm x 91.4mm)","Infrared, Pushbutton, RS-232","0°C ~ 60°C"
http://www.digitalview.com/media/manuals/SVX-1920v2_manual_v1_0.pdf,-,586-1089-ND,41744022X-3,Digital View Inc.,LCD DRVR BRD ETHERNET/INFRARED,0,0,"Obsolete","0","1","-","Obsolete","-","12V, 24V","3.3V, 5V, 12V, 18V","7.1"" L x 4.7"" W (179.1mm x 120.4mm)","Ethernet, Infrared, Pushbutton, RS-232","0°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Digital%20View%20Inc%20PDFs/HE-1400_PB_8-14-11.pdf,-,4171001XX-3-ND,4171001XX-3,Digital View Inc.,LCD DRVR BRD PUSHBUTTON/SERIAL,0,0,"Obsolete","0","1","-","Obsolete","-","12V","3.3V, 5V, 12V","4.2"" L x 3.6"" W (107.4mm x 91.4mm)","Pushbutton, Serial","-40°C ~ 80°C"
-,-,416990XX-3-ND,416990XX-3,Digital View Inc.,LCD DRVR BRD INFRARED/PUSHBUTTON,0,0,"Obsolete","0","0","-","Obsolete","-","12V, 24V","3.3V, 5V, 12V, 18V","7.05"" L x 4.74"" W (179.1mm x 120.4mm)","Infrared, Pushbutton, RS-232","-"
-,-,4169901XX-3-ND,4169901XX-3,Digital View Inc.,LCD DRVR BRD INFRARED/PUSHBUTTON,0,0,"Obsolete","0","1","-","Obsolete","-","12V","3.3V, 5V, 12V","7.05"" L x 4.74"" W (179.1mm x 120.4mm)","Infrared, Pushbutton, RS-232","-40°C ~ 85°C"
https://digitalview.com/downloads/other/HD-3000_Manual.pdf,//media.digikey.com/Photos/Digital%20View%20Photos/MFG_416016050-3.jpg,416016050-3-ND,416016050-3,Digital View Inc.,LCD DRVR BRD ADAPTER ADD-ON,0,0,"Active","0","0","-","Active","-","12V","-","4.91"" L x 3.06"" W (124.8mm x 77.6mm)","-","0°C ~ 60°C"
