Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Number of LEDs","Color","Controller Type","Utilized LED","Interface","Mounting Type","Size / Dimension"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2824_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2824.jpg,2824-ND,2824,Adafruit Industries LLC,ADDRESS LED STRIP SERIAL RGBW 5M,0,0,"89.75000","0","1","Neopixel","Active","Strip (Black)","150","Red, Green, Blue, White (RGBW)","-","SK6812 (5050)","Serial (Shift Register)","User Defined","5000.00mm L"
https://cdn-shop.adafruit.com/product-files/2432/SK9822SHIJI.pdf,-,1528-2854-ND,2432,Adafruit Industries LLC,DOTSTAR LED STRIP - ADDRESSABLE,0,0,"99.75000","0","1","Dotstar","Active","Strip","30","White, Cool","APA102C","SK9822","Serial (Shift Register)","User Defined","1000.00mm L"
https://cdn-shop.adafruit.com/product-files/2345/SK9822SHIJI.pdf,-,1528-2856-ND,2435,Adafruit Industries LLC,DOTSTAR LED STRIP - ADDRESSABLE,0,0,"99.75000","0","1","Dotstar","Active","Strip","30","White, Warm","-","-","Serial (Shift Register)","User Defined","1000.00mm L"
https://cdn-shop.adafruit.com/product-files/1138/SK6812+LED+datasheet+.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2959.jpg,2959-ND,2959,Adafruit Industries LLC,ADDRESS LED STRIP SERIAL RGB 4M,0,0,"99.80000","0","1","Neopixel","Active","Strip (White)","240","Red, Green, Blue (RGB)","-","SK6812 (3535)","Serial (Shift Register)","User Defined","4000.00mm L"
https://cdn-shop.adafruit.com/product-files/1138/SK6812+LED+datasheet+.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2964.jpg,1528-1643-ND,2964,Adafruit Industries LLC,ADDRESS LED STRIP SERIAL RGB 4M,0,0,"99.80000","0","1","Neopixel","Active","Strip (Black)","240","Red, Green, Blue (RGB)","-","SK6812 (3535)","Serial (Shift Register)","User Defined","4000.00mm L"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2736_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2736.jpg,2736-ND,2736,Adafruit Industries LLC,ADDRESS LED MATRIX SERIAL RGB,0,0,"99.95000","0","1","Dotstar","Active","Matrix","256 (8 x 32)","Red, Green, Blue (RGB)","-","APA102","Serial (Shift Register)","User Defined","317.5mm L x 81mm W"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2842_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2842.jpg,1528-1544-ND,2842,Adafruit Industries LLC,ADDRESS LED STRIP SERIAL RGBW 4M,0,0,"107.80000","0","1","Neopixel","Active","Strip (White)","240","Red, Green, Blue, White (RGBW)","-","SK6812 (5050)","Serial (Shift Register)","User Defined","4000.00mm L"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2837_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2837.jpg,1528-1569-ND,2837,Adafruit Industries LLC,ADDRESS LED STRIP SERIAL RGBW 4M,0,0,"107.80000","0","1","Neopixel","Active","Strip (Black)","240","Red, Green, Blue, White (RGBW)","-","SK6812 (5050)","Serial (Shift Register)","User Defined","4000.00mm L"
https://cdn-shop.adafruit.com/product-files/2343/APA102C.pdf,-,1528-2855-ND,2433,Adafruit Industries LLC,DOTSTAR LED STRIP - ADDRESSABLE,0,0,"119.80000","0","1","Dotstar","Active","Strip","60","White, Cool","APA102C","APA102C","Serial (Shift Register)","User Defined","1000.00mm L"
https://cdn-shop.adafruit.com/product-files/2436/SK9822SHIJI.pdf,-,1528-2857-ND,2436,Adafruit Industries LLC,DOTSTAR LED STRIP - ADDRESSABLE,0,0,"119.80000","0","1","Dotstar","Active","Strip","60","White, Warm","-","-","Serial (Shift Register)","User Defined","1000.00mm L"
