Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Composition","Diameter","Melting Point","Flux Type","Wire Gauge","Process","Form","Shelf Life","Shelf Life Start","Storage/Refrigeration Temperature"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1018,//media.digikey.com/photos/Kester%20Photos/24-6337-9703.JPG,KE1203-ND,24-6337-9703,Kester Solder,SOLDER RMA FLUX 27AWG 63/37 1LB,97,0,"61.44000","0","1","285","Active","Wire Solder","Sn63Pb37 (63/37)","0.015"" (0.38mm)","361°F (183°C)","Rosin Mildly Activated (RMA)","27 AWG, 28 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1091,//media.digikey.com/Photos/Kester%20Photos/24-9574-1402.jpg,KE1920-ND,24-9574-1402,Kester Solder,SOLDER 66 .031 20AWG 1LB,51,0,"62.63000","0","1","48","Active","Wire Solder","Sn99.3Cu0.7 (99.3/0.7)","0.031"" (0.79mm)","441°F (227°C)","Rosin Activated (RA)","20 AWG, 22 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1051,//media.digikey.com/photos/Kester%20Photos/24-6337-6422.jpg,KE1303-ND,24-6337-6422,Kester Solder,SOLDER WATER SOL 27AWG 63/37 1LB,84,0,"69.59000","0","1","331","Active","Wire Solder","Sn63Pb37 (63/37)","0.015"" (0.38mm)","361°F (183°C)","Water Soluble","27 AWG, 28 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1072,//media.digikey.com/photos/Kester%20Photos/KESTER%20SOLDER-24-6040-0010.jpg,KE1107-ND,24-6040-0010,Kester Solder,SOLDER RA 60/40 24AWG 1LB,65,0,"69.64000","0","1","44","Active","Wire Solder","Sn60Pb40 (60/40)","0.020"" (0.51mm)","361 ~ 374°F (183 ~ 190°C)","Rosin Activated (RA)","24 AWG, 25 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
http://www.chipquik.com/datasheets/TS391SNL250.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_TS391SNL250.jpg,TS391SNL250-ND,TS391SNL250,Chip Quik Inc.,THERMALLY STABLE SOLDER PASTE NO,21,0,"69.95000","0","1","-","Active","Solder Paste","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","-","423 ~ 428°F (217 ~ 220°C)","No-Clean","-","Lead Free","Jar, 8.8 oz (250g)","12 Months","Date of Manufacture","68°F ~ 77°F (20°C ~ 25°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1018,//media.digikey.com/photos/Kester%20Photos/24-6337-9700.jpg,KE1201-ND,24-6337-9700,Kester Solder,SOLDER RMA FLUX 24AWG 63/37 1LB,24,0,"83.64000","0","1","285","Active","Wire Solder","Sn63Pb37 (63/37)","0.020"" (0.51mm)","361°F (183°C)","Rosin Mildly Activated (RMA)","24 AWG, 25 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
http://www.chipquik.com/datasheets/SMDLTLFP250T4.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_SMDLTLFP250T4.jpg,SMDLTLFP250T4-ND,SMDLTLFP250T4,Chip Quik Inc.,SOLDER PASTE LOW TEMP T4 250G,12,0,"83.95000","0","1","-","Active","Solder Paste","Bi57.6Sn42Ag0.4 (57.6/42/0.4)","-","281°F (138°C)","No-Clean","-","Lead Free","Jar, 8.8 oz (250g)","6 Months, 2 Months","Date of Manufacture","37°F ~ 46°F (3°C ~ 8°C)"
https://www.kester.com/DesktopModules/Bring2mind/DMX/Download.aspx?Command=Core_Download&EntryId=978&language=en-US&PortalId=0&TabId=96,//media.digikey.com/photos/Kester%20Photos/24-7068-7607.jpg,KE1134-ND,24-7068-7607,Kester Solder,SOLDER NO-CLEAN .062"" 14AWG 1LB,77,0,"88.79000","0","1","275","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.062"" (1.57mm)","423 ~ 424°F (217 ~ 218°C)","No-Clean","14 AWG, 16 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/DesktopModules/Bring2mind/DMX/Download.aspx?Command=Core_Download&EntryId=978&language=en-US&PortalId=0&TabId=96,//media.digikey.com/photos/Kester%20Photos/24-7068-7601.jpg,KE1137-ND,24-7068-7601,Kester Solder,SOLDER NO-CLEAN .031"" 20AWG 1LB,10,0,"88.98000","0","1","275","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.031"" (0.79mm)","423 ~ 424°F (217 ~ 218°C)","No-Clean","20 AWG, 22 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/DesktopModules/Bring2mind/DMX/Download.aspx?Command=Core_Download&EntryId=978&language=en-US&PortalId=0&TabId=96,//media.digikey.com/photos/Kester%20Photos/24-7068-7606.jpg,KE1133-ND,24-7068-7606,Kester Solder,SOLDER NO-CLEAN .050"" 16AWG 1LB,57,0,"91.39000","0","1","275","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.050"" (1.27mm)","423 ~ 424°F (217 ~ 218°C)","No-Clean","16 AWG, 18 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
