Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Positions","Pitch","Outer Dimension","Inner Dimension","Thermal Center Pad","Material"
http://www.chipquik.com/datasheets/PA0103-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/PA0103-S.JPG,PA0103-S-ND,PA0103-S,Chip Quik Inc.,STENCIL LGA-16 .5MM,4,0,"11.59000","0","1","Proto-Advantage PA","Active","LGA","16","0.020"" (0.50mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)","-","Stainless Steel"
http://www.chipquik.com/datasheets/PA0188-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/PA0188-S.JPG,PA0188-S-ND,PA0188-S,Chip Quik Inc.,STENCIL TQFP-144 .5MM,4,0,"11.59000","0","1","Proto-Advantage PA","Active","TQFP","144","0.020"" (0.50mm)","1.950"" L x 1.350"" W (49.53mm x 34.29mm)","0.787"" L x 0.787"" W (20.00mm x 20.00mm)","-","Stainless Steel"
http://www.chipquik.com/datasheets/IPC0026-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_IPC0026-S.JPG,IPC0026-S-ND,IPC0026-S,Chip Quik Inc.,QFN-40 STENCIL,3,0,"11.59000","0","1","Proto-Advantage IPC","Active","QFN/LFCSP","40","0.020"" (0.50mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.236"" L x 0.236"" W (6.00mm x 6.00mm)","0.161"" L x 0.161"" W (4.10mm x 4.10mm)","Stainless Steel"
http://www.chipquik.com/datasheets/PA0027-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/PA0027-S.JPG,PA0027-S-ND,PA0027-S,Chip Quik Inc.,STENCIL MSOP-10,2,0,"11.59000","0","1","Proto-Advantage PA","Active","uMAX","10","0.020"" (0.50mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","-","-","Stainless Steel"
http://www.chipquik.com/datasheets/PA0020-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/PA0020-S.JPG,PA0020-S-ND,PA0020-S,Chip Quik Inc.,STENCIL SSOP-28 .65MM,2,0,"11.59000","0","1","Proto-Advantage PA","Active","SSOP","28","0.026"" (0.65mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","-","-","Stainless Steel"
http://www.chipquik.com/datasheets/PA0101-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/PA0101-S.JPG,PA0101-S-ND,PA0101-S,Chip Quik Inc.,STENCIL LGA-14 3X5MM .8MM,2,0,"11.59000","0","1","Proto-Advantage PA","Active","LGA","14","0.031"" (0.80mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.197"" L x 0.118"" W (5.00mm x 3.00mm)","-","Stainless Steel"
http://www.chipquik.com/datasheets/BGA0006-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/BGA0006-S.JPG,BGA0006-S-ND,BGA0006-S,Chip Quik Inc.,STENCIL BGA-484 1MM,4,0,"20.99000","0","1","Proto-Advantage BGA","Active","BGA","484","0.039"" (1.00mm)","2.600"" L x 1.800"" W (66.04mm x 45.72mm)","-","-","Stainless Steel"
http://www.chipquik.com/datasheets/BGA0004-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/BGA0004-S.JPG,BGA0004-S-ND,BGA0004-S,Chip Quik Inc.,STENCIL BGA-100 1MM,2,0,"20.99000","0","1","Proto-Advantage BGA","Active","BGA","100","0.039"" (1.00mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","-","-","Stainless Steel"
http://www.chipquik.com/datasheets/PA0003-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0003-S.JPG,PA0003-S-ND,PA0003-S,Chip Quik Inc.,SOIC-14 STENCIL,1,0,"11.59000","0","1","Proto-Advantage PA","Active","SOIC","14","0.050"" (1.27mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","-","-","Stainless Steel"
http://www.chipquik.com/datasheets/PA0002-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0002-S.JPG,PA0002-S-ND,PA0002-S,Chip Quik Inc.,SOIC-8 STENCIL,1,0,"11.59000","0","1","Proto-Advantage PA","Active","SOIC","8","0.050"" (1.27mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","-","-","Stainless Steel"
