Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tip - Type","Tip - Shape","Height","Width","Length","Diameter","Tip - Chip Size","Temperature Range","For Use With/Related Products"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/PTO8.jpg,PTO8-ND,PTO8,Apex Tool Group,TIP LONG CONICAL 1/32"" 800F,142,0,"3.80000","0","1","Weller®, PT","Active","Soldering","Conical","0.031"" (0.80mm)","0.044"" (1.12mm)","1.000"" (25.40mm)","-","-","800°F (427°C)","TC201, TCP"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/TPTB7.jpg,TPTB7-ND,TPTB7,Apex Tool Group,SCREWDRIVER TIP,123,0,"3.80000","0","1","Weller®, PT","Active","Soldering","Screwdriver","0.020"" (0.50mm)","0.094"" (2.40mm)","0.620"" (15.75mm)","-","-","-","TC201, TCP"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/PTD8.jpg,PTD8-ND,PTD8,Apex Tool Group,TIP SCREWDRIVER 0.187,194,0,"3.90000","0","1","Weller®, PT","Active","Soldering","Screwdriver","0.035"" (0.90mm)","0.187"" (4.75mm)","0.620"" (15.75mm)","-","-","800°F (427°C)","TC201, TCP"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/PTF7.JPG,PTF7-ND,PTF7,Apex Tool Group,TIP REPLACEMENT .031"" 700 DEG,120,0,"3.90000","0","1","Weller®, PT","Active","Soldering","Conical, Flat","0.033"" (0.84mm)","0.047"" (1.19mm)","0.625"" (15.88mm)","-","-","700°F (371°C)","TC201, TCP"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/PTH8.jpg,PTH8-ND,PTH8,Apex Tool Group,TIP SCREWDRIVER 1/32"" 800F,114,0,"3.90000","0","1","Weller®, PT","Active","Soldering","Screwdriver","0.019"" (0.48mm)","0.031"" (0.80mm)","0.620"" (15.75mm)","-","-","800°F (427°C)","TC201, TCP"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/ST7.JPG,ST7-ND,ST7,Apex Tool Group,TIP/ SOLDERING IRON PART# SP40L,498,0,"4.00000","0","1","Weller®, ST","Active","Soldering","Conical","-","-","0.750"" (19.05mm)","0.031"" (0.80mm) OD","-","-","SP40L, SP40N, WLC100, WP25, WP40, WP35"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/ST5.JPG,ST5-ND,ST5,Apex Tool Group,TIP REPLACEMENT SINGLE FLAT.031"",126,0,"4.00000","0","1","Weller®, ST","Active","Soldering","Flat, Single","-","0.031"" (0.80mm)","0.750"" (19.05mm)","-","-","-","SP40L, SP40N, WLC100, WP25, WP40, WP35"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/ST6.JPG,TST6-ND,TST6,Apex Tool Group,TIP REPLACEMENT SCREWDRVR .031"",219,0,"4.10000","0","1","Weller®, ST","Active","Soldering","Screwdriver","-","0.031"" (0.80mm)","0.750"" (19.05mm)","-","-","-","SP40L, SP40N, WLC100, WP25, WP40, WP35"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/ST1.JPG,ST1-ND,ST1,Apex Tool Group,TIP REPLACEMENT SCREWDR .062"",161,0,"4.10000","0","1","Weller®, ST","Active","Soldering","Screwdriver","0.031"" (0.80mm)","0.062"" (1.57mm)","0.750"" (19.05mm)","-","-","-","SP40L, SP40N, WLC100, WP25, WP40, WP35"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/ETT.jpg,ETT-ND,ETT,Apex Tool Group,TIP CONICAL 1/4,285,0,"4.30000","0","1","Weller®, ET","Active","Soldering","Conical","-","-","0.625"" (15.88mm)","0.024"" (0.60mm) ID","-","-","EC1201, PES50, PES51"
