Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Size","For Use With/Related Products","Specifications"
-,//media.digikey.com/photos/Easy%20Braid%20Photos/S3030R-O-T.JPG,EB1198-ND,S3030R-O-T,MENDA/EasyBraid,SLDR SPNG 3"" DIA CNTR HOLE 10PK,12,0,"24.75000","0","1","-","Active","Sponge","3.00"" Dia (76.2mm)","Soldering Irons, Workstands","Single Center Hole"
https://www.hakkousa.com/files/index/download/id/15122/,//media.digikey.com/Photos/Hakko/MFG_FT700-05.jpg,1691-1072-ND,FT700-05,"American Hakko Products, Inc.",SOLDER TIP POLISHER SPIN BRUSHES,19,0,"156.27000","0","1","FT","Active","Tip Polisher","-","Soldering Irons, Workstands","Spinning Brushes"
-,//media.digikey.com/Photos/Hakko/A1042%5EP.JPG,1691-1017-ND,A1042/P,"American Hakko Products, Inc.",SOLDER SPONGE 2.6X2.6"" CNTR HOLE,86,0,"3.57000","0","1","-","Active","Sponge","2.60"" L x 2.60"" W (66.0mm x 66.0mm)","-","Single Center Hole"
https://www.techspray.com/Content/Images/uploaded/Documents/PLATO%20170S%20Brochure.pdf,//media.digikey.com/Photos/Chemtronics/MFG_CS-17%5E625.jpg,CS-17/625-ND,CS-17/625,Techspray,SOLDER SPONGE 17X8.5"" PLAIN,6,0,"20.59000","0","1","Plato®","Active","Sponge","17.00"" L x 8.50"" W (431.8mm x 215.9mm)","Soldering Irons, Workstands","Cut to Fit, No Holes"
https://www.techspray.com/Content/Images/uploaded/Documents/PLATO%20170S%20Brochure.pdf,//media.digikey.com/Photos/Chemtronics/MFG_CS-17.jpg,CS-17-ND,CS-17,Techspray,SOLDER SPONGE 17X8.5"" PLAIN,9,0,"25.62000","0","1","Plato®","Active","Sponge","17.00"" L x 8.50"" W (431.8mm x 215.9mm)","Soldering Irons, Workstands","Cut to Fit, No Holes"
https://www.techspray.com/Content/Images/uploaded/Documents/PLATO%20170S%20Brochure.pdf,//media.digikey.com/Photos/Chemtronics/MFG_CS-1.jpg,CS-1-ND,CS-1,Techspray,SLDR SPNG 2.13X1.5"" CTR HOL,13,0,"1.95000","0","1","Plato®","Active","Sponge","2.13"" L x 1.50"" W (54.0mm x 38.0mm)","Soldering Irons, Workstands","Single Center Hole"
https://www.techspray.com/Content/Images/uploaded/Documents/PLATO%20170S%20Brochure.pdf,//media.digikey.com/Photos/Chemtronics/MFG_CS-14M.jpg,CS-14M-ND,CS-14M,Techspray,SOLDER SPONGE 2.75X2.16"" SC,23,0,"2.75000","0","1","Plato®","Active","Sponge","2.75"" L x 2.16"" W (70.0mm x 55.0mm)","Soldering Irons, Workstands","Swiss Cheese Style"
-,//media.digikey.com/Photos/Hakko/609-029.jpg,1691-1007-ND,609-029,"American Hakko Products, Inc.",SOLDER SPONGE 2.6X2.6"" SC STYLE,21,0,"3.27000","0","1","-","Active","Sponge","2.60"" L x 2.60"" W (66.0mm x 66.0mm)","-","Swiss Cheese Style"
http://documents.easybraidco.com/PDF/Solder-Sponge-Center-Hole.pdf,//media.digikey.com/Photos/Menda-EasyBraid/MFG_S3017-O.jpg,EB1573-ND,S3017-O-T,MENDA/EasyBraid,SLDR SPONGE 3X1.7"" CTR HOLE,15,0,"2.01000","0","1","Solder Soakers™","Active","Sponge","3.00"" L x 1.70"" W (76.1mm x 43.1mm)","Soldering Irons, Workstands","Single Center Hole"
http://documents.easybraidco.com/PDF/Solder-Sponge-Center-Hole.pdf,-,S1525-O-M-ND,S1525-O-M,MENDA/EasyBraid,SLDR SPNG 2.5X1.5"" CTR HOL 1000P,0,0,"0.96005","0","1000","Solder Soakers™","Active","Sponge","2.50"" L x 1.50"" W (63.5mm x 38.0mm)","Soldering Irons, Workstands","Single Center Hole"
http://documents.easybraidco.com/PDF/Solder-Sponge-Center-Hole.pdf,//media.digikey.com/Photos/Menda-EasyBraid/MFG_S2222-O.jpg,S2222-O-M-ND,S2222-O-M,MENDA/EasyBraid,SLDR SPNG 2.2X2.2"" CTR HOL 1000P,0,0,"1.08676","0","1000","Solder Soakers™","Active","Sponge","2.20"" L x 2.20"" W (55.8mm x 55.8mm)","Soldering Irons, Workstands","Single Center Hole"
http://documents.easybraidco.com/PDF/Solder-Sponge-Center-Hole.pdf,//media.digikey.com/Photos/Menda-EasyBraid/MFG_S3017-O.jpg,S3017-O-M-ND,S3017-O-M,MENDA/EasyBraid,SLDR SPNG 3X1.7"" CTR HOLE 1000PK,0,0,"1.08676","0","1000","Solder Soakers™","Active","Sponge","3.00"" L x 1.70"" W (76.1mm x 43.1mm)","Soldering Irons, Workstands","Single Center Hole"
