Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","For Use With/Related Products","Includes"
-,-,B3442-ND,B3442,"American Hakko Products, Inc.","HOLDER,HANDPIECE,FR-803B/802/801",0,0,"12.47000","0","1","-","Active","-","-","-"
-,-,607-022-ND,607-022,"American Hakko Products, Inc.","HOLDER,HEAD,IRON,607",0,0,"15.07000","0","1","-","Active","-","-","-"
-,-,B1470-ND,B1470,"American Hakko Products, Inc.","BASE,IRON HOLDER,631,W/SPONGE",0,0,"17.17000","0","1","-","Active","-","-","-"
-,-,606/P-ND,606/P,"American Hakko Products, Inc.","HOLDER,IRON,606,GLD",0,0,"17.57000","0","1","-","Active","-","-","-"
-,-,603AH-ND,603,"American Hakko Products, Inc.","HOLDER,IRON,603",0,0,"20.17000","0","1","-","Active","-","-","-"
-,-,633-02-ND,633-02,"American Hakko Products, Inc.","HOLDER,IRON,W/SPONGE&TRAY,633",0,0,"24.57000","0","1","-","Active","-","-","-"
-,-,633-01-ND,633-01,"American Hakko Products, Inc.","HOLDER,IRON,W/599B,633",0,0,"26.17000","0","1","-","Active","-","-","-"
-,-,631-01-ND,631-01,"American Hakko Products, Inc.","HOLDER,IRON,N452/N453/N454/900M/",0,0,"30.47000","0","1","-","Active","-","-","-"
-,-,C1437-ND,C1437,"American Hakko Products, Inc.","HOLDER,GUN,951/952",0,0,"30.87000","0","1","-","Active","-","-","-"
-,-,607AH-ND,607,"American Hakko Products, Inc.","HOLDER,GUN,607",0,0,"31.37000","0","1","-","Active","-","-","-"
-,-,631-06-ND,631-06,"American Hakko Products, Inc.","HOLDER,GUN,809,631",0,0,"34.87000","0","1","-","Active","-","-","-"
-,-,B5048-ND,B5048,"American Hakko Products, Inc.","HOLDER,HANDPIECE,FR-810",0,0,"39.77000","0","1","-","Active","-","-","-"
-,-,C1313-ND,C1313,"American Hakko Products, Inc.","HOLDER,HOT TWEEZER,950",0,0,"39.87000","0","1","-","Active","-","-","-"
-,-,FH200-02-ND,FH200-02,"American Hakko Products, Inc.","HOLDER,FM-2030/2027,W/SPONGE,FM-",0,0,"54.67000","0","1","-","Active","-","-","-"
-,-,B3472-ND,B3472,"American Hakko Products, Inc.","BASE,IRON HOLDER,W/RECEPTACLE &",0,0,"62.47000","0","1","-","Active","-","-","-"
-,-,FH800-03BY-ND,FH800-03BY,"American Hakko Products, Inc.","HOLDER,IRON,FX-888D/888,FX-8801,",0,0,"62.97000","0","1","-","Active","-","-","-"
-,-,FH800-04BY-ND,FH800-04BY,"American Hakko Products, Inc.","HOLDER,HOT TWEEZER,FX-8804",0,0,"62.97000","0","1","-","Active","-","-","-"
-,-,FH800-51BY-ND,FH800-51BY,"American Hakko Products, Inc.","HOLDER,IRON,FX-100,FX-1001,FH-80",0,0,"62.97000","0","1","-","Active","-","-","-"
-,-,FH200-01-ND,FH200-01,"American Hakko Products, Inc.","HOLDER,FM-2030/2027,W/599B,FM-20",0,0,"63.17000","0","1","-","Active","-","-","-"
-,-,FH200-51-ND,FH200-51,"American Hakko Products, Inc.","HOLDER,FM-2032,W/SPONGE,FM-206/2",0,0,"63.17000","0","1","-","Active","-","-","-"
-,-,FH200-04-ND,FH200-04,"American Hakko Products, Inc.","HOLDER,FM-2023,W/SPONGE,FM-206/2",0,0,"66.67000","0","1","-","Active","-","-","-"
-,-,FH200-83-ND,FH200-83,"American Hakko Products, Inc.","HOLDER,FX-8002,W/599B,FX-801,FH-",0,0,"69.97000","0","1","-","Active","-","-","-"
-,-,FH200-03-ND,FH200-03,"American Hakko Products, Inc.","HOLDER,FM-2022,W/SPONGE,FM-206/2",0,0,"74.87000","0","1","-","Active","-","-","-"
-,-,FH200-05-ND,FH200-05,"American Hakko Products, Inc.","HOLDER,FM-2024,W/599B,FM-206/205",0,0,"79.97000","0","1","-","Active","-","-","-"
-,-,FH400-82-ND,FH400-82,"American Hakko Products, Inc.","HOLDER,FR-4001,W/FT-400,FR-400,F",0,0,"142.17000","0","1","-","Active","-","-","-"
-,//media.digikey.com/photos/Cooper%20Industries%20Photos/WPH80.jpg,WPH80-ND,WPH80,Apex Tool Group,SOLDER PENCIL STAND,0,0,"Obsolete","0","1","Weller®","Obsolete","-","WS80, WSD80 Silver Series Soldering Stations","-"
-,//media.digikey.com/photos/Cooper%20Industries%20Photos/WMPH.jpg,WMPH-ND,WMPH,Apex Tool Group,IRON STAND FOR WMP SERIES,0,0,"Obsolete","0","1","Weller®","Obsolete","Iron","WMP Micro Soldering Pencil","-"
-,//media.digikey.com/photos/Cooper%20Industries%20Photos/WPH81.jpg,WPH81-ND,WPH81,Apex Tool Group,IRON STAND FOR WSP80 PENCIL,0,0,"Obsolete","0","1","Weller®","Obsolete","-","MSP80 Series Soldering Pencil","-"
-,-,0051514599-ND,0051514599,Apex Tool Group,IRON STAND W/SPONGE FOR WMRP,0,0,"Obsolete","0","1","Weller®","Obsolete","Iron","0052917199","Sponge"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0051503399.jpg,T0051503399-ND,T0051503399,Apex Tool Group,HOLDER & SPONGE KH25P SLD PENCIL,0,0,"Obsolete","0","1","Weller®","Obsolete","Iron","MPR Soldering Pencil","Sponge"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/EBSHH-1.jpg,EB1236-ND,SHH-1,MENDA/EasyBraid,WORKSTAND,0,0,"Discontinued at Digi-Key","0","1","EB","Discontinued at Digi-Key","Iron","-","Sponge and Brass Cleaning Pad"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_SHH-2.jpg,SHH-2-ND,SHH-2,MENDA/EasyBraid,WORKSTAND W/CONNECTION CABLE,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","Iron","EB-5000S","Sponge and Brass Cleaning Pad"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_PH1201FE.jpg,PH1201FE-ND,PH1201FE,Apex Tool Group,IRON HOLDER FOR FUMEX EC1201AFE,0,0,"Obsolete","0","1","-","Obsolete","Iron","EC1201AFE","Sponge"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0051503099.jpg,T0051503099-ND,T0051503099,Apex Tool Group,AK 20 SUPPORT,0,0,"Obsolete","0","1","-","Obsolete","-","-","-"
-,-,SHH-1-UPG-ND,SHH-1-UPG,MENDA/EasyBraid,SLEEP WORKSTND UPGRD KT EB-9000S,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/EDS-KIT.pdf,-,SHH-3-ND,SHH-3,MENDA/EasyBraid,DESOLDERING GUN WORKSTAND,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","Iron, Desoldering","EB-2000S, EB-5000S, EB-9000S","Brass Cleaning Pad"
-,-,SHH-4-ND,SHH-4,MENDA/EasyBraid,WORKSTAND W/CONN CABLE,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","Iron","EB-2000S","Sponge and Brass Cleaning Pad"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/ETZ-KIT.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_SHH%20Series.jpg,SHH-MTZ-ND,SHH-MTZ,MENDA/EasyBraid,TWEEZER WORKSTAND - EB-9000S,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","Iron","EB-9000S","Sponge and Brass Cleaning Pad"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/ETZ-KIT.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_SHH%20Series.jpg,SHH-TTZ-ND,SHH-TTZ,MENDA/EasyBraid,TWEEZER WORKSTAND - EB-5000S,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","Iron","EB5000S","Sponge and Brass Cleaning Pad"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/ETZ-KIT.pdf,-,SHH-KTZ-ND,SHH-KTZ,MENDA/EasyBraid,TWEEZER WORKSTAND - EB-2000S,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","Tweezer","-","-"
-,-,SHH-5-ND,SHH-5,MENDA/EasyBraid,WORKSTAND W/CONN CABLE,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/17531.pdf,//media.digikey.com/Photos/Aven%20Photos/17531.jpg,243-1180-ND,17531,Aven Tools,SOLDERING IRON STAND,0,0,"Obsolete","0","1","-","Obsolete","Iron","-","Sponge"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/17533.pdf,//media.digikey.com/Photos/Aven%20Photos/17533.jpg,243-1181-ND,17533,Aven Tools,SOLDERING IRON STAND 2POS,0,0,"Obsolete","0","1","-","Obsolete","Iron","-","Sponge"
-,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_404060000.jpg,404060000-ND,404060000,"Seeed Technology Co., Ltd",MINI SOLDERING IRON STAND,0,0,"Obsolete","0","1000","-","Obsolete","Iron","Portable Toolkit","Sponge"
-,-,404060001-ND,404060001,"Seeed Technology Co., Ltd",SOLDERING IRON STAND,0,0,"Obsolete","0","10","-","Obsolete","Iron","Soldering Pencil Irons","Sponge"
