Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Chemical Component","Applications","Size","Shipping Info"
http://www.chipquik.com/datasheets/CQNRM-1.0.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_CQNRM-1.0.JPG,CQNRM-1.0-ND,CQNRM-1.0,Chip Quik Inc.,DEGREASER / CONTACT CLEANER (NON,36,0,"14.95000","0","1","Bottle","CHIPQUIK®","Active","Cleaner, Degreaser","-","Electronics","30mL","-"
https://www.techspray.com/content/msds/TS-1613_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_1613-6S.jpg,1873-1100-ND,1613-6S,Techspray,LABEL & ADHESIVE REMOVER (ORM-D),31,0,"15.32000","0","1","Aerosol Can","-","Active","Solvent","Citrus Base","Adhesive Removal","12 oz","Due to possible restrictions, a change in ship method may be required."
-,-,ST1162-ND,ACL-8601,ACL Staticide Inc,STATICIDE CLEANER/DEGREASER,12,0,"16.80000","0","1","-","Staticide®","Active","Cleaner, Degreaser","-","Electronics","-","-"
-,-,3M162143-ND,SILICONE-LUBRICANT-24OZ,3M,SILICONE LUBRICANT NET WT 13.25,40,0,"21.92000","0","1","-","-","Active","-","-","-","-","-"
https://www.mgchemicals.com/downloads/tds/tds-8241-110.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_8241-110.jpg,473-1440-ND,8241-110,MG Chemicals,IPA 70/30 PRESAT STENCIL WIPES,15,0,"22.39000","0","1","-","-","Active","Wipes, Pre-Saturated","Isopropyl Alcohol","Electronics","-","-"
//media.digikey.com/pdf/Data%20Sheets/ITW%20Chemtronics/ES1025.pdf,//media.digikey.com/Photos/Chemtronics/MFG_ES1025.jpg,ES1025-ND,ES1025,Chemtronics,DUSTER ELECTRONICS 10 OZ,7,0,"23.22000","0","1","Aerosol Can","Typhoon Blast™","Active","Duster","-","Electronics","10 oz","Due to possible restrictions, a change in ship method may be required."
https://multimedia.3m.com/mws/media/224566O/adhesive-remover-citrus-base.pdf,//media.digikey.com/Photos/3M%20Photos/6041-18.5OZ-CAN.JPG,3M156526-ND,6041-18.5OZ-CAN,3M,SOLVENT ADHESIVE REMOVAL 18.5 OZ,16,0,"27.76000","0","1","Spray Can","-","Active","Solvent","Citrus Base","Adhesive Removal","18.5 oz","Due to possible restrictions, a change in ship method may be required."
http://multimedia.3m.com/mws/media/224566O/adhesive-remover-citrus-base.pdf,-,3M161004-ND,ADH REMOVER,3M,SOLVENT ADHESIVE REMOVAL 6 OZ,12,0,"28.11000","0","1","Spray Can","-","Active","Solvent","-","Adhesive Removal","6 oz","Due to possible restrictions, a change in ship method may be required."
http://multimedia.3m.com/mws/media/66324O/citrus-base-cleaneraerosol-industrial-cleaner-bulk.PDF,-,3M161099-ND,CITRUS-BASED-CLEANER-24OZ,3M,SOLVENT ADHESIVE REMOVAL 24 OZ,36,0,"32.02000","0","1","Spray Can","-","Active","Solvent","Citrus Base","Adhesive Removal","24 oz","Due to possible restrictions, a change in ship method may be required."
https://www.mgchemicals.com/downloads/tds/tds-433c-l.pdf,-,473-1356-ND,433C-1L,MG Chemicals,D-LIMONENE-INDUSTRIAL STRENGTH,12,0,"36.38000","0","1","Can","-","Active","Solvent","-","Adhesive Removal","1 Liter/35 fl oz","-"
