Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Applications","Voltage - Rated","Current Rating (Amps)","Mounting Type","Package / Case","Supplier Device Package"
https://www.onsemi.com/pub/Collateral/UMC2NT1-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/7SZ_SOT%E2%88%92353_419A%E2%88%9202.jpg,UMC5NT1GOSDKR-ND,UMC5NT1G,ON Semiconductor,TRANS BRT NPN/PNP DUAL SOT-353,18780,33000,"Digi-Reel","0","1","Digi-Reel®","-","Active","1 NPN, 1 PNP - Pre-Biased (Dual)","-","50V","100mA","Surface Mount","5-TSSOP, SC-70-5, SOT-353","SC-88A (SC-70-5/SOT-353)"
https://assets.nexperia.com/documents/data-sheet/PMD2001D.pdf,//media.digikey.com/Renders/Nexperia/1727;-SOT457;-GV;-6.jpg,1727-5184-2-ND,"PMD2001D,115",Nexperia USA Inc.,IC MOSFET DRIVER 6TSOP,27000,0,"0.09360","0","3000","Tape & Reel (TR)","-","Active","NPN, PNP (Emitter Coupled)","MOSFET Driver","40V","600mA","Surface Mount","SC-74, SOT-457","6-TSOP"
https://assets.nexperia.com/documents/data-sheet/PMD2001D.pdf,//media.digikey.com/Renders/Nexperia/1727;-SOT457;-GV;-6.jpg,1727-5184-1-ND,"PMD2001D,115",Nexperia USA Inc.,IC MOSFET DRIVER 6TSOP,28714,0,"0.43000","0","1","Cut Tape (CT)","-","Active","NPN, PNP (Emitter Coupled)","MOSFET Driver","40V","600mA","Surface Mount","SC-74, SOT-457","6-TSOP"
https://assets.nexperia.com/documents/data-sheet/PMD2001D.pdf,//media.digikey.com/Renders/Nexperia/1727;-SOT457;-GV;-6.jpg,1727-5184-6-ND,"PMD2001D,115",Nexperia USA Inc.,IC MOSFET DRIVER 6TSOP,28714,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","NPN, PNP (Emitter Coupled)","MOSFET Driver","40V","600mA","Surface Mount","SC-74, SOT-457","6-TSOP"
https://assets.nexperia.com/documents/data-sheet/BCM61B.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT143.jpg,1727-5454-2-ND,"BCM61B,215",Nexperia USA Inc.,TRANS NPN DBL 45V 100MA SOT-143B,3000,0,"0.09900","0","3000","Tape & Reel (TR)","-","Active","2 NPN (Dual)","Current Mirror","45V","100mA","Surface Mount","TO-253-4, TO-253AA","SOT-143B"
https://assets.nexperia.com/documents/data-sheet/BCM61B.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT143.jpg,1727-5454-1-ND,"BCM61B,215",Nexperia USA Inc.,TRANS NPN DBL 45V 100MA SOT143B,5825,0,"0.36000","0","1","Cut Tape (CT)","-","Active","2 NPN (Dual)","Current Mirror","45V","100mA","Surface Mount","TO-253-4, TO-253AA","SOT-143B"
https://assets.nexperia.com/documents/data-sheet/BCM61B.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT143.jpg,1727-5454-6-ND,"BCM61B,215",Nexperia USA Inc.,TRANS NPN DBL 45V 100MA SOT143B,5825,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2 NPN (Dual)","Current Mirror","45V","100mA","Surface Mount","TO-253-4, TO-253AA","SOT-143B"
https://www.diodes.com/assets/Datasheets/ds30296.pdf,//media.digikey.com/Renders/Diodes%20Renders/31;%20SOT363;%20;%206.jpg,CTA2P1N-FDITR-ND,CTA2P1N-7-F,Diodes Incorporated,TRANS ARRAY PNP/N-CH 40V SOT363,6000,42000,"0.12128","0","3000","Tape & Reel (TR)","-","Active","PNP, N-Channel","General Purpose","40V PNP, 60V N-Channel","600mA PNP, 115mA N-Channel","Surface Mount","6-TSSOP, SC-88, SOT-363","SOT-363"
https://www.diodes.com/assets/Datasheets/ds30296.pdf,//media.digikey.com/Renders/Diodes%20Renders/31;%20SOT363;%20;%206.jpg,CTA2P1N-FDICT-ND,CTA2P1N-7-F,Diodes Incorporated,TRANS ARRAY PNP/N-CH 40V SOT363,8067,42000,"0.44000","0","1","Cut Tape (CT)","-","Active","PNP, N-Channel","General Purpose","40V PNP, 60V N-Channel","600mA PNP, 115mA N-Channel","Surface Mount","6-TSSOP, SC-88, SOT-363","SOT-363"
https://www.diodes.com/assets/Datasheets/ds30296.pdf,//media.digikey.com/Renders/Diodes%20Renders/31;%20SOT363;%20;%206.jpg,CTA2P1N-FDIDKR-ND,CTA2P1N-7-F,Diodes Incorporated,TRANS ARRAY PNP/N-CH 40V SOT363,8067,42000,"Digi-Reel","0","1","Digi-Reel®","-","Active","PNP, N-Channel","General Purpose","40V PNP, 60V N-Channel","600mA PNP, 115mA N-Channel","Surface Mount","6-TSSOP, SC-88, SOT-363","SOT-363"
