Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Filter Type","Size / Dimension","Height - Seated (Max)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19867,//media.digikey.com/Photos/Fair-Right/2644373841.JPG,1934-1295-ND,2644373841,Fair-Rite Products Corp.,44 MULTI-HOLE PLATE,6131,0,"0.81000","0","1","-","Active","Ferrite Plate","0.80"" L x 0.39"" W x 0.13"" H (20.3mm x 10.0mm x 3.2mm)","-"
http://assets.lairdtech.com/home/brandworld/files/MP1496-000.pdf,//media.digikey.com/photos/Steward%20Photos/MP1496-000.jpg,240-2268-ND,MP1496-000,Laird-Signal Integrity Products,FERRITE EMI PLATE 38MMX38MMX2MM,3428,0,"1.12000","0","1","-","Active","Ferrite Plate","1.496"" L x 1.496"" W (38.00mm x 38.00mm)","0.079"" (2.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/MP_33_Series.pdf,//media.digikey.com/photos/Steward%20Photos/MP1040-200.JPG,240-2776-ND,MP2126-0M0,Laird-Signal Integrity Products,FERRITE PLATE 53.80X53.80X1.1MM,504,0,"4.79000","0","1","MP","Active","Ferrite Plate","2.118"" L x 2.118"" W (53.80mm x 53.80mm)","0.043"" (1.10mm)"
//media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/MP_33_Series.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/MP3940-0M0.JPG,240-2780-ND,MP3940-0M0,Laird-Signal Integrity Products,FERRITE PLATE 100MMX56MMX1.1MM,283,0,"7.82000","0","1","MP","Active","Ferrite Plate","3.937"" L x 2.205"" W (100.00mm x 56.00mm)","0.043"" (1.10mm)"
//media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/MP_33_Series.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/33P3839-0M0.jpg,240-2774-ND,33P3839-0M0,Laird-Signal Integrity Products,FERRITE PLATE 97.5MMX50MMX1.1MM,1059,0,"8.19000","0","1","33","Active","Ferrite Plate","3.839"" L x 1.969"" W (97.50mm x 50.00mm)","0.043"" (1.10mm)"
//media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/Ferrite_EMI_Disks_Plates.pdf,"//media.digikey.com/photos/Steward%20Photos/HM0787-100,%20MM0787-100.jpg",240-2248-ND,HM0787-100,Laird-Signal Integrity Products,FERRITE EMI DISC 20MM X 1.27MM,2069,0,"0.39000","0","1","-","Active","Ferrite Disk","0.787"" Dia (20.00mm)","0.050"" (1.27mm)"
//media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/Ferrite_EMI_Disks_Plates.pdf,//media.digikey.com/photos/Steward%20Photos/HP1040-200.JPG,240-2258-ND,HP1040-200,Laird-Signal Integrity Products,FERRITE EMI PLT 26.42X26.42X1.91,6707,0,"0.64000","0","1","-","Active","Ferrite Plate","1.040"" L x 1.040"" W (26.42mm x 26.42mm)","0.075"" (1.91mm)"
//media.digikey.com/pdf/Data%20Sheets/Steward%20PDFs/MP_33_Series.pdf,//media.digikey.com/photos/Steward%20Photos/MP1040-200.JPG,240-2778-ND,MP1496-0M0,Laird-Signal Integrity Products,FERRITE PLATE 38MMX38MMX2MM,396,0,"4.05000","0","1","MP","Active","Ferrite Plate","1.496"" L x 1.496"" W (38.00mm x 38.00mm)","0.079"" (2.00mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19837,-,1934-1098-ND,2644246701,Fair-Rite Products Corp.,44 MULTI-HOLE PLATE,36035,0,"0.27000","0","1","-","Active","Ferrite Plate","0.49"" L x 0.10"" W x 0.06"" H (12.5mm x 2.5mm x 1.5mm)","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19852,-,1934-1538-ND,2644247001,Fair-Rite Products Corp.,44 MULTI-HOLE PLATE,4501,0,"0.31000","0","1","-","Active","Ferrite Plate","0.493"" L x 0.194"" W (12.52mm x 4.94mm)","0.060"" (1.52mm)"
