Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Filter Type","Number of Lines","Impedance @ Frequency","Inductance @ Frequency","Current Rating (Max)","DC Resistance (DCR) (Max)","Voltage Rating - DC","Voltage Rating - AC","Operating Temperature","Ratings","Approvals","Features","Mounting Type","Size / Dimension","Height (Max)","Package / Case"
https://katalog.we-online.de/pbs/datasheet/744230900.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-2582-6-ND,744230900,Wurth Electronics Inc.,CMC 550MA 2LN 90 OHM SMD,5705,0,"Digi-Reel","0","1","Digi-Reel®","WE-CNSW","Active","Signal Line","2","90 Ohms @ 100MHz","-","550mA","145mOhm","50V","-","-40°C ~ 105°C","-","-","-","Surface Mount","0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.047"" (1.20mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744232090.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad%20(3.2mm%20x%201.6%20mm).jpg",732-1469-2-ND,744232090,Wurth Electronics Inc.,CMC 370MA 2LN 90 OHM SMD,2000,0,"0.82301","0","2000","Tape & Reel (TR)","WE-CNSW","Active","Signal Line","2","90 Ohms @ 100MHz","-","370mA","300mOhm","50V","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.083"" (2.10mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744232090.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad%20(3.2mm%20x%201.6%20mm).jpg",732-1469-1-ND,744232090,Wurth Electronics Inc.,CMC 370MA 2LN 90 OHM SMD,3401,0,"1.23000","0","1","Cut Tape (CT)","WE-CNSW","Active","Signal Line","2","90 Ohms @ 100MHz","-","370mA","300mOhm","50V","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.083"" (2.10mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744232090.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad%20(3.2mm%20x%201.6%20mm).jpg",732-1469-6-ND,744232090,Wurth Electronics Inc.,CMC 370MA 2LN 90 OHM SMD,3401,0,"Digi-Reel","0","1","Digi-Reel®","WE-CNSW","Active","Signal Line","2","90 Ohms @ 100MHz","-","370mA","300mOhm","50V","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.083"" (2.10mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/7442335600.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-5621-2-ND,7442335600,Wurth Electronics Inc.,CMC 600MA 2LN 60 OHM SMD,0,0,"0.91800","0","3000","Tape & Reel (TR)","WE-CNSW HF","Active","Signal Line","2","60 Ohms @ 100MHz","-","600mA","220mOhm","20V","-","-40°C ~ 105°C","-","-","-","Surface Mount","0.047"" L x 0.039"" W (1.20mm x 1.00mm)","0.035"" (0.90mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/7442335600.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-5621-1-ND,7442335600,Wurth Electronics Inc.,CMC 600MA 2LN 60 OHM SMD,2513,0,"1.61000","0","1","Cut Tape (CT)","WE-CNSW HF","Active","Signal Line","2","60 Ohms @ 100MHz","-","600mA","220mOhm","20V","-","-40°C ~ 105°C","-","-","-","Surface Mount","0.047"" L x 0.039"" W (1.20mm x 1.00mm)","0.035"" (0.90mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/7442335600.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-5621-6-ND,7442335600,Wurth Electronics Inc.,CMC 600MA 2LN 60 OHM SMD,2513,0,"Digi-Reel","0","1","Digi-Reel®","WE-CNSW HF","Active","Signal Line","2","60 Ohms @ 100MHz","-","600mA","220mOhm","20V","-","-40°C ~ 105°C","-","-","-","Surface Mount","0.047"" L x 0.039"" W (1.20mm x 1.00mm)","0.035"" (0.90mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.com/pbs/datasheet/744235900.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-4223-2-ND,744235900,Wurth Electronics Inc.,CMC 300NH 2A 2LN 90 OHM SMD,14000,0,"1.12900","0","500","Tape & Reel (TR)","WE-CNSW","Active","Signal Line","2","90 Ohms @ 100MHz","300nH @ 100kHz","2A","50mOhm","60V","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.118"" (3.00mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.com/pbs/datasheet/744235900.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-4223-1-ND,744235900,Wurth Electronics Inc.,CMC 300NH 2A 2LN 90 OHM SMD,14526,0,"1.69000","0","1","Cut Tape (CT)","WE-CNSW","Active","Signal Line","2","90 Ohms @ 100MHz","300nH @ 100kHz","2A","50mOhm","60V","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.118"" (3.00mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.com/pbs/datasheet/744235900.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-4223-6-ND,744235900,Wurth Electronics Inc.,CMC 300NH 2A 2LN 90 OHM SMD,14526,0,"Digi-Reel","0","1","Digi-Reel®","WE-CNSW","Active","Signal Line","2","90 Ohms @ 100MHz","300nH @ 100kHz","2A","50mOhm","60V","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.118"" (3.00mm)","Horizontal, 4 PC Pad"
