Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Filter Order","Technology","Number of Channels","Center / Cutoff Frequency","Attenuation Value","Resistance - Channel (Ohms)","Current","Values","ESD Protection","Operating Temperature","Applications","Voltage - Rated","Mounting Type","Package / Case","Size / Dimension","Height"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mem1608d_en.pdf,//media.digikey.com/Renders/TDK%20Renders/MEM%20Series%200603.jpg,445-8959-6-ND,MEM1608D401R,TDK Corporation,FILTER LC(T) 400MHZ SMD,7711,0,"Digi-Reel","0","1","Digi-Reel®","MEM","Active","Low Pass","2nd","LC (T-Type)","1","400MHz (Cutoff)","-","-","200mA","-","No","-40°C ~ 85°C","Data Lines for Mobile Devices","6.3V","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mem1608d_en.pdf,//media.digikey.com/Renders/TDK%20Renders/MEM%20Series%200603.jpg,445-8960-2-ND,MEM1608D501R,TDK Corporation,FILTER LC(T) 500MHZ SMD,4000,0,"0.17000","0","4000","Tape & Reel (TR)","MEM","Active","Low Pass","2nd","LC (T-Type)","1","500MHz (Cutoff)","-","-","200mA","-","No","-40°C ~ 85°C","Data Lines for Mobile Devices","6.3V","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mem1608d_en.pdf,//media.digikey.com/Renders/TDK%20Renders/MEM%20Series%200603.jpg,445-8960-1-ND,MEM1608D501R,TDK Corporation,FILTER LC(T) 500MHZ SMD,5147,0,"0.39000","0","1","Cut Tape (CT)","MEM","Active","Low Pass","2nd","LC (T-Type)","1","500MHz (Cutoff)","-","-","200mA","-","No","-40°C ~ 85°C","Data Lines for Mobile Devices","6.3V","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mem1608d_en.pdf,//media.digikey.com/Renders/TDK%20Renders/MEM%20Series%200603.jpg,445-8960-6-ND,MEM1608D501R,TDK Corporation,FILTER LC(T) 500MHZ SMD,5147,0,"Digi-Reel","0","1","Digi-Reel®","MEM","Active","Low Pass","2nd","LC (T-Type)","1","500MHz (Cutoff)","-","-","200mA","-","No","-40°C ~ 85°C","Data Lines for Mobile Devices","6.3V","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mem2012v_en.pdf,//media.digikey.com/Renders/TDK%20Renders/0805-MEM-T.jpg,445-9357-2-ND,MEM2012V211R,TDK Corporation,FILTER LC(PI) 210MHZ SMD,4000,0,"0.20400","0","4000","Tape & Reel (TR)","MEM","Active","Low Pass","5th","LC (Pi)","1","210MHz (Cutoff)","20dB @ 350MHz ~ 2GHz","-","100mA","-","No","-40°C ~ 85°C","Data Lines for Mobile Devices","10V","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mem2012v_en.pdf,//media.digikey.com/Renders/TDK%20Renders/0805-MEM-T.jpg,445-9357-1-ND,MEM2012V211R,TDK Corporation,FILTER LC(PI) 210MHZ SMD,7680,0,"0.46000","0","1","Cut Tape (CT)","MEM","Active","Low Pass","5th","LC (Pi)","1","210MHz (Cutoff)","20dB @ 350MHz ~ 2GHz","-","100mA","-","No","-40°C ~ 85°C","Data Lines for Mobile Devices","10V","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mem2012v_en.pdf,//media.digikey.com/Renders/TDK%20Renders/0805-MEM-T.jpg,445-9357-6-ND,MEM2012V211R,TDK Corporation,FILTER LC(PI) 210MHZ SMD,7680,0,"Digi-Reel","0","1","Digi-Reel®","MEM","Active","Low Pass","5th","LC (Pi)","1","210MHz (Cutoff)","20dB @ 350MHz ~ 2GHz","-","100mA","-","No","-40°C ~ 85°C","Data Lines for Mobile Devices","10V","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)"
https://www.murata.com/en-us/products/productdata/8796732686366/ENFD0007.pdf,//media.digikey.com/Renders/Murata%20Renders/NFA18SL227.jpg,490-12105-2-ND,NFA18SL137V1A45L,Murata Electronics North America,FILTER LC 130MHZ SMD,4000,0,"0.24176","0","4000","Tape & Reel (TR)","EMIFIL®, NFA18","Active","Low Pass","2nd","LC","4","130MHz (Cutoff)","25dB @ 900MHz","-","50mA","-","No","-40°C ~ 85°C","General Purpose","10V","Surface Mount","0603 (1608 Metric), Array, 10 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.026"" (0.65mm)"
https://www.murata.com/en-us/products/productdata/8796732686366/ENFD0007.pdf,//media.digikey.com/Renders/Murata%20Renders/NFA18SL227.jpg,490-12105-1-ND,NFA18SL137V1A45L,Murata Electronics North America,FILTER LC 130MHZ SMD,4030,0,"0.54000","0","1","Cut Tape (CT)","EMIFIL®, NFA18","Active","Low Pass","2nd","LC","4","130MHz (Cutoff)","25dB @ 900MHz","-","50mA","-","No","-40°C ~ 85°C","General Purpose","10V","Surface Mount","0603 (1608 Metric), Array, 10 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.026"" (0.65mm)"
https://www.murata.com/en-us/products/productdata/8796732686366/ENFD0007.pdf,//media.digikey.com/Renders/Murata%20Renders/NFA18SL227.jpg,490-12105-6-ND,NFA18SL137V1A45L,Murata Electronics North America,FILTER LC 130MHZ SMD,4030,0,"Digi-Reel","0","1","Digi-Reel®","EMIFIL®, NFA18","Active","Low Pass","2nd","LC","4","130MHz (Cutoff)","25dB @ 900MHz","-","50mA","-","No","-40°C ~ 85°C","General Purpose","10V","Surface Mount","0603 (1608 Metric), Array, 10 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.026"" (0.65mm)"
