Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Filter Type","Number of Lines","Impedance @ Frequency","Current Rating (Max)","DC Resistance (DCR) (Max)","Ratings","Operating Temperature","Package / Case","Mounting Type","Height (Max)","Size / Dimension","Features"
https://katalog.we-online.de/pbs/datasheet/742792040.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0805(2012).jpg,732-1620-2-ND,742792040,Wurth Electronics Inc.,FERRITE BEAD 600 OHM 0805 1LN,4000,0,"0.14300","0","4000","Tape & Reel (TR)","WE-CBF","Active","Signal Line","1","600 Ohms @ 100MHz","2A","150mOhm","-","-55°C ~ 125°C","0805 (2012 Metric)","Surface Mount","0.043"" (1.10mm)","0.079"" L x 0.047"" W (2.00mm x 1.20mm)","-"
https://katalog.we-online.de/pbs/datasheet/742792040.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0805(2012).jpg,732-1620-1-ND,742792040,Wurth Electronics Inc.,FERRITE BEAD 600 OHM 0805 1LN,5891,0,"0.22000","0","1","Cut Tape (CT)","WE-CBF","Active","Signal Line","1","600 Ohms @ 100MHz","2A","150mOhm","-","-55°C ~ 125°C","0805 (2012 Metric)","Surface Mount","0.043"" (1.10mm)","0.079"" L x 0.047"" W (2.00mm x 1.20mm)","-"
https://katalog.we-online.de/pbs/datasheet/742792040.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0805(2012).jpg,732-1620-6-ND,742792040,Wurth Electronics Inc.,FERRITE BEAD 600 OHM 0805 1LN,5891,0,"Digi-Reel","0","1","Digi-Reel®","WE-CBF","Active","Signal Line","1","600 Ohms @ 100MHz","2A","150mOhm","-","-55°C ~ 125°C","0805 (2012 Metric)","Surface Mount","0.043"" (1.10mm)","0.079"" L x 0.047"" W (2.00mm x 1.20mm)","-"
https://katalog.we-online.de/pbs/datasheet/742863160.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0603.jpg,732-2389-2-ND,742863160,Wurth Electronics Inc.,FERRITE BEAD 600 OHM 0603 1LN,80000,0,"0.14600","0","4000","Tape & Reel (TR)","WE-CBF HF","Active","Signal Line","1","600 Ohms @ 100MHz","500mA","350mOhm","-","-55°C ~ 125°C","0603 (1608 Metric)","Surface Mount","0.037"" (0.95mm)","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","-"
https://katalog.we-online.de/pbs/datasheet/742863160.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0603.jpg,732-2389-1-ND,742863160,Wurth Electronics Inc.,FERRITE BEAD 600 OHM 0603 1LN,81860,0,"0.22000","0","1","Cut Tape (CT)","WE-CBF HF","Active","Signal Line","1","600 Ohms @ 100MHz","500mA","350mOhm","-","-55°C ~ 125°C","0603 (1608 Metric)","Surface Mount","0.037"" (0.95mm)","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","-"
https://katalog.we-online.de/pbs/datasheet/742863160.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0603.jpg,732-2389-6-ND,742863160,Wurth Electronics Inc.,FERRITE BEAD 600 OHM 0603 1LN,81860,0,"Digi-Reel","0","1","Digi-Reel®","WE-CBF HF","Active","Signal Line","1","600 Ohms @ 100MHz","500mA","350mOhm","-","-55°C ~ 125°C","0603 (1608 Metric)","Surface Mount","0.037"" (0.95mm)","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","-"
https://katalog.we-online.de/pbs/datasheet/74279215.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/1206(3216).jpg,732-1629-2-ND,74279215,Wurth Electronics Inc.,FERRITE BEAD 80 OHM 1206 1LN,21000,0,"0.16200","0","3000","Tape & Reel (TR)","WE-CBF","Active","Signal Line","1","80 Ohms @ 100MHz","3A","30mOhm","-","-55°C ~ 125°C","1206 (3216 Metric)","Surface Mount","0.051"" (1.30mm)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-"
https://katalog.we-online.de/pbs/datasheet/74279215.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/1206(3216).jpg,732-1629-1-ND,74279215,Wurth Electronics Inc.,FERRITE BEAD 80 OHM 1206 1LN,23586,0,"0.24000","0","1","Cut Tape (CT)","WE-CBF","Active","Signal Line","1","80 Ohms @ 100MHz","3A","30mOhm","-","-55°C ~ 125°C","1206 (3216 Metric)","Surface Mount","0.051"" (1.30mm)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-"
https://katalog.we-online.de/pbs/datasheet/74279215.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/1206(3216).jpg,732-1629-6-ND,74279215,Wurth Electronics Inc.,FERRITE BEAD 80 OHM 1206 1LN,23586,0,"Digi-Reel","0","1","Digi-Reel®","WE-CBF","Active","Signal Line","1","80 Ohms @ 100MHz","3A","30mOhm","-","-55°C ~ 125°C","1206 (3216 Metric)","Surface Mount","0.051"" (1.30mm)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-"
https://katalog.we-online.de/pbs/datasheet/74279218.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/1206(3216).jpg,732-1623-2-ND,74279218,Wurth Electronics Inc.,FERRITE BEAD 600 OHM 1206 1LN,9000,0,"0.16200","0","3000","Tape & Reel (TR)","WE-CBF","Active","Signal Line","1","600 Ohms @ 100MHz","2A","100mOhm","-","-55°C ~ 125°C","1206 (3216 Metric)","Surface Mount","0.051"" (1.30mm)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-"
https://katalog.we-online.de/pbs/datasheet/74279218.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/1206(3216).jpg,732-1623-1-ND,74279218,Wurth Electronics Inc.,FERRITE BEAD 600 OHM 1206 1LN,10176,0,"0.24000","0","1","Cut Tape (CT)","WE-CBF","Active","Signal Line","1","600 Ohms @ 100MHz","2A","100mOhm","-","-55°C ~ 125°C","1206 (3216 Metric)","Surface Mount","0.051"" (1.30mm)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-"
https://katalog.we-online.de/pbs/datasheet/74279218.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/1206(3216).jpg,732-1623-6-ND,74279218,Wurth Electronics Inc.,FERRITE BEAD 600 OHM 1206 1LN,10176,0,"Digi-Reel","0","1","Digi-Reel®","WE-CBF","Active","Signal Line","1","600 Ohms @ 100MHz","2A","100mOhm","-","-55°C ~ 125°C","1206 (3216 Metric)","Surface Mount","0.051"" (1.30mm)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-"
https://katalog.we-online.de/pbs/datasheet/74279228600.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/1206.jpg,732-6119-2-ND,74279228600,Wurth Electronics Inc.,FERRITE BEAD 60 OHM 0603 1LN,76000,0,"0.18100","0","4000","Tape & Reel (TR)","WE-MPSB","Active","-","1","60 Ohms @ 100MHz","5.1A","15mOhm","-","-55°C ~ 125°C","0603 (1608 Metric)","Surface Mount","0.039"" (1.00mm)","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","-"
https://katalog.we-online.de/pbs/datasheet/74279228600.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/1206.jpg,732-6119-1-ND,74279228600,Wurth Electronics Inc.,FERRITE BEAD 60 OHM 0603 1LN,79266,0,"0.29000","0","1","Cut Tape (CT)","WE-MPSB","Active","-","1","60 Ohms @ 100MHz","5.1A","15mOhm","-","-55°C ~ 125°C","0603 (1608 Metric)","Surface Mount","0.039"" (1.00mm)","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","-"
https://katalog.we-online.de/pbs/datasheet/74279228600.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/1206.jpg,732-6119-6-ND,74279228600,Wurth Electronics Inc.,FERRITE BEAD 60 OHM 0603 1LN,79266,0,"Digi-Reel","0","1","Digi-Reel®","WE-MPSB","Active","-","1","60 Ohms @ 100MHz","5.1A","15mOhm","-","-55°C ~ 125°C","0603 (1608 Metric)","Surface Mount","0.039"" (1.00mm)","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","-"
https://katalog.we-online.de/pbs/datasheet/742792515.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0402.jpg,732-1642-2-ND,742792515,Wurth Electronics Inc.,FERRITE BEAD 785 OHM 1812 1LN,35000,0,"0.21300","0","1000","Tape & Reel (TR)","WE-CBF","Active","Signal Line","1","785 Ohms @ 100MHz","3A","50mOhm","-","-55°C ~ 125°C","1812 (4532 Metric)","Surface Mount","0.067"" (1.70mm)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","-"
https://katalog.we-online.de/pbs/datasheet/742792515.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0402.jpg,732-1642-1-ND,742792515,Wurth Electronics Inc.,FERRITE BEAD 785 OHM 1812 1LN,35488,0,"0.27000","0","1","Cut Tape (CT)","WE-CBF","Active","Signal Line","1","785 Ohms @ 100MHz","3A","50mOhm","-","-55°C ~ 125°C","1812 (4532 Metric)","Surface Mount","0.067"" (1.70mm)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","-"
