Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency - Center","Impedance","Insertion Loss","Bandwidth","Ripple","Number of Poles","Operating Temperature","Mounting Type","Package / Case","Size / Dimension","Height (Max)"
http://www.ecsxtal.com/store/pdf/ecs_96smf21.4.pdf,//media.digikey.com/photos/ECS%20Photos/ECS-96SMF21A30.JPG,X717DKR-ND,ECS-96SMF21A30,ECS Inc.,MONO XTAL 21.4MHZ 2P 2DB SMD,335,0,"Digi-Reel","0","1","Digi-Reel®","ECS-96SMF","Active","21.4MHz","2 kOhms","2dB","30kHz","1dB","2","-30°C ~ 80°C","Surface Mount","6-SMD, No Lead","0.276"" L x 0.197"" W (7.00mm x 5.00mm)","0.059"" (1.50mm)"
http://www.ecsxtal.com/store/pdf/ECS_75SMF.pdf,//media.digikey.com/Photos/ECS%20Photos/ECS-75SMF%20Series.JPG,X718TR-ND,ECS-75SMF45A7.5B,ECS Inc.,MONO XTAL 45MHZ 4P 4DB SMD,0,0,"12.12900","0","500","Tape & Reel (TR)","ECS-75SMF","Active","45MHz","350 Ohms","4dB","7.5kHz","1dB","4","-30°C ~ 80°C","Surface Mount","6-SMD, No Lead","0.276"" L x 0.197"" W (7.00mm x 5.00mm)","0.037"" (0.95mm)"
http://www.ecsxtal.com/store/pdf/ECS_75SMF.pdf,//media.digikey.com/Photos/ECS%20Photos/ECS-75SMF%20Series.JPG,X718CT-ND,ECS-75SMF45A7.5B,ECS Inc.,MONO XTAL 45MHZ 4P 4DB SMD,396,0,"16.93000","0","1","Cut Tape (CT)","ECS-75SMF","Active","45MHz","350 Ohms","4dB","7.5kHz","1dB","4","-30°C ~ 80°C","Surface Mount","6-SMD, No Lead","0.276"" L x 0.197"" W (7.00mm x 5.00mm)","0.037"" (0.95mm)"
http://www.ecsxtal.com/store/pdf/ECS_75SMF.pdf,//media.digikey.com/Photos/ECS%20Photos/ECS-75SMF%20Series.JPG,X718DKR-ND,ECS-75SMF45A7.5B,ECS Inc.,MONO XTAL 45MHZ 4P 4DB SMD,396,0,"Digi-Reel","0","1","Digi-Reel®","ECS-75SMF","Active","45MHz","350 Ohms","4dB","7.5kHz","1dB","4","-30°C ~ 80°C","Surface Mount","6-SMD, No Lead","0.276"" L x 0.197"" W (7.00mm x 5.00mm)","0.037"" (0.95mm)"
http://www.ecsxtal.com/store/pdf/mono crystal filters.pdf,//media.digikey.com/photos/ECS%20Photos/ECS-10.7%20A%20SERIES.jpg,X703-ND,ECS-10.7-15A,ECS Inc.,MONO XTAL 10.7MHZ 2P 2DB TH,490,1000,"1.40000","0","1","Bulk","-","Active","10.7MHz","3 kOhms","2dB","15kHz","0.5dB","2","-20°C ~ 70°C","Through Hole","HC-49/U","0.437"" L x 0.185"" W (11.10mm x 4.70mm)","0.441"" (11.20mm)"
http://www.ecsxtal.com/store/pdf/mono crystal filters.pdf,//media.digikey.com/photos/ECS%20Photos/ECS-10.7%20B%20SERIES.jpg,X706-ND,ECS-10.7-30B,ECS Inc.,MONO XTAL 10.7MHZ 4P 2PC 2.5DB,60,0,"7.29000","0","1","Bulk","-","Active","10.7MHz","5.5 kOhms","2.5dB","30kHz","1dB","4","-20°C ~ 70°C","Through Hole","HC-49/U","0.437"" L x 0.185"" W (11.10mm x 4.70mm)","0.441"" (11.20mm)"
http://www.ecsxtal.com/store/pdf/mono crystal filters.pdf,//media.digikey.com/photos/ECS%20Photos/ECS-21K%20B%20SERIES.jpg,X708-ND,ECS-21K-7.5B,ECS Inc.,MONO XTAL 21.4MHZ 4P 2PC 2.5DB,24,500,"8.51000","0","1","Bulk","-","Active","21.4MHz","850 Ohms","2.5dB","7.5kHz","1dB","4","-20°C ~ 70°C","Through Hole","HC-49/U","0.437"" L x 0.185"" W (11.10mm x 4.70mm)","0.441"" (11.20mm)"
http://www.ecsxtal.com/store/pdf/ecs_96smf21.4.pdf,//media.digikey.com/photos/ECS%20Photos/ecs-96smf21a7.5.JPG,X715TR-ND,ECS-96SMF21A7.5,ECS Inc.,MONO XTAL 21.4MHZ 2P 2DB SMD,0,0,"3.78000","0","500","Tape & Reel (TR)","ECS-96SMF","Active","21.4MHz","850 Ohms","2dB","7.5kHz","1dB","2","-30°C ~ 80°C","Surface Mount","6-SMD, No Lead","0.276"" L x 0.197"" W (7.00mm x 5.00mm)","0.059"" (1.50mm)"
http://www.ecsxtal.com/store/pdf/ecs_96smf21.4.pdf,//media.digikey.com/photos/ECS%20Photos/ecs-96smf21a20.JPG,X716TR-ND,ECS-96SMF21A20,ECS Inc.,MONO XTAL 21.4MHZ 2P 2DB SMD,0,0,"3.78000","0","500","Tape & Reel (TR)","ECS-96SMF","Active","21.4MHz","1.8 kOhms","2dB","20kHz","1dB","2","-30°C ~ 80°C","Surface Mount","6-SMD, No Lead","0.276"" L x 0.197"" W (7.00mm x 5.00mm)","0.059"" (1.50mm)"
http://www.ecsxtal.com/store/pdf/ECS_38SMF.pdf,//media.digikey.com/photos/ECS%20Photos/ecs-38smf45a15.JPG,X720TR-ND,ECS-38SMF45A15,ECS Inc.,MONO XTAL 45MHZ 2P 2DB SMD,0,0,"9.10000","0","1000","Tape & Reel (TR)","ECS-38SMF","Active","45MHz","560 Ohms","2dB","15kHz","0.5dB","2","-30°C ~ 80°C","Surface Mount","8-SMD, No Lead","0.150"" L x 0.150"" W (3.80mm x 3.80mm)","0.047"" (1.20mm)"
http://www.ecsxtal.com/store/pdf/ECS_38SMF.pdf,//media.digikey.com/photos/ECS%20Photos/ecs-38smf45a30.JPG,X721TR-ND,ECS-38SMF45A30,ECS Inc.,MONO XTAL 45MHZ 2P 2.5DB SMD,0,0,"9.45000","0","500","Tape & Reel (TR)","ECS-38SMF","Active","45MHz","1.1 kOhms","2.5dB","30kHz","1dB","2","-30°C ~ 80°C","Surface Mount","8-SMD, No Lead","0.150"" L x 0.150"" W (3.80mm x 3.80mm)","0.047"" (1.20mm)"
http://www.ecsxtal.com/store/pdf/ECS_38SMF.pdf,//media.digikey.com/photos/ECS%20Photos/ecs-38smf45a30.JPG,X721CT-ND,ECS-38SMF45A30,ECS Inc.,MONO XTAL 45MHZ 2P 2.5DB SMD,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","ECS-38SMF","Discontinued at Digi-Key","45MHz","1.1 kOhms","2.5dB","30kHz","1dB","2","-30°C ~ 80°C","Surface Mount","8-SMD, No Lead","0.150"" L x 0.150"" W (3.80mm x 3.80mm)","0.047"" (1.20mm)"
http://www.ecsxtal.com/store/pdf/ECS_38SMF.pdf,//media.digikey.com/photos/ECS%20Photos/ecs-38smf45a30.JPG,X721DKR-ND,ECS-38SMF45A30,ECS Inc.,MONO XTAL 45MHZ 2P 2.5DB SMD,0,0,"Digi-Reel","0","1","Digi-Reel®","ECS-38SMF","Discontinued at Digi-Key","45MHz","1.1 kOhms","2.5dB","30kHz","1dB","2","-30°C ~ 80°C","Surface Mount","8-SMD, No Lead","0.150"" L x 0.150"" W (3.80mm x 3.80mm)","0.047"" (1.20mm)"
