Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","Impedance","Bandwidth","Insertion Loss","Filter Type","Mounting Type","Package / Case","Size / Dimension","Height (Max)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p51e.ashx?la=en-us,//media.digikey.com/photos/Murata%20Photos/SFECF%20SERIES.jpg,490-4679-6-ND,SFECF10M7EA00-R0,Murata Electronics North America,FILTER 10.7 MHZ 330 KHZ BAND SMD,64,0,"Digi-Reel","0","1","Digi-Reel®","CERAFIL®, SFECF","Active","10.7MHz Center","330Ohm","330kHz","3dB","FM","Surface Mount","1412 (3531 Metric), 6 PC Pad","0.136"" L x 0.122"" W (3.45mm x 3.10mm)","0.055"" (1.40mm)"
https://www.murata.com/en-us/products/productdata/8799747538974/LFB152G45CB2D320.pdf,-,LFB152G45CB2D320-ND,LFB152G45CB2D320,Murata Electronics North America,CER FILTER 2.45GHZ BAND PASS,0,0,"0.07200","0","10000","-","-","Active","2.45GHz Center","50Ohm","50MHz","1.5dB","Band Pass","Surface Mount","0402 (1005 Metric), 4 PC Pad","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)"
https://www.murata.com/en-us/products/productdata/8799890833438/LFB212G45SG8C341.pdf,-,LFB212G45SG8C341-ND,LFB212G45SG8C341,Murata Electronics North America,CER FILTER 2.45GHZ BAND PASS,0,0,"0.10744","0","4000","-","-","Active","2.45GHz Center","50Ohm","50MHz","1.8dB","Band Pass","Surface Mount","0805 (2012 Metric), 4 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p05e.ashx,-,SFECF10M7PF00-R0-ND,SFECF10M7PF00-R0,Murata Electronics North America,FILTER 10.7MHZ SMD,0,0,"0.67024","0","2000","Tape & Reel (TR)","CERAFIL®, SFECF","Active","10.7MHz Center","-","-","-","FM","Surface Mount","1412 (3531 Metric), 6 PC Pad","0.136"" L x 0.122"" W (3.45mm x 3.10mm)","0.055"" (1.40mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p50e.ashx,//media.digikey.com/photos/Murata%20Photos/SFECV%20SERIES.jpg,490-1230-2-ND,SFECV10M7JA00-R0,Murata Electronics North America,FILTER 10.7MHZ 150KHZ BANDWIDTH,0,0,"0.74239","0","2000","Tape & Reel (TR)","CERAFIL®, SFECV","Active","10.7MHz Center","330Ohm","150kHz","5.5dB","FM","Surface Mount","2706 (6915 Metric), 3 PC Pad","0.272"" L x 0.114"" W (6.90mm x 2.90mm)","0.067"" (1.70mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p50e.ashx,//media.digikey.com/photos/Murata%20Photos/SFECV%20SERIES.jpg,490-1230-1-ND,SFECV10M7JA00-R0,Murata Electronics North America,FILTER 10.7MHZ 150KHZ BANDWIDTH,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","CERAFIL®, SFECV","Discontinued at Digi-Key","10.7MHz Center","330Ohm","150kHz","5.5dB","FM","Surface Mount","2706 (6915 Metric), 3 PC Pad","0.272"" L x 0.114"" W (6.90mm x 2.90mm)","0.067"" (1.70mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p50e.ashx,//media.digikey.com/photos/Murata%20Photos/SFECV%20SERIES.jpg,490-1230-6-ND,SFECV10M7JA00-R0,Murata Electronics North America,FILTER 10.7MHZ 150KHZ BANDWIDTH,0,0,"Digi-Reel","0","1","Digi-Reel®","CERAFIL®, SFECV","Discontinued at Digi-Key","10.7MHz Center","330Ohm","150kHz","5.5dB","FM","Surface Mount","2706 (6915 Metric), 3 PC Pad","0.272"" L x 0.114"" W (6.90mm x 2.90mm)","0.067"" (1.70mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p50e.ashx,//media.digikey.com/photos/Murata%20Photos/SFECV%20SERIES.jpg,490-1229-2-ND,SFECV10M7KA00-R0,Murata Electronics North America,FILTER 10.7MHZ 110KHZ BANDWIDTH,0,0,"0.76568","0","2000","Tape & Reel (TR)","CERAFIL®, SFECV","Active","10.7MHz Center","330Ohm","110kHz","6dB","FM","Surface Mount","2706 (6915 Metric), 3 PC Pad","0.272"" L x 0.114"" W (6.90mm x 2.90mm)","0.067"" (1.70mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p50e.ashx,//media.digikey.com/photos/Murata%20Photos/SFECV%20SERIES.jpg,490-1229-1-ND,SFECV10M7KA00-R0,Murata Electronics North America,FILTER 10.7MHZ 110KHZ BANDWIDTH,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","CERAFIL®, SFECV","Discontinued at Digi-Key","10.7MHz Center","330Ohm","110kHz","6dB","FM","Surface Mount","2706 (6915 Metric), 3 PC Pad","0.272"" L x 0.114"" W (6.90mm x 2.90mm)","0.067"" (1.70mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p50e.ashx,//media.digikey.com/photos/Murata%20Photos/SFECV%20SERIES.jpg,490-1229-6-ND,SFECV10M7KA00-R0,Murata Electronics North America,FILTER 10.7MHZ 110KHZ BANDWIDTH,0,0,"Digi-Reel","0","1","Digi-Reel®","CERAFIL®, SFECV","Discontinued at Digi-Key","10.7MHz Center","330Ohm","110kHz","6dB","FM","Surface Mount","2706 (6915 Metric), 3 PC Pad","0.272"" L x 0.114"" W (6.90mm x 2.90mm)","0.067"" (1.70mm)"
