Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Filter Type","Configuration","Voltage - Rated DC","Voltage - Rated AC","Voltage - Rated AC (Phase to Ground/Neutral)","Voltage - Rated AC (Phase to Phase)","Current","Frequency - Operating","Applications","Approvals","Operating Temperature","Mounting Type","Termination Style","Inductance"
https://www.schaffner.com/products/download/product/datasheet/fn-3258-ultra-compact-emcemi-filter-for-3-phase-systems-and-motor-drives/,//media.digikey.com/Photos/Schaffner%20EMC%20Photos/FN3258-180-40.jpg,817-1383-ND,FN3258-180-40,Schaffner EMC Inc.,LINE FILTER 180A CHASSIS MOUNT,2,0,"597.73000","0","1","FN 3258","Active","Three Phase (Delta)","Single Stage","-","-","277V","480V","180A","DC ~ 60Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Terminal Block","-"
https://www.schaffner.com/products/download/product/datasheet/fn-700z-three-stage-emcemi-filter/,-,817-2518-ND,FN700Z-20-03,Schaffner EMC Inc.,LINE FILTER 250VAC 20A CHASS MNT,7,4,"837.63000","0","1","FN 700Z","Active","Single Phase","Three Stage","-","250V","-","-","20A","DC ~ 400Hz","General Purpose","-","-25°C ~ 85°C","Chassis Mount","Terminal Block","60µH"
https://www.schaffner.com/products/download/product/datasheet/fn-3359-high-current-3-phase-emcemi-filter/,//media.digikey.com/Photos/Schaffner%20EMC%20Photos/FN3359-400-99.jpg,817-1413-ND,FN3359-400-99,Schaffner EMC Inc.,LINE FILTER 400A CHASSIS MOUNT,4,2,"1246.45000","0","1","FN 3359","Active","Three Phase (Delta)","Three Stage","-","-","300V","520V","400A","DC ~ 60Hz","General Purpose","cURus, ENEC","-25°C ~ 100°C","Chassis Mount","Terminal Post","-"
https://www.schaffner.com/products/download/product/datasheet/fn-3359-high-current-3-phase-emcemi-filter/,//media.digikey.com/Photos/Schaffner%20EMC%20Photos/FN3359-600-99.jpg,817-1414-ND,FN3359-600-99,Schaffner EMC Inc.,LINE FILTER 600A CHASSIS MOUNT,7,2,"1514.30000","0","1","FN 3359","Active","Three Phase (Delta)","Three Stage","-","-","300V","520V","600A","DC ~ 60Hz","General Purpose","cURus, ENEC","-25°C ~ 100°C","Chassis Mount","Terminal Post","-"
https://www.schaffner.com/products/download/product/datasheet/fn-406-ultra-compact-emc-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN406-0.5-02.JPG,817-1192-ND,FN406-0.5-02,Schaffner EMC Inc.,LINE FILTER 250VAC 500MA TH,92,0,"10.93000","0","1","FN 406","Active","Single Phase","Single Stage","-","250V","-","-","500mA","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Through Hole","PC Pins","24mH"
https://www.schaffner.com/products/download/product/datasheet/fn-402-low-cost-pcb-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN402-6.5-02.JPG,817-1186-ND,FN402-6.5-02,Schaffner EMC Inc.,LINE FILTER 250VAC 6.5A TH,40,200,"12.21000","0","1","FN 402","Active","Single Phase","Single Stage","-","250V","-","-","6.5A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Through Hole","PC Pins","1mH"
https://www.schaffner.com/products/download/product/datasheet/fn-2010-general-purpose-emcemi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2010-1-06.JPG,817-1869-ND,FN2010B-10-06,Schaffner EMC Inc.,LINE FILTER 250VAC 10A CHASS MNT,29,180,"14.53000","0","1","FN 2010","Active","Single Phase","Single Stage","-","250V","-","-","10A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","800µH"
https://www.schaffner.com/products/download/product/datasheet/fn-2010-general-purpose-emcemi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2010-1-06.JPG,817-1867-ND,FN2010A-3-06,Schaffner EMC Inc.,LINE FILTER 250VAC 3A CHASS MNT,56,0,"14.63000","0","1","FN 2010","Active","Single Phase","Single Stage","-","250V","-","-","3A","DC ~ 400Hz","Safety","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","2.5mH"
http://www.qualtekusa.com/images/EMI_Filters/pdf/85003001.pdf,//media.digikey.com/photos/Qualtek%20Photos/850-03^001.JPG,Q453-ND,850-03/001,Qualtek,LINE FILTER 115/250VAC 3A CHAS,87,0,"14.73000","0","1","850","Active","Single Phase","Two Stage","-","115V, 250V","-","-","3A","50/60Hz","General Purpose","CSA, UR, VDE","-25°C ~ 100°C","Chassis Mount","Quick Connect","L1 - 1mH, L2 - 30µH"
https://www.curtisind.com/wp-content/uploads/F1100-F1150-F1199-RFI-Filters.pdf,//media.digikey.com/photos/Curtis%20Industries%20Photos/F1199AA06.JPG,364-1050-ND,F1199AA03,Curtis Industries,LINE FILTER 250VAC 3A CHASS MNT,37,0,"14.91000","0","1","F1199","Active","Single Phase","Single Stage","-","250V","-","-","3A","50/60Hz","General Purpose","CE, CSA, TUV, UR","-","Chassis Mount","Quick Connect","-"
