Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Design","Impedance @ Frequency","Material","Inner Dimension","Outer Dimension","Ratings","Mounting Type","Length"
https://api.kemet.com/component-edge/download/datasheet/ESD-FPD-50-1.pdf,//media.digikey.com/Photos/Kemet%20Photos/ESD-FPD-50-1.jpg,399-10937-ND,ESD-FPD-50-1,KEMET,FERRITE CORE CLIP 68.6MM X 2MM,110,0,"9.94000","0","1","ESD-FPD","Active","Flat","Clip Together (Order Qty 1=1 Assembly)","-","-","2.700"" W x 0.078"" H (68.60mm x 2.00mm)","3.150"" W x 0.393"" H (80.00mm x 10.00mm)","-","Free Hanging","0.500"" (12.70mm)"
http://www.delevan.com/seriesPDFs/FFAT.pdf,//media.digikey.com/photos/API%20Delevan%20Photos/FFAT32.jpg,DN41988-ND,FFAT-32,API Delevan Inc.,FERRITE CORE 140 OHM TUBULAR,1157,0,"26.42000","0","1","FFAT","Active","Round","Tubular","140Ohm @ 100MHz","-","0.071"" Dia (1.80mm)","0.116"" Dia (2.90mm)","-","Free Hanging","3.281' (1.00m)"
https://leadertechinc.com/wp-content/uploads/2015/10/1-8.jpg,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_RC28B4340.jpg,1798-1164-ND,RC28B4340,Leader Tech Inc.,FERRITE 325OHM CLAMP 82.3X2.64MM,104,0,"43.27000","0","1","-","Active","Flat","Clamp","325Ohm @ 100MHz","28","3.240"" W x 0.104"" H (82.30mm x 2.64mm)","4.610"" W x 1.312"" H (117.09mm x 33.33mm)","-","Free Hanging","1.312"" (33.33mm)"
https://assets.lairdtech.com/home/brandworld/files/SIP-CAT-TOROID-BALUN%20CORES%200113.pdf,-,240-2969-ND,36T0155-00P,Laird-Signal Integrity Products,FERRITE CORE TOROID 3.96MM OD,49970,0,"0.10000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
https://katalog.we-online.com/pbs/datasheet/74270112.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/74270112.JPG,732-1516-ND,74270112,Wurth Electronics Inc.,FERRITE CORE 75 OHM SOLID 5MM,1200,0,"0.53000","0","1","WE-TOF","Active","Round","Solid","75Ohm @ 100MHz","4W620","0.197"" Dia (5.00mm)","0.354"" Dia (9.00mm)","-","Free Hanging","0.315"" (8.00mm)"
https://katalog.we-online.com/am/datasheet/782114155200.pdf,-,732-13456-ND,782114155200,Wurth Electronics Inc.,WE-TEFA TOROIDAL EMI SUPPRESSION,105,0,"3.28000","0","1","WE-TEFA","Active","Round","Solid","125Ohm @ 100MHz","-","0.630"" Dia (16.00mm)","1.102"" Dia (28.00mm)","AEC-Q200","Free Hanging","0.787"" (20.00mm)"
http://www.delevan.com/seriesPDFs/BF.pdf,//media.digikey.com/photos/API%20Delevan%20Photos/bf1835.JPG,DN4711-ND,BF1835,API Delevan Inc.,FERRITE CORE 172 OHM HINGED 9MM,389,0,"3.47000","0","1","BF","Active","Round","Hinged (Snap On)","172Ohm @ 100MHz","API-1","0.354"" Dia (9.00mm)","0.709"" W x 0.776"" H (18.00mm x 19.70mm)","-","Free Hanging","1.378"" (35.00mm)"
https://api.kemet.com/component-edge/download/datasheet/ESD-FPL-50.pdf,//media.digikey.com/Photos/Kemet%20Photos/ESD-FPL-50.JPG,399-10932-ND,ESD-FPL-50,KEMET,FERRITE CORE SOLID 68.6 X 1.9MM,163,0,"4.51000","0","1","ESD-FPL","Active","Flat","Solid","-","NIZn","2.700"" W x 0.074"" H (68.60mm x 1.90mm)","3.150"" W x 0.472"" H (80.00mm x 12.00mm)","-","Free Hanging","0.500"" (12.70mm)"
https://katalog.we-online.com/pbs/datasheet/74272142.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_Star-Tec-LFS.jpg,732-13448-ND,74272142,Wurth Electronics Inc.,STAR-TEC LFS SNAP FERRITE WITH S,101,0,"4.88000","0","1","Star-Tec LFS","Active","Round","Hinged (Snap On), Key Required","65Ohm @ 10MHz","8W5000","0.197"" Dia (5.00mm)","0.740"" W x 0.520"" H (18.80mm x 13.20mm)","-","Free Hanging","1.280"" (32.50mm)"
https://leadertechinc.com/wp-content/uploads/2016/01/1.jpg,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_28R1127-2.jpg,1798-1152-ND,28R1127-2,Leader Tech Inc.,FERRITE 151OHM SOLID 23.5X1.68MM,499,0,"6.80000","0","1","-","Active","Flat","Solid","151Ohm @ 100MHz","28","0.925"" W x 0.066"" H (23.50mm x 1.68mm)","1.125"" W x 0.303"" H (28.58mm x 7.70mm)","-","Free Hanging","0.980"" (24.89mm)"
https://leadertechinc.com/wp-content/uploads/2015/10/3-4.jpg,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_CS28B1642.jpg,1798-1155-ND,CS28B1642,Leader Tech Inc.,FERRITE 100OHM HINGED 7.16MM,1338,0,"8.61000","0","1","-","Active","Round","Hinged (Snap On)","100Ohm @ 100MHz","28","0.282"" Dia (7.16mm)","0.840"" Dia (21.34mm)","-","Free Hanging","0.852"" (21.64mm)"
http://www.delevan.com/seriesPDFs/FFAT.pdf,//media.digikey.com/photos/API%20Delevan%20Photos/FFAT117.jpg,DN41992-ND,FFAT-117,API Delevan Inc.,FERRITE CORE 137 OHM TUBULAR 7MM,53,0,"192.06000","0","1","FFAT","Active","Round","Tubular","137Ohm @ 100MHz","-","0.276"" Dia (7.00mm)","0.430"" Dia (11.00mm)","-","Free Hanging","3.281' (1.00m)"
