Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Style","Type","Length","Core Diameter","Cladding Diameter","Jacket (Insulation) Material","Jacket (Insulation) Diameter","Tensile Strength","Attenuation - Typ","Refractive Index - Core","Refractive Index - Cladding","Jacket Color","Ratings","Features"
-,-,AQ0484M1F-DWB-ND,AQ0484M1F-DWB,General Cable/Carol Brand,48F SM LT SINGLE JKT ARMORED,0,0,"1.48200","0","3281","-","NEXTGEN®","Active","Standard","Singlemode","-","9µm","125µm","Polyethylene (PE)","0.480"" (12.19mm)","81.6kg","-","-","-","Black","-","-"
-,-,BE0064H1F-DWB-ND,BE0064H1F-DWB,General Cable/Carol Brand,6F 50 MM LT DUAL JKT ARMORED,0,0,"1.48200","0","3281","-","NEXTGEN®","Active","Standard","Multimode","-","50µm","125µm","Polyethylene (PE)","0.590"" (14.99mm)","81.6kg","-","-","-","Black","-","-"
-,-,BE0184M1A-DWB-ND,BE0184M1A-DWB,General Cable/Carol Brand,18F 50 MM LT SINGLE JKT,0,0,"1.48200","0","3281","-","NEXTGEN®","Active","Standard","Multimode","-","50µm","125µm","Polyethylene (PE)","0.440"" (11.18mm)","81.6kg","-","-","-","Black","-","-"
-,-,BL0124M1F-DWB-ND,BL0124M1F-DWB,General Cable/Carol Brand,12F 50 MM LT ARMORED BURIAL,0,0,"1.48200","0","3281","-","NEXTGEN®","Active","Standard","Multimode","-","50µm","125µm","Polyethylene (PE)","0.480"" (12.19mm)","81.6kg","-","-","-","Black","-","-"
-,-,BEL31512-ND,FD3D006P9,Belden Inc.,FD DN_TB OM3 6F OFNP,0,0,"1.49000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,CG0244M1A-DWB-ND,CG0244M1A-DWB,General Cable/Carol Brand,24F 62.5 MM LT SINGLE JKT,0,0,"1.49500","0","3281","-","NEXTGEN®","Active","Standard","Multimode","-","62.5µm","125µm","Polyethylene (PE)","0.440"" (11.18mm)","81.6kg","-","-","-","Black","-","-"
-,-,BEL32437-ND,FS3C00260,Belden Inc.,FS CTL_LT OM3 2F OSP_SCA,0,0,"1.50000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BEL32459-ND,FSSC01060,Belden Inc.,FS CTL_LT OS2 10F OSP_SCA,0,0,"1.50000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BEL32510-ND,FSSH018NG,Belden Inc.,FS DJHD_LT OS2 18F OSP,0,0,"1.50000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BE0121PNR-ND,BE0121PNR,General Cable/Carol Brand,12F 50 MM TB OFNR DISTRBTN,0,0,"1.50800","0","1640","-","NEXTGEN®","Active","Standard","Multimode","-","50µm","125µm","-","0.250"" (6.35mm)","50.8kg","-","-","-","Aqua","OFNR","-"
-,-,BEL31507-ND,FD3D004R9,Belden Inc.,FD DN_TB OM3 4F OFNR,0,0,"1.51000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,AP0121PNU-ND,AP0121PNU,General Cable/Carol Brand,12F SM TB OFNP DISTRIBTN,0,0,"1.51000","0","1","-","NEXTGEN®","Active","Standard","Singlemode","-","9µm","125µm","-","0.220"" (5.59mm)","50.8kg","-","-","-","Yellow","OFNP","-"
-,-,BEL31321-ND,FS3H002NF,Belden Inc.,DJHD 2F OM3 OSP LT,0,0,"1.52000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BEL32025-ND,FI3D004P9,Belden Inc.,FI DN_TB OM3 4F OFNP,0,0,"1.52000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BEL32274-ND,FI3D004P9ABK,Belden Inc.,FI OM3 DIST 4F OFNP AQ_JKT,0,0,"1.52000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BEL32527-ND,FS2H002NF,Belden Inc.,FS DJSCA_LT OM2 2F OSP,0,0,"1.52000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BI0124H1F-DWB-ND,BI0124H1F-DWB,General Cable/Carol Brand,12F 50 MM LT DUAL JKT ARMORED,0,0,"1.52100","0","3281","-","NEXTGEN®","Active","Standard","Multimode","-","50µm","125µm","Polyethylene (PE)","0.590"" (14.99mm)","81.6kg","-","-","-","Black","-","-"
-,-,AQ0364H1A-DWB-ND,AQ0364H1A-DWB,General Cable/Carol Brand,36F SM LT DUAL JKT,0,0,"1.54700","0","3281","-","NEXTGEN®","Active","Standard","Singlemode","-","9µm","125µm","Polyethylene (PE)","0.510"" (12.95mm)","81.6kg","-","-","-","Black","-","-"
-,-,AQ0724M1A-DWB-ND,AQ0724M1A-DWB,General Cable/Carol Brand,72F SM LT SINGLE JKT,0,0,"1.54700","0","3281","-","NEXTGEN®","Active","Standard","Singlemode","-","9µm","125µm","Polyethylene (PE)","0.470"" (11.94mm)","81.6kg","-","-","-","Black","-","-"
-,-,BEL31439-ND,FD2D002R9,Belden Inc.,FD DN_TB OM2 2F OFNR,0,0,"1.55000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BEL31551-ND,FD4D002R9,Belden Inc.,FD DN_TB OM4 2F OFNR NON_UNI,0,0,"1.55000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BEL32410-ND,FS1C00260,Belden Inc.,FS CTL_LT OM1 2F OSP_SCA,0,0,"1.55000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BEL32425-ND,FS2C004N0,Belden Inc.,FS CTL_LT OM2 4F OSP,0,0,"1.55000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BEL32450-ND,FS4C002N0,Belden Inc.,FS CTL_LT OM4 2F OSP,0,0,"1.55000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BEL31402-ND,FD1D006P9,Belden Inc.,FD DN_TB OM1 6F OFNP,0,0,"1.56000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BI0244M1A-DWB-ND,BI0244M1A-DWB,General Cable/Carol Brand,24F 50MM LT SINGLE JKT,0,0,"1.56000","0","3281","-","NEXTGEN®","Active","Standard","Multimode","-","50µm","125µm","Polyethylene (PE)","0.440"" (11.18mm)","81.6kg","-","-","-","Black","-","-"
-,-,BEL31974-ND,FI2D002P9,Belden Inc.,FI DN_TB OM2 2F OFNP,0,0,"1.57000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BEL32067-ND,FI4D002P9A,Belden Inc.,FI DN_TB OM4 2F OFNP,0,0,"1.57000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BEL31397-ND,FD1D004R9,Belden Inc.,FD DN_TB OM1 4F OFNR,0,0,"1.58000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BE0084H1F-DWB-ND,BE0084H1F-DWB,General Cable/Carol Brand,8F 50 MM LT DUAL JKT ARMORED,0,0,"1.58600","0","3281","-","NEXTGEN®","Active","Standard","Multimode","-","50µm","125µm","Polyethylene (PE)","0.590"" (14.99mm)","81.6kg","-","-","-","Black","-","-"
-,-,BEL32857-ND,FSSL0066C,Belden Inc.,SJSCA 6F OS2 OSP LT DRY,0,0,"1.59000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BI0081PNZ-ND,BI0081PNZ,General Cable/Carol Brand,8F MM 50 TB OFNR LOW SMOKE,0,0,"1.59900","0","1640","-","NEXTGEN®","Active","Standard","Multimode","-","50µm","125µm","-","0.200"" (5.08mm)","31.8kg","-","-","-","Aqua","OFNR","-"
-,-,BI0181PNR-ND,BI0181PNR,General Cable/Carol Brand,18F 50 MM TB OFNR DISTRIBTN,0,0,"1.59900","0","1640","-","NEXTGEN®","Active","Standard","Multimode","-","50µm","125µm","-","0.330"" (8.38mm)","50.8kg","-","-","-","Aqua","OFNR","-"
-,-,BI0181PNU-ND,BI0181PNU,General Cable/Carol Brand,18F 50 MM TB OFNP DISTRBUTION,0,0,"1.59900","0","1640","-","NEXTGEN®","Active","Standard","Multimode","-","50µm","125µm","-","0.310"" (7.87mm)","50.8kg","-","-","-","Aqua","OFNP","-"
