Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Cable Type","Cable Group","Wire Gauge","Conductor Strand","Jacket (Insulation) Material","Jacket (Insulation) Diameter","Shield Type","Impedance","Length","Jacket Color","Usage","Features"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9055B?device=pdf,-,9055BBK002-ND,9055B BK002,Alpha Wire,CABLE COAXIAL RG55B 20AWG 500',2,0,"1218.22000","0","1","-","Active","Coaxial","RG-55B","20 AWG","Solid","Polyethylene (PE)","0.201"" (5.11mm)","Braid","53.5 Ohms","500.0' (152.40m)","Black","-","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Data-and-Bus-Cable/6450?device=pdf,-,6450BL001-ND,6450 BL001,Alpha Wire,CABLE TWINAXIAL 18AWG 1000',2,0,"1289.01000","0","1","-","Active","Twinaxial","-","18 AWG (0.90mm²)","7 Strands / 30 AWG","Poly-Vinyl Chloride (PVC)","0.324"" (8.23mm)","Foil, Braid","78 Ohms","1000.0' (304.80m)","Blue","-","20 AWG Drain Wire"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9213?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/9213-BK00x.jpg,9213BK001-1000-ND,9213 BK001,Alpha Wire,CABLE COAXIAL RG213 13AWG 1000',3,0,"1330.24000","0","1","-","Active","Coaxial","RG-213","13 AWG","7 Strands / 0.0296""","Poly-Vinyl Chloride (PVC)","0.405"" (10.29mm)","Braid","50 Ohms","1000.0' (304.80m)","Black","-","-"
https://www.timesmicrowave.com/DataSheets/CableProducts/LMR-600-UF.pdf,//media.digikey.com/photos/Amphenol%20Photos/MFG_LMR-600-UF.jpg,1946-1073-500-ND,LMR-600-UF,Amphenol Times Microwave Systems,CABLE LMR-600 TPE 500',7,0,"1376.00000","0","1","-","Active","Coaxial","LMR-600","-","-","Thermoplastic Elastomer (TPE)","0.590"" (14.99mm)","Braid","50 Ohms","500.0' (152.40m)","Black","-","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9223?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/9223~BK001.jpg,9223BK002-500-ND,9223 BK002,Alpha Wire,CABLE COAXIAL RG223 19AWG 500',6,0,"1402.60000","0","1","-","Active","Coaxial","RG-223","19 AWG (0.65mm²)","Solid","Non Contaminating Poly-Vinyl Chloride (PVC)","0.212"" (5.38mm)","Double Braid","50 Ohms","500.0' (152.40m)","Black","-","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9158S?device=pdf,-,9158SBK001-1000-ND,9158S BK001,Alpha Wire,CABLE COAXIAL RG58 20AWG 1000',5,0,"1412.10000","0","1","-","Active","Coaxial","RG-58","20 AWG","Solid","Fluorinated Ethylene-Propylene (FEP)","0.159"" (4.04mm)","Braid","50 Ohms","1000.0' (304.80m)","Black","-","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9008?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/9008-BK005.jpg,A318-1000-ND,9008 BK001,Alpha Wire,CABLE COAXIAL RG8 13AWG 1000',2,5,"1493.30000","0","1","-","Active","Coaxial","RG-8","13 AWG (2.88mm²)","7 Strands / 21 AWG","Poly-Vinyl Chloride (PVC)","0.405"" (10.29mm)","Braid","52 Ohms","1000.0' (304.80m)","Black","Network","-"
https://www.timesmicrowave.com/DataSheets/CableProducts/LMR-600.pdf,//media.digikey.com/Photos/Times-Microwave-Systems/MFG_LMR-600-FR.jpg,1946-1071-500-ND,LMR-600-FR,Amphenol Times Microwave Systems,CABLE LMR-600 FRPE 500',4,0,"1496.00000","0","1","-","Active","Coaxial - Riser","LMR-600","-","Solid","Polyethylene (PE)","0.590"" (14.99mm)","Braid","50 Ohms","500.0' (152.40m)","Black","-","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9102?device=pdf,-,9102BK001-1000-ND,9102 BK001,Alpha Wire,CABLE COAXIAL RG59 20AWG 1000',2,0,"1810.79000","0","1","-","Active","Coaxial","RG-59","20 AWG","Solid","Polyvinylidene Fluoride (PVDF)","0.212"" (5.38mm)","Foil, Braid","75 Ohms","1000.0' (304.80m)","Black","-","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9223?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/9223~BK001.jpg,9223BK001-1000-ND,9223 BK001,Alpha Wire,CABLE COAXIAL RG223 19AWG 1000',5,0,"2240.27000","0","1","-","Active","Coaxial","RG-223","19 AWG (0.65mm²)","Solid","Non Contaminating Poly-Vinyl Chloride (PVC)","0.212"" (5.38mm)","Double Braid","50 Ohms","1000.0' (304.80m)","Black","-","-"
