Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Cable Type","Number of Conductors","Pitch","Length","Wire Gauge","Conductor Strand","Shielding","Jacket Color","Ribbon Thickness","Ribbon Width","Jacket (Insulation) Material","Voltage","Operating Temperature","Ratings","Features"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7310_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/MFG_AWG28-50-F.jpg,AE50M-300-ND,AWG28-50/F/300,Assmann WSW Components,CBL RIBN 50COND 0.050 MULTI 300',10,0,"446.60000","0","1","AWG","Active","Flat Cable","50","0.050"" (1.27mm)","300.0' (91.44m)","28 AWG","7 Strands / 0.0050""","Unshielded","Multiple","0.035"" (0.89mm)","2.500"" (63.50mm)","Poly-Vinyl Chloride (PVC)","300V","105°C","UL Style 2651","-"
https://multimedia.3m.com/mws/media/22334O/3mtm-round-conductor-flat-cable-3601-series-ts0553.pdf,//media.digikey.com/Photos/3M%20Photos/3601%5E16~100.jpg,MJ16C-100-ND,3601/16 100,3M,CBL RIBN 16COND 0.050 BLUE 100',17,0,"492.59000","0","1","3601","Active","Flat Cable","16","0.050"" (1.27mm)","100.0' (30.48m)","28 AWG","7 Strands / 36 AWG","Unshielded","Blue","0.029"" (0.74mm)","0.800"" (20.32mm)","Fluorinated Ethylene-Propylene (FEP)","300V","-55°C ~ 200°C","UL Style 20424","-"
//media.digikey.com/pdf/Data%20Sheets/Amphenol%20PDFs/151-2831-0xx_RevK_Dwg.pdf,//media.digikey.com/Photos/Amphenol%20Photos/151-2831-040.JPG,SS40H-100-ND,151-2831-040,Amphenol Spectra-Strip,CBL RIBN 40COND .050 BLACK 100',11,0,"505.91000","0","1","-","Active","Flat Cable, Flat Jacket","40","0.050"" (1.27mm)","100.0' (30.48m)","28 AWG","7 Strands / 36 AWG","Shielded","Black","0.095"" (2.41mm)","2.000"" (50.80mm)","Poly-Vinyl Chloride (PVC)","300V","-40°C ~ 105°C","-","-"
http://multimedia.3m.com/mws/media/22361O/3mtm-round-conductor-flat-cable-3609-series-ts0654.pdf,//media.digikey.com/Renders/3M%20Renders/3609-20-100.jpg,MB20W-100-ND,3609/20 100,3M,CBL RIBN 20COND 0.025 WHITE 100',3,0,"527.81000","0","1","3609","Active","Flat Cable","20","0.025"" (0.64mm)","100.0' (30.48m)","30 AWG","7 Strands / 38 AWG","Unshielded","White","0.024"" (0.61mm)","0.500"" (12.70mm)","Fluorinated Ethylene-Propylene (FEP)","150V","-55°C ~ 150°C","UL Style 20726","-"
http://multimedia.3m.com/mws/media/22028O/050-high-flex-cable-28-awg-stranded-pvc-3319-series-ts0059.pdf,//media.digikey.com/photos/3M%20Photos/3319^26.jpg,MC26H-100-ND,3319/26 100,3M,CBL RIBN 26COND 0.050 BLACK 100',18,0,"538.07000","0","1","3319","Active","Flat Cable","26","0.050"" (1.27mm)","100.0' (30.48m)","28 AWG","19 Strands / 40 AWG","Unshielded","Black","0.035"" (0.89mm)","1.300"" (33.02mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 105°C","UL Style 2651","Zippable"
http://multimedia.3m.com/mws/media/22059O/3mtm-color-coded-flat-cbl-05028-awg-pvc-3302-series-ts0123.pdf,//media.digikey.com/photos/3M%20Photos/3302^50(300SF).jpg,MC50M-300-ND,3302/50 300SF,3M,CBL RIBN 50COND 0.050 MULTI 300',6,0,"542.95000","0","1","3302","Active","Flat Cable","50","0.050"" (1.27mm)","300.0' (91.44m)","28 AWG","7 Strands / 36 AWG","Unshielded","Multiple","0.042"" (1.07mm)","2.500"" (63.50mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 105°C","UL Style 20462","Zippable"
http://multimedia.3m.com/mws/media/22028O/050-high-flex-cable-28-awg-stranded-pvc-3319-series-ts0059.pdf,//media.digikey.com/photos/3M%20Photos/3319^10.jpg,3M156911-300-ND,3319/10 300,3M,CBL RIBN 10COND 0.050 BLACK 300',4,0,"552.56000","0","1","3319","Active","Flat Cable","10","0.050"" (1.27mm)","300.0' (91.44m)","28 AWG","19 Strands / 40 AWG","Unshielded","Black","0.035"" (0.89mm)","0.500"" (12.70mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 105°C","UL Style 2651","Zippable"
http://multimedia.3m.com/mws/media/647015O/3mtm-round-conductor-flat-cable-for-link-connector-ts2323.pdf,//media.digikey.com/Photos/3M%20Photos/79100-075-4F1.jpg,MG04F-200-ND,79100-075-4F1,3M,CBL RIBN 4COND 0.100 MULT 200M,20,0,"593.69000","0","1","79100","Active","Flat Cable","4","0.100"" (2.54mm)","656.2' (200.00m)","19 AWG","30 Strands / 33 AWG","Unshielded","Multiple","0.100"" (2.54mm)","0.394"" (10.00mm)","Poly-Vinyl Chloride (PVC)","-","-","UL E118773-K","-"
https://multimedia.3m.com/mws/media/22334O/3mtm-round-conductor-flat-cable-3601-series-ts0553.pdf,//media.digikey.com/photos/3M%20Photos/3601^20%20100.JPG,MJ20C-100-ND,3601/20 100,3M,CBL RIBN 20COND 0.050 BLUE 100',0,0,"617.82000","0","1","3601","Active","Flat Cable","20","0.050"" (1.27mm)","100.0' (30.48m)","28 AWG","7 Strands / 36 AWG","Unshielded","Blue","0.029"" (0.74mm)","1.000"" (25.40mm)","Fluorinated Ethylene-Propylene (FEP)","300V","-55°C ~ 200°C","UL Style 20424","-"
http://multimedia.3m.com/mws/media/22097O/3mtm-shielded-jktd-flat-cable-050-3517-series-ts0069.pdf,//media.digikey.com/photos/3M%20Photos/3517^40%20100SF.JPG,MB40H-100-ND,3517/40 100SF,3M,CBL RIBN 40COND 0.050 GRAY 100',16,0,"685.46000","0","1","3517","Active","Flat Cable, Flat Jacket","40","0.050"" (1.27mm)","100.0' (30.48m)","28 AWG","7 Strands / 36 AWG","Shielded","Gray","0.110"" (2.79mm)","2.130"" (54.10mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 80°C","UL Style 2912","-"
