Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Cable Type","Number of Conductors","Length - Coil Retracted","Length - Coil Extended","Length","Jacket Color","Wire Gauge","Conductor Strand","Jacket (Insulation) Material","Cable Width","Cable Height","Coil Diameter","Shielding"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-C-26-6-B_14-R_REV00.pdf,//media.digikey.com/Photos/Assmann%20Photos/AT-K-C-26-6-B.JPG,A1462RC-ND,AT-K-C-26-6-B/14,Assmann WSW Components,CABLE MOD COIL 6COND BLACK 14',101,0,"8.40000","0","1","Bulk","-","Active","Coil","6","6.25' (1.90m)","14' (4.27m)","-","Black","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.267"" (6.80mm)","0.097"" (2.46mm)","0.512"" (13mm)","-"
https://www.globtek.com/pdf/manual-datasheets/SSS1582F1SSSP-WH%28R%29.pdf,-,1939-1740-ND,SSS1582F1SSSP-WH(R),"GlobTek, Inc.",NORTH AMERICAN NON-DETACHABLE RE,200,0,"11.18000","0","1","Bulk","-","Active","Coil","4","1.08' (0.33m)","-","-","White","18 AWG","-","-","-","-","0.984"" (25.00mm)","-"
https://www.globtek.com/pdf/manual-datasheets/SSS1582F1SSSP%28R%29.pdf,-,1939-1739-ND,SSS1582F1SSSP(R),"GlobTek, Inc.",NORTH AMERICAN NON-DETACHABLE RE,148,0,"11.18000","0","1","Bulk","-","Active","Coil","4","1.08' (0.33m)","-","-","Black","18 AWG","-","-","-","-","0.984"" (25.00mm)","-"
//media.digikey.com/pdf/Data%20Sheets/IO%20Interconnect%20PDFs/GLF-121-x10-0x3.pdf,//media.digikey.com/photos/I.O.%20Interconnect%20Photos/GLF-121-410-003.JPG,H0543RC-ND,GLF-121-410-003,I.O. Interconnect,CABLE MOD COIL 4COND SILVER 5',164,0,"1.64000","0","1","Bulk","-","Obsolete","Coil","4","1.42' (0.43m)","5' (1.52m)","-","Silver","26 AWG","12/0.0047""","Polypropylene (PP)","0.189"" (4.80mm)","0.098"" (2.50mm)","0.551"" (14mm)","Unshielded"
//media.digikey.com/pdf/Data%20Sheets/IO%20Interconnect%20PDFs/121-xxx-xxx%20.pdf,//media.digikey.com/Photos/I.O.%20Interconnect%20Photos/121-810-010.JPG,H0782C-ND,121-810-010,I.O. Interconnect,CABLE MOD COIL 8COND BLACK 7',3443,0,"1.96000","0","1","Bulk","-","Obsolete","Coil","8","2.33' (0.71m)","7' (2.13m)","-","Black","26 AWG","12/0.0047""","Polypropylene (PP)","0.346"" (8.80mm)","0.098"" (2.50mm)","0.748"" (19mm)","Unshielded"
//media.digikey.com/pdf/Data%20Sheets/IO%20Interconnect%20PDFs/121-xxx-xxx%20.pdf,//media.digikey.com/Photos/I.O.%20Interconnect%20Photos/121-810-000.jpg,H0783C-ND,121-810-000,I.O. Interconnect,CABLE MOD COIL 8COND SILVER 7',333,0,"1.96000","0","1","Bulk","-","Obsolete","Coil","8","2.33' (0.71m)","7' (2.13m)","-","Silver","26 AWG","12/0.0047""","Polypropylene (PP)","0.346"" (8.80mm)","0.098"" (2.50mm)","0.748"" (19mm)","Unshielded"
//media.digikey.com/pdf/Data Sheets/IO Interconnect PDFs/GLF-121-x10-0x1.pdf,//media.digikey.com/photos/I.O.%20Interconnect%20Photos/GLF-121-410-001.JPG,H1043RC-ND,GLF-121-410-001,I.O. Interconnect,CABLE MOD COIL 4COND SILVER 10',364,0,"2.23000","0","1","Bulk","-","Obsolete","Coil","4","2.50' (0.76m)","10' (3.05m)","-","Silver","26 AWG","12/0.0047""","Polypropylene (PP)","0.189"" (4.80mm)","0.098"" (2.50mm)","0.551"" (14mm)","Unshielded"
//media.digikey.com/pdf/Data%20Sheets/IO%20Interconnect%20PDFs/GLF-121-x10-0x0.pdf,//media.digikey.com/photos/I.O.%20Interconnect%20Photos/GLF-121-410-020.JPG,H0741RC-ND,GLF-121-410-020,I.O. Interconnect,CABLE MOD COIL 4COND WHITE 7',362,0,"2.26000","0","1","Bulk","-","Obsolete","Coil","4","1.75' (0.53m)","7' (2.13m)","-","White","26 AWG","12/0.0047""","Polypropylene (PP)","0.189"" (4.80mm)","0.098"" (2.50mm)","0.551"" (14mm)","Unshielded"
//media.digikey.com/pdf/Data%20Sheets/IO%20Interconnect%20PDFs/121-xxx-xxx%20.pdf,//media.digikey.com/Photos/I.O.%20Interconnect%20Photos/121-010-001.JPG,H05103C-ND,121-010-003,I.O. Interconnect,CABLE MOD COIL 10COND SILVER 5',938,0,"2.38000","0","1","Bulk","-","Obsolete","Coil","10","2.00' (0.61m)","5' (1.52m)","-","Silver","26 AWG","12/0.0047""","Polypropylene (PP)","0.415"" (10.55mm)","0.098"" (2.50mm)","0.748"" (19mm)","Unshielded"
//media.digikey.com/pdf/Data%20Sheets/IO%20Interconnect%20PDFs/121-xxx-xxx%20.pdf,//media.digikey.com/Photos/I.O.%20Interconnect%20Photos/121-010-011.jpg,H05102C-ND,121-010-013,I.O. Interconnect,CABLE MOD COIL 10COND BLACK 5',761,0,"2.38000","0","1","Bulk","-","Obsolete","Coil","10","2.00' (0.61m)","5' (1.52m)","-","Black","26 AWG","12/0.0047""","Polypropylene (PP)","0.415"" (10.55mm)","0.098"" (2.50mm)","0.748"" (19mm)","Unshielded"
