Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Cable Type","Number of Conductors","Wire Gauge","Conductor Strand","Conductor Material","Jacket (Insulation) Material","Jacket (Insulation) Diameter","Shield Type","Length","Jacket Color","Ratings","Features","Voltage","Operating Temperature","Usage","Jacket (Insulation) Thickness"
https://catalog.belden.com/techdata/EN/7939A_techdata.pdf,-,BEL1555-1000-ND,7939A 0101000,Belden Inc.,CABLE 8 COND CAT 5E 24AWG SHLD 1,2,0,"1156.99000","0","1","DataTuff®","Active","Multi-Pair, Cat5e","8 (4 Pair Twisted)","24 AWG","7/32","Copper, Bare","Poly-Vinyl Chloride (PVC)","0.295"" (7.49mm)","Foil","1000.0' (304.8m)","Black","-","Drain Wire, Oil Resistant, UV Resistant","-","-40°C ~ 75°C","Network","0.0300"" (0.762mm)"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/High-Low-Temperature-Cable/2831_2?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/28xx%5E2-WH00x.jpg,A2831/2WH-100-ND,2831/2 WH005,Alpha Wire,CABLE 2COND 24AWG WHT SHLD 100',3,0,"1204.46000","0","1","-","Active","Multi-Conductor","2","24 AWG","19/36","Copper, Silver Coated","Fluorinated Ethylene-Propylene (FEP)","0.132"" (3.35mm)","Braid","100.0' (30.5m)","White","-","-","600V","-55°C ~ 200°C","Communication, Control","0.0098"" (0.250mm)"
http://general-cable.dcatalog.com/v/Electronics/?#page=41,//media.digikey.com/Photos/General%20Cable%20Photos/C1648A.41.10.jpg,C1648AG-1000-ND,C1648A.41.10,General Cable/Carol Brand,CABLE 8COND 20AWG GRY SHLD 1000',22,0,"1243.30000","0","1","-","Active","Multi-Conductor","8","20 AWG","26/34","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.316"" (8.03mm)","Foil, Braid","1000.0' (304.8m)","Gray","-","-","300V","-20°C ~ 75°C","Communication, Control","0.0290"" (0.737mm)"
https://catalog.belden.com/techdata/EN/7938A_techdata.pdf,-,BEL2704-500-ND,7938A B59500,Belden Inc.,CBL 4 BONDED PR 24AWG CAT5E,7,0,"1491.84000","0","1","DataTuff®","Active","Multi-Pair, Cat5e","8 (4 Pair Twisted)","24 AWG","7/32","Copper Alloy","Thermoplastic Elastomer (TPE)","0.342"" (8.69mm)","Foil, Braid","500.0' (152.4m)","Black","-","-","300V","-40°C ~ 80°C","-","0.0300"" (0.762mm)"
http://general-cable.dcatalog.com/v/Electronics/?#page=14,//media.digikey.com/Photos/General%20Cable%20Photos/C0748A.12.10.jpg,W132-1000-ND,C4076A.41.10,General Cable/Carol Brand,CABLE 25COND 22AWG GRAY 1000',12,4000,"1565.40000","0","1","-","Active","Multi-Conductor","25","22 AWG","7/30","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.368"" (9.35mm)","-","1000.0' (304.8m)","Gray","-","-","300V","-20°C ~ 80°C","Communication, Control","0.0320"" (0.813mm)"
https://catalog.belden.com/techdata/EN/88723_techdata.pdf,//media.digikey.com/Photos/Belden/MFG_88723-002.jpg,BEL1380-1000-ND,88723 0021000,Belden Inc.,MULTI-PAIR 4COND 22AWG RED 1000',2,0,"2158.30000","0","1","-","Active","Multi-Pair","4 (2 Pair Twisted)","22 AWG","7/30","Copper, Tinned","Fluorinated Ethylene-Propylene (FEP)","0.148"" (3.76mm)","Foil","1000.0' (304.8m)","Red","UL Style CMP","Drain Wire","-","-70°C ~ 200°C","-","0.0140"" (0.356mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=55A1121&DocType=Customer+Drawing&DocLang=English,-,A132387-DS-ND,55A1121-20-9/96-9CS2275,"TE Connectivity Aerospace, Defense and Marine",MULTI-PR 2COND 20AWG WH SHLD FT,730,0,"2.97000","0","1","-","Active","Multi-Conductor","2","20 AWG","19/32","Copper, Tinned","Ethylene Tetrafluoroethylene (ETFE)","0.135"" (3.43mm)","Braid","Digi-Spool™, Continuous Spool","White","-","-","600V","-65°C ~ 150°C","-","0.0080"" (0.203mm)"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Communication-and-Control-Cable/882202?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/882202-SL005.JPG,A882202S-100-ND,882202 SL005,Alpha Wire,CABLE 2COND 22AWG SLATE 100',79,0,"26.57000","0","1","-","Active","Multi-Conductor","2","22 AWG","7/28","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.164"" (4.17mm)","-","100.0' (30.5m)","Slate","UL Style 2464","-","300V","-20°C ~ 105°C","-","0.0320"" (0.813mm)"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_8003_CA.pdf,//media.digikey.com/Photos/Assmann%20Photos/A-MJC-0000-3050-BU.JPG,AE11318-ND,A-MJC-0000-3050-BU,Assmann WSW Components,CAT5E UTP BLUE 100 FT OE,33,0,"33.99000","0","1","-","Active","Multi-Pair, Cat5e","8 (4 Pair Twisted)","24 AWG","7/0.0075""","Copper, Bare","Poly-Vinyl Chloride (PVC)","0.205"" (5.21mm)","-","100.0' (30.5m)","Blue","-","-","-","-","-","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Communication-and-Control-Cable/M13190?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/M13190-SL00x.jpg,M13190SL005-ND,M13190 SL005,Alpha Wire,CABLE 2COND 24AWG SHLD 100',81,4,"34.79000","0","1","-","Active","Multi-Conductor","2 (1 Pair Twisted)","24 AWG","7/32","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.159"" (4.04mm)","Foil","100.0' (30.5m)","Slate","UL Style 2464","-","300V","-20°C ~ 80°C","-","0.0320"" (0.813mm)"
https://catalog.belden.com/techdata/EN/8451_techdata.pdf,//media.digikey.com/Photos/Belden/8451-010500.jpg,BEL1311-100-ND,8451 010100,Belden Inc.,CABLE 2COND 22AWG BLACK 100',62,0,"35.12000","0","1","-","Active","Multi-Conductor","2 (1 Pair Twisted)","22 AWG","7/30","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.138"" (3.50mm)","Foil","100.0' (30.5m)","Black","UL Style CMR","Drain Wire","-","-20°C ~ 75°C","-","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Communication-and-Control-Cable/M13303?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/M13303-SL005.jpg,M13303SL005-ND,M13303 SL005,Alpha Wire,CABLE 3COND 22AWG SLATE 100',56,0,"35.53000","0","1","-","Active","Multi-Conductor","3","22 AWG","7/28","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.172"" (4.37mm)","-","100.0' (30.5m)","Slate","UL Style 2576","-","300V","-20°C ~ 80°C","-","0.0320"" (0.813mm)"
https://catalog.belden.com/techdata/EN/8442mn_techdata.pdf,//media.digikey.com/Photos/Belden/8442-060500.jpg,BEL1080-100-ND,8442MN 008100,Belden Inc.,CABLE 2COND 22AWG GRAY 100',42,0,"35.90000","0","1","SpaceMaker™","Active","Multi-Conductor","2 (1 Pair Twisted)","22 AWG","19/34","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.132"" (3.35mm)","-","100.0' (30.5m)","Gray","-","-","-","-20°C ~ 80°C","-","0.0160"" (0.406mm)"
//media.digikey.com/pdf/Data%20Sheets/Alpha%20Wire%20PDFs/M113233.pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/M113233-SL00x.jpg,AM113233SL005-ND,M113233 SL005,Alpha Wire,CABLE 3COND 20AWG SHLD 100',31,0,"40.79000","0","1","-","Active","Multi-Conductor","3","20 AWG","7/28","Copper, Bare","Poly-Vinyl Chloride (PVC)","0.159"" (4.04mm)","Foil","100.0' (30.5m)","Slate","-","Drain Wire","300V","-20°C ~ 75°C","-","0.0150"" (0.381mm)"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Communication-and-Control-Cable/882002?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/1897C%20SL002.JPG,882002SL005-ND,882002 SL005,Alpha Wire,CABLE 2COND 20AWG SLATE 100',31,0,"41.11000","0","1","-","Active","Multi-Conductor","2","20 AWG","10/30","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.202"" (5.13mm)","-","100.0' (30.5m)","Slate","UL Style 2464","-","300V","-20°C ~ 90°C","-","0.0320"" (0.813mm)"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Communication-and-Control-Cable/M13304?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/M13304-SL00x.jpg,M13304SL005-ND,M13304 SL005,Alpha Wire,CABLE 4COND 22AWG SLATE 100',34,24,"41.42000","0","1","-","Active","Multi-Conductor","4","22 AWG","7/30","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.185"" (4.70mm)","-","100.0' (30.5m)","Slate","UL Style 2576","-","300V","-20°C ~ 80°C","Audio-Video, Home","0.0320"" (0.813mm)"
