Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Configuration","Current","Voltage","Voltage - Isolation","Package / Case"
https://www.infineon.com/dgdl/Infineon-IKCM20L60GD-DS-v01_02-EN.pdf?fileId=5546d4624fb7fef2014fcb960e6a792d,//media.digikey.com/Photos/Infineon%20Photos/CIPOS-Series.JPG,IKCM20L60GDXKMA1-ND,IKCM20L60GDXKMA1,Infineon Technologies,IFPS MODULES 24MDIP,424,0,"16.39000","0","1","CIPOS™","Active","IGBT","3 Phase","20A","600V","2000Vrms","24-PowerDIP Module (1.028"", 26.10mm)"
//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/STGIPS20K60.pdf,//media.digikey.com/photos/STMicro%20Photos/STGIPS20K60.jpg,497-10573-5-ND,STGIPS20K60,STMicroelectronics,IGBT IPM MODULE 17A 600V 25SDIP,357,0,"19.69000","0","1","SLLIMM™","Active","IGBT","3 Phase","17A","600V","2500VDC","25-PowerDIP Module (0.993"", 25.23mm)"
https://www.rohm.com/datasheet/BM63764S-VA/bm63764s-va_bm63764s-vc-e,//media.digikey.com/Photos/Rohm%20Photos/BM63764S-VA-%28top%29.jpg,BM63764S-VA-ND,BM63764S-VA,Rohm Semiconductor,IC IPM 600V IGBT SW 25HSDIP,111,0,"20.33000","0","1","-","Active","IGBT","3 Phase Inverter","15A","600V","1500Vrms","25-PowerDIP Module (1.134"", 28.80mm)"
https://www.onsemi.com/pub/Collateral/FSBB20CH60C-D.pdf,//media.digikey.com/Photos/Fairchild%20Semi%20Photos/SPM27CC.jpg,FSBB20CH60C-ND,FSBB20CH60C,ON Semiconductor,MODULE SPM 600V 20A SPMCC,347,0,"20.96000","0","1","Motion SPM® 3","Active","IGBT","3 Phase","20A","600V","2500Vrms","27-PowerDIP Module (1.205"", 30.60mm)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/03/a5/da/19/7e/c8/44/02/DM00041883.pdf/files/DM00041883.pdf/jcr:content/translations/en.DM00041883.pdf,//media.digikey.com/Renders/STMicro%20Renders/25-DIP%20Module.jpg,497-13647-ND,STGIPS30C60,STMicroelectronics,IGBT IPM MODULE 30A 600V SDIP-25,210,0,"25.53000","0","1","SLLIMM™","Active","IGBT","3 Phase","30A","600V","2500VDC","25-PowerDIP Module (0.993"", 25.23mm)"
https://www.onsemi.com/pub/Collateral/FNB33060T-D.pdf,-,FNB33060T-ND,FNB33060T,ON Semiconductor,MODULE SPM 600V 30A SPM27,478,113100,"25.86000","0","1","Motion SPM® 3","Active","IGBT","3 Phase","30A","600V","2500Vrms","27-PowerDIP Module (1.205"", 30.60mm)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/52/50/d4/b2/a2/7f/4a/ca/DM00081740.pdf/files/DM00081740.pdf/jcr:content/translations/en.DM00081740.pdf,//media.digikey.com/Renders/STMicro%20Renders/25-DIP%20Module.jpg,497-13760-5-ND,STGIPS30C60-H,STMicroelectronics,MOD IPM SLLIMM 30A 600V 25SDIP,132,0,"28.37000","0","1","SLLIMM™","Active","IGBT","3 Phase","30A","600V","2500Vrms","25-PowerDIP Module (0.993"", 25.23mm)"
https://www.onsemi.com/pub/Collateral/FNB34060T-D.pdf,//media.digikey.com/Photos/Fairchild%20Semi%20Photos/27-DIP%20Module.jpg,FNB34060T-ND,FNB34060T,ON Semiconductor,POWER DRVR MOD 600V 40A 27DIP,298,12780,"31.63000","0","1","Motion SPM® 3","Active","IGBT","3 Phase Inverter","40A","600V","2500Vrms","27-PowerDIP Module (1.205"", 30.60mm)"
https://www.onsemi.com/pub/Collateral/FSBB15CH120D-D.pdf,//media.digikey.com/Photos/Fairchild%20Semi%20Photos/27-DIP%20Module.jpg,FSBB15CH120D-ND,FSBB15CH120D,ON Semiconductor,IPM 1.2KV 15A 27-POWERDIP,295,0,"38.29000","0","1","Motion SPM® 3","Active","IGBT","3 Phase Inverter","15A","1.2kV","2500Vrms","27-PowerDIP Module (1.205"", 30.60mm)"
-,//media.digikey.com/photos/Powerex%20Inc%20Photos/PS21767.JPG,835-1038-ND,PS21767,Powerex Inc.,MOD IPM 600V 30A MINI DIP,699,0,"52.67000","0","1","Intellimod™","Active","IGBT","3 Phase","30A","600V","2500VDC","38-PowerDIP Module (1.413"", 35.90mm)"
