Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Particle Size","Flow Rate","Pressure Range","Inlet/Outlet Size","Height","Diameter","Operating Temperature"
-,-,XL19PP005DA-ND,XL19PP005DA,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"98.73333","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL20PP005DA-ND,XL20PP005DA,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"98.73333","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP005C02CB01-ND,NTP005C02CB01,3M,BETAPURE NT-P SERIES FILTER CAPS,0,0,"99.11000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP005C02CC01-ND,NTP005C02CC01,3M,BETAPURE NT-P SERIES FILTER CAPS,0,0,"99.11000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP005C02DC01-ND,NTP005C02DC01,3M,BETAPURE NT-P SERIES FILTER CAPS,0,0,"99.11000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP010C02CC01-ND,NTP010C02CC01,3M,BETAPURE AU SERIES FILTER CAPSUL,0,0,"99.11000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP010C02DC01-ND,NTP010C02DC01,3M,BETAPURE NT-P SERIES FILTER CAPS,0,0,"99.11000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP020C02BA01-ND,NTP020C02BA01,3M,BETAPURE NT-P SERIES FILTER CAPS,0,0,"99.11000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP030C02AA01-ND,NTP030C02AA01,3M,BETAPURE AU SERIES FILTER CAPSUL,0,0,"99.11000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP030C02CC01-ND,NTP030C02CC01,3M,BETAPURE NT-P SERIES FILTER CAPS,0,0,"99.11000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP050C02AC01-ND,NTP050C02AC01,3M,BETAPURE NT-P SERIES FILTER CAPS,0,0,"99.11000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP100C02AC01-ND,NTP100C02AC01,3M,BETAPURE NT-P SERIES FILTER CAPS,0,0,"99.11000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP100C02BA01-ND,NTP100C02BA01,3M,BETAPURE NT-P SERIES FILTER CAPS,0,0,"99.11000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP100C02DC01-ND,NTP100C02DC01,3M,BETAPURE NT-P SERIES FILTER CAPS,0,0,"99.11000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL20PP002DG-ND,XL20PP002DG,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"99.45133","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,451670190S-ND,4516701 90S,3M,ZETA PLUS S SERIES FILTER CARTRI,0,0,"99.61375","0","8","-","Active","-","-","-","-","-","-","-","-","-"
-,-,Z2UD11PD205U2W-ND,Z2UD11PD205U2W,3M,ZETA PLUS U SERIES FILTER CARTRI,0,0,"99.75000","0","2","-","Active","-","-","-","-","-","-","-","-","-"
-,-,Z2UD12PD205U2W-ND,Z2UD12PD205U2W,3M,ZETA PLUS UW SERIES FILTER CARTR,0,0,"99.75000","0","2","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP400B0A-ND,XL30PP400B0A,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"100.37267","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,5617936-ND,5617936,3M,THE 3M AQUA-PURE UNDER S,0,0,"101.18333","0","6","*","Active","-","-","-","-","-","-","-","-","-"
