Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Stacks","Lamp Type","Light Color","Function","Voltage - Supply","Features","Termination Style","Ingress Protection","Operating Temperature"
http://us.idec.com/Common/Download.aspx?d=358425,//media.digikey.com/photos/IDEC/MFG_LD6A-0PZQB.jpg,1885-1400-ND,LD6A-0PZQB,IDEC,LED TOWER BASE POLE MOUNT,2,0,"159.23000","0","1","LD6A","Active","Connection Base with End Cover","-","-","-","Flashing, Steady","-","Alarm","Screw Terminal","IP54 - Dust Protected, Water Resistant","-25°C ~ 55°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700121.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700121.jpg,277-12024-ND,2700121,Phoenix Contact,OPTIC ELEMENT GREEN LED FLASHING,5,0,"88.00000","0","1","PSD-S","Active","Optical Element","1","LED","Green","Flashing","24VAC/DC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700147.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700147.jpg,277-12050-ND,2700147,Phoenix Contact,LABELING PANEL,5,0,"89.00000","0","1","PSD-S","Active","Labeling Panel","-","-","-","-","-","-","-","-","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700127.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700127.jpg,277-12029-ND,2700127,Phoenix Contact,OPTIC ELEMENT CLEAR LED STEADY,4,0,"120.00000","0","1","PSD-S","Active","Optical Element","1","LED","Clear","Steady","24VAC/DC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700128.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700128.jpg,277-12030-ND,2700128,Phoenix Contact,OPTIC ELEMENT CLEAR LED FLASHING,5,0,"126.00000","0","1","PSD-S","Active","Optical Element","1","LED","Clear","Flashing","24VAC/DC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700115.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700115.jpg,277-12021-ND,2700115,Phoenix Contact,OPTIC ELEMENT RED LED DBL FLASH,5,0,"181.00000","0","1","PSD-S","Active","Optical Element","1","LED","Red","Double Flashing","24VDC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700124.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700124.jpg,277-12026-ND,2700124,Phoenix Contact,OPTIC ELEMENT YLW LED DBL FLASH,2,0,"181.00000","0","1","PSD-S","Active","Optical Element","1","LED","Yellow","Double Flashing","24VDC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700137_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700137.jpg,277-12043-ND,2700137,Phoenix Contact,ACOUSTIC ELEMENT SIREN,5,0,"191.00000","0","1","PSD-S","Active","Acoustic Element","1","-","-","Siren, Pulse Tone","24VDC","Automatic Volume Control","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700118.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700118.jpg,277-12023-ND,2700118,Phoenix Contact,OPTIC ELEMENT RED LED RNDM FLASH,5,0,"215.00000","0","1","PSD-S","Active","Optical Element","1","LED","Red","Random Flashing","24VDC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700126.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700126.jpg,277-12028-ND,2700126,Phoenix Contact,OPTIC ELEMENT YLW LED RNDM FLASH,5,0,"215.00000","0","1","PSD-S","Active","Optical Element","1","LED","Yellow","Random Flashing","24VDC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
