Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Applications","Type","Cable Length","Reel Capacity","Cable Type","Cable Diameter","Voltage","Lamp Wattage","Current Rating (Amps)","Features","Approvals"
https://www.molex.com/pdm_docs/sd/1301730036_sd.pdf,//media.digikey.com/Photos/Molex/1301730037.jpg,WM21173-ND,1301730037,Molex,RETRACTOR BALANCER 1-2LB 10',2,0,"139.47000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
-,-,WM24726-ND,1301180023,Molex,INTERMEDIATE CAR,2,0,"148.20000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.molex.com/pdm_docs/sd/1301730055_sd.pdf,//media.digikey.com/Photos/Molex/1301730061.jpg,WM21174-ND,1301730061,Molex,RETRACTOR BALANCER 6-8LB 6.6',4,0,"169.17000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301790281_TOOL_SUPPORTS.pdf,-,WM24812-ND,1301790281,Molex,TOOL CLIP,2,0,"191.75000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/Electric%20Reel.pdf,-,WM20701-ND,1301530126,Molex,GFCI MANUAL NEMA 5-20 20A,3,0,"213.50000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301370241_POWER_DISTRIBUTION.pdf,-,WM20938-ND,1301370241,Molex,GFCI WT CVER W/S 20A125V60HZ,3,0,"234.14000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.molex.com/pdm_docs/sd/1301110112_sd.pdf,-,WM21774-ND,1301110112,Molex,LED STRINGLIGHT 14W 25FT 2SK,2,0,"270.26000","0","1","130111","Active","Wet Location","String Light","25.00' (7.62m)","-","12/3","-","125VAC","14 Watt","0.3A","2 Sockets","UL"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=11,-,WM24715-ND,1301030064,Molex,LAMP GLOBE VAPROTEX,2,0,"270.32000","0","1","Watertite 130103","Active","Wet Location","Hand Lamp, Incandescent","Cable Not Included","-","16/2","-","120VAC","100 Watt","-","-","CSA, UL"
https://www.molex.com/pdm_docs/sd/1301750014_sd.pdf,//media.digikey.com/Photos/Molex/1301750014.JPG,WM21705-ND,1301750014,Molex,RETRACTOR .9-5LBS/.4-2.3KG 8',3,0,"279.12000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=18,-,WM24719-ND,1301080128,Molex,HAND LAMP 13W 25' W/SWITCH,2,0,"288.04000","0","1","Super-Safeway 130108","Active","Industrial","Hand Lamp, Fluorescent","25.00' (7.62m)","-","16/3","-","120VAC","13 Watt","-","-","CSA, UL"
https://www.molex.com/pdm_docs/sd/1301700015_sd.pdf,-,WM24802-ND,1301700017,Molex,BALANCER ASSY 13-18LB 6.6',2,0,"296.05000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.molex.com/pdm_docs/sd/1301700015_sd.pdf,//media.digikey.com/Photos/Molex/1301700019.jpg,WM21688-ND,1301700019,Molex,BALANCER ASSY 18-24LB 6.6',2,0,"296.05000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.molex.com/pdm_docs/sd/1301700015_sd.pdf,-,WM24803-ND,1301700021,Molex,BALANCER ASSY 3-6LB 6.6',2,0,"296.05000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.molex.com/pdm_docs/sd/1301700027_sd.pdf,//media.digikey.com/Photos/Molex/1301700025.JPG,WM21689-ND,1301700025,Molex,BALANCER ASSY W/RATCHET LOCK,2,0,"338.33000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301750016_TOOL_SUPPORTS.pdf,-,WM20702-ND,1301750016,Molex,RETRACTOR AERO-MOTIVE,3,0,"363.44000","0","1","Aero-Motive 130175","Active","Standard","Retractor","7.87' (2.40m)","-","-","0.094"" (2.38mm)","-","-","-","-","-"
https://www.molex.com/pdm_docs/sd/1301750003_sd.pdf,//media.digikey.com/Photos/Molex/MFG_13017500xx.JPG,WM21702-ND,1301750003,Molex,RETRACT W/RACHET LOC 4-10LB 8',2,0,"372.17000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.molex.com/pdm_docs/sd/1301750012_sd.pdf,//media.digikey.com/Photos/Molex/1301750012.JPG,WM21704-ND,1301750012,Molex,22FLR 8-22LB3.6-10KG - RACHET LO,2,0,"372.17000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=20,-,WM24718-ND,1301080078,Molex,HANDLAMP 15W 18/3SJ 25' W/SWITCH,2,0,"385.19000","0","1","Super-Safeway 130108","Active","Industrial","Hand Lamp, Fluorescent","25.00' (7.62m)","-","18/3","-","120VAC","15 Watt","-","-","CSA, UL"
-,-,WM21706-ND,1301750062,Molex,10FLS 4-10LB1.8-4.5KG - SAFETY L,2,0,"412.54000","0","1","Aero-Motive 130175","Active","Safety","Retractor","-","-","-","-","-","-","-","-","-"
https://www.molex.com/pdm_docs/sd/1301770009_sd.pdf,-,WM21708-ND,1301770011,Molex,STATIC REEL W/NYLON CABLE - 50',2,0,"470.67000","0","1","130177","Active","-","Static Grounding Reel","50.00' (15.24m)","-","-","-","-","-","-","-","-"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1300870057_ELECTRIC_REELS.pdf,-,WM23960-ND,1300870057,Molex,HAND WIND REEL SUPER-SAFEWAY,2,0,"480.46000","0","1","Super-Safeway 130087","Active","Industrial","Hand Wind Reel","Cable Not Included","200'","16/3","-","125VAC","-","10A","-","CSA, UL"
https://industrial.omron.us/en/media/UMA_datasheet_EN_201711_F323IE02_Final_tcm849-115576.pdf,-,Z8012-ND,UMA-24-12-1,Omron Automation and Safety,MAT SAFETY 24X12 M8 BLK,2,0,"480.60000","0","1","UMA","Active","Safety","Safety Mat","3.94"" (100.00mm)","-","22 AWG","-","-","-","-","-","CE, cULus"
