Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type"
//media.digikey.com/pdf/Data%20Sheets/Littelfuse%20PDFs/C6200.pdf,-,C6200.0020-ND,C6200.0020,Littelfuse Inc.,GENERATOR CONTROLLER,0,0,"9255.35000","0","1","Bulk","C6200","Active","Generator Controller"
https://www3.panasonic.biz/ac/e_download/fasys/uv/spot/catalog/ce_up50_1.pdf,-,ANUP5054-20-ND,ANUP5054-20,Panasonic Industrial Automation Sales,LIGHT GUIDE FIBER UNIT 5MM,0,0,"14271.66000","0","1","Bulk","UP50","Active","UV Curing Light Guide"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/ud40_e_cata.pdf,-,ANUD4A111-ND,ANUD4A111,Panasonic Industrial Automation Sales,365NM WAVELENGTH 36/16 MM,0,0,"16023.67000","0","1","Bulk","UD40","Active","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/ud40_e_cata.pdf,-,ANUD4B111-ND,ANUD4B111,Panasonic Industrial Automation Sales,385NM WAVELENGTH 36/16 MM,0,0,"16023.67000","0","1","Bulk","UD40","Active","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/ud40_e_cata.pdf,-,ANUD4A211-ND,ANUD4A211,Panasonic Industrial Automation Sales,365NM WAVELENGTH 108/88 MM,0,0,"24357.71000","0","1","Bulk","UD40","Active","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/ud40_e_cata.pdf,-,ANUD4B211-ND,ANUD4B211,Panasonic Industrial Automation Sales,385NM WAVELENGTH 108/88 MM,0,0,"24357.71000","0","1","Bulk","UD40","Active","UV Curing Sensor Head"
-,-,ANUP8308T99-ND,ANUP8308T99,Panasonic Industrial Automation Sales,UV CURING,0,0,"24570.07000","0","1","Bulk","-","Active","-"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/ud40_e_cata.pdf,-,ANUD4A311-ND,ANUD4A311,Panasonic Industrial Automation Sales,365NM WAVELENGTH 180/160 MM,0,0,"32809.34000","0","1","Bulk","UD40","Active","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/ud40_e_cata.pdf,-,ANUD4B311-ND,ANUD4B311,Panasonic Industrial Automation Sales,385NM WAVELENGTH 180/160 MM,0,0,"32809.34000","0","1","Bulk","UD40","Active","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/ud40_e_cata.pdf,-,ANUD4A411-ND,ANUD4A411,Panasonic Industrial Automation Sales,365NM WAVELENGTH 252/232 MM,0,0,"43350.20000","0","1","Bulk","UD40","Active","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/ud40_e_cata.pdf,-,ANUD4B411-ND,ANUD4B411,Panasonic Industrial Automation Sales,385NM WAVELENGTH 252/232 MM,0,0,"43350.20000","0","1","Bulk","UD40","Active","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/ud40_e_cata.pdf,-,ANUD4A511-ND,ANUD4A511,Panasonic Industrial Automation Sales,365NM WAVELENGTH 324/304 MM,0,0,"52705.44000","0","1","Bulk","UD40","Active","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/ud40_e_cata.pdf,-,ANUD4B511-ND,ANUD4B511,Panasonic Industrial Automation Sales,385NM WAVELENGTH 324/304 MM,0,0,"52705.44000","0","1","Bulk","UD40","Active","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/ud40_e_cata.pdf,-,ANUD4A611-ND,ANUD4A611,Panasonic Industrial Automation Sales,365NM WAVELENGTH 396/376 MM,0,0,"60813.88000","0","1","Bulk","UD40","Active","UV Curing Sensor Head"
https://www3.panasonic.biz/ac/e_download/fasys/uv/led/catalog/ud40_e_cata.pdf,-,ANUD4B611-ND,ANUD4B611,Panasonic Industrial Automation Sales,385NM WAVELENGTH 396/376 MM,0,0,"60813.88000","0","1","Bulk","UD40","Active","UV Curing Sensor Head"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2766850.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2766850.jpg,277-5085-ND,2766850,Phoenix Contact,PULSE EXPANSION MODULE 24VDC,0,0,"Obsolete","0","1","-","*","Obsolete","-"
