Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Filament Material","Color","Filament Diameter","Weight","Tensile Strength","Flex Strength","Density","Operating Temperature","Features"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3733_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3733.jpg,3733-ND,3733,Adafruit Industries LLC,FILAMENT PLA FOR 3D PRINTERS,0,0,"49.94000","0","1","-","Active","PLA (Polylactide)","Violet (Lilac)","0.112"" (2.85mm)","2.205 lb (1.00kg)","-","-","-","195°C ~ 225°C","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3735_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3735.jpg,3735-ND,3735,Adafruit Industries LLC,FILAMENT PLA FOR 3D PRINTERS,0,0,"49.94000","0","1","-","Active","PLA (Polylactide)","Green (Light Green)","0.112"" (2.85mm)","2.205 lb (1.00kg)","-","-","-","195°C ~ 225°C","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3751_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3751.jpg,1528-2577-ND,3751,Adafruit Industries LLC,PLA FILAMENT FOR 3D PRINTERS,0,0,"49.94000","0","1","-","Active","PLA (Polylactide)","Black","0.112"" (2.85mm)","2.205 lb (1.00kg)","-","-","-","205°C ~ 215°C","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2563_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2563.jpg,1528-2033-ND,2563,Adafruit Industries LLC,FILAMENT BLUE TPE 0.07"" 500G,2,0,"49.95000","0","1","NinjaFlex","Obsolete","TPE (Thermoplastic Elastomer)","Blue (Sky Blue)","0.070"" (1.75mm)","1.102 lb (500.0g)","-","-","1.2g/cm³","210°C ~ 225°C","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2797_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2797.jpg,2797-ND,2797,Adafruit Industries LLC,FILAMENT PROTO PASTA 1.75MM MAG,0,0,"68.69000","0","1","Proto-Pasta","Active","PLA (Polylactide)","Gray","0.070"" (1.75mm)","1.102 lb (500.0g)","-","-","1.8g/cm³","190°C ~ 210°C","Magnetic Iron Fill"
https://cdn-learn.adafruit.com/downloads/pdf/skill-badge-guide-3d-printing.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2128.jpg,1528-2119-ND,2128,Adafruit Industries LLC,FILAMENT PLA 0.07"" 750G,0,0,"69.95000","0","1","-","Active","PLA (Polylactide)","-","0.070"" (1.75mm)","1.653 lb (750.0g)","-","-","-","195°C ~ 220°C","Copper Fill"
https://cdn-shop.adafruit.com/product-files/3185/Cheetah-TDS.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3185.jpg,1528-2299-ND,3185,Adafruit Industries LLC,CHEETAH 3D PRINTER FILAMENT - 3M,0,0,"74.94000","0","1","Cheetah™","Active","TPU (Thermoplastic Polyurethane)","Black (Midnight)","0.118"" (3.00mm)","2.205 lb (1.00kg)","-","-","1.2g/cm³","235°C ~ 245°C","-"
https://cdn-shop.adafruit.com/product-files/3186/Cheetah-TDS.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3186.jpg,1528-2300-ND,3186,Adafruit Industries LLC,CHEETAH 3D PRINTER FILAMENT - 3M,0,0,"74.94000","0","1","Cheetah™","Active","TPU (Thermoplastic Polyurethane)","White (Snow)","0.118"" (3.00mm)","2.205 lb (1.00kg)","-","-","1.2g/cm³","235°C ~ 245°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Translucent.jpg,ABS17TL5-ND,ABS17TL5,MG Chemicals,FILAMENT TRANS ABS 0.07"" 1KG,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Translucent","0.070"" (1.75mm)","2.205 lb (1.00kg)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20White.jpg,ABS17WH5-ND,ABS17WH5,MG Chemicals,FILAMENT WHITE ABS 0.07"" 1KG,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","White","0.070"" (1.75mm)","2.205 lb (1.00kg)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Black.jpg,ABS17BK5-ND,ABS17BK5,MG Chemicals,FILAMENT BLACK ABS 0.07"" 1KG,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Black","0.070"" (1.75mm)","2.205 lb (1.00kg)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
