Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Supplier Device Package"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/p_30_19.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65679E2X22.jpg,495-5168-ND,B65679E0002X022,EPCOS (TDK),ADJUSTMENT SCREW P 26 X 16,607,0,"2.06000","0","1","B65679","Active","Adjusting Screw","P","RM 10, P 26 x 16, P 30 x 19, P 36 x 22"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/etd_34_17_11.pdf,//media.digikey.com/Photos/Epcos%20Photos/B66362B1014T1.JPG,495-5464-ND,B66362B1014T001,EPCOS (TDK),BOBBIN COIL FORMER ETD 34X17X11,983,0,"2.10000","0","1","B66362","Active","Bobbin (Coil Former), Horizontal","ETD","ETD 34 x 17 x 11"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/etd_34_17_11.pdf,//media.digikey.com/Photos/Epcos%20Photos/B66362X1014T1.jpg,495-5466-ND,B66362X1014T001,EPCOS (TDK),BOBBIN COIL FORMER ETD 34X17X11,125,0,"2.16000","0","1","B66362","Active","Bobbin (Coil Former), Vertical","ETD","ETD 34 x 17 x 11"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/pq_40_40.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65884E0012D001.JPG,495-75912-ND,B65884E0012D001,EPCOS (TDK),BOBBIN COIL FORMER PQ 40 X 40,78,0,"2.21000","0","1","B65884E","Active","Bobbin (Coil Former), Vertical","PQ","PQ 40 x 40"
https://www.ferroxcube.com/upload/media/product/file/Acc_ds/432202103911.pdf,//media.digikey.com/Photos/Ferroxcube/CLM%5EP-PQ40%5E40.jpg,1779-1281-ND,CLM/P-PQ40/40,Ferroxcube,U SHAPED CLIP,970,0,"2.32000","0","1","-","Active","Clamp","PQ","PQ 40 x 40"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/e_32_16_9.pdf,//media.digikey.com/Photos/Epcos%20Photos/B66230A1114T1.JPG,495-5377-ND,B66230A1114T001,EPCOS (TDK),BOBBIN COIL FORMER E 32 X 16 X 9,425,0,"2.34000","0","1","B66230","Active","Bobbin (Coil Former), Horizontal","E","E 32 x 16 x 9"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/etd_44_22_15.pdf,//media.digikey.com/Photos/Epcos%20Photos/B66366B1018T1.jpg,495-5481-ND,B66366B1018T001,EPCOS (TDK),BOBBIN COIL FORMER ETD 44X22X15,803,0,"2.43000","0","1","B66366","Active","Bobbin (Coil Former), Horizontal","ETD","ETD 44 x 22 x 15"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/e_36_18_11.pdf,//media.digikey.com/Photos/Epcos%20Photos/B66390A1016T1.JPG,495-5500-ND,B66390A1016T001,EPCOS (TDK),BOBBIN COIL FORMER E 36X18X11,195,0,"2.48000","0","1","B66390","Active","Bobbin (Coil Former), Horizontal","E","E 36 x 18 x 11"
https://www.ferroxcube.com/upload/media/product/file/Acc_ds/432202107181.pdf,//media.digikey.com/Photos/Ferroxcube/CSV-PQ50%5E50-1S-12P.JPG,1779-1427-ND,CSV-PQ50/50-1S-12P,Ferroxcube,COIL FORMER VERTICAL,432,0,"2.58000","0","1","-","Active","Bobbin (Coil Former), Vertical","PQ","PQ 50 x 50"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/pq_50_50.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65982E12D1.JPG,495-5359-ND,B65982E0012D001,EPCOS (TDK),BOBBIN COIL FORMER PQ 50 X 50,217,0,"2.60000","0","1","B65982E","Active","Bobbin (Coil Former), Vertical","PQ","PQ 50 x 50"
