Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Core Type","Supplier Device Package","Material","Diameter","Inductance Factor (Al)","Tolerance","Gap","Effective Permeability (µe)","Initial Permeability (µi)","Core Factor (ΣI/A) mm<sup>1</sup>","Effective Length (le) mm","Effective Area (Ae) mm²","Minimum Core Cross Section (Amin) mm²","Effective Magnetic Volume (Ve) mm³","Finish","Height","Length","Width"
https://en.tdk.eu/inf/80/db/fer/r_10_0_6_00_4_00.pdf,//media.digikey.com/photos/Epcos%20Photos/B64290L0038X087.JPG,495-76609-ND,B64290L0038X035,EPCOS (TDK),FERRITE CORE TOROID 2.46UH T35,2337,0,"0.39000","0","1","B64290","Active","Toroid","-","T35","10.80mm","2.46µH","±25%","Ungapped","-","6000","3.07","24.07","7.83","-","188","Epoxy","4.75mm","-","-"
https://en.tdk.eu/download/531586/2d679ff7e70f74dfb98dc2a4732cca7b/pdf-toroids-general-information.pdf,-,495-76788-ND,B64290A0038X038,EPCOS (TDK),FERRITE CORE TOROID 4.09UH T38,4904,0,"0.40000","0","1","B64290","Active","Toroid","R 10 x 6 x 4","T38","10.00mm","4.09µH","±30%","Ungapped","-","10000","3.07","24.07","7.83","-","188","Uncoated","4.00mm","-","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=20038,-,1934-1562-ND,3061990861,Fair-Rite Products Corp.,61 ROD,5190,0,"0.42000","0","1","-","Active","Tube","-","61","-","-","-","Ungapped","27","125","-","-","4.91","-","-","Uncoated","-","-","-"
https://en.tdk.eu/inf/80/db/fer/r_12_5_7_90_6_35.pdf,-,495-76686-ND,B64290L0742X065,EPCOS (TDK),FERRITE CORE TOROID 2.85UH T65,1505,0,"0.44000","0","1","B64290","Active","Toroid","-","T65","13.60mm","2.85µH","±30%","Ungapped","-","4700","2.08","31.17","14.96","-","466","Epoxy","7.15mm","-","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=20017,-,1934-1565-ND,3067990861,Fair-Rite Products Corp.,67 ROD,5990,0,"0.45000","0","1","-","Active","Tube","-","67","-","-","-","Ungapped","19","40","-","-","4.91","-","-","Uncoated","-","-","-"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/T_13_7.9_6.4.pdf,//media.digikey.com/Photos/Ferroxcube/TX13%5E7.9%5E6.4.jpg,1779-1472-ND,TX13/7.9/6.4-3E27,Ferroxcube,CORES,3144,0,"0.45000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Uncoated","7.90mm","-","6.40mm"
https://en.tdk.eu/inf/80/db/fer/r_12_5_7_50_5_00.pdf,-,495-76687-ND,B64290L0044X049,EPCOS (TDK),FERRITE CORE TOROID 660NH N49,4445,0,"0.46000","0","1","B64290","Active","Toroid","-","N49","13.60mm","660nH","±25%","Ungapped","-","1300","2.46","30.09","12.23","-","368","Epoxy","5.95mm","-","-"
https://en.tdk.eu/inf/80/db/fer/r_9_53_4_75_3_17.pdf,//media.digikey.com/Photos/Epcos%20Photos/B64290L0062X065.jpg,495-76685-ND,B64290L0062X065,EPCOS (TDK),FERRITE CORE TOROID 2.05UH T65,1816,0,"0.50000","0","1","B64290","Active","Toroid","-","T65","10.50mm","2.05µH","±30%","Ungapped","-","4600","2.85","20.72","7.28","-","151","Epoxy","4.10mm","-","-"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/T_14_9_5.pdf,//media.digikey.com/Photos/Ferroxcube/TX14%5E9%5E5.jpg,1779-1499-ND,TX14/9/5-3E27,Ferroxcube,FERRITE CORES ROUND,1594,0,"0.53000","0","1","-","Active","Toroid","TX 14 x 9 x 5","3E27","14.25mm","-","-","-","-","-","-","-","-","-","-","Epoxy","5.25mm","-","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=21386,//media.digikey.com/Photos/Fair-Right/9077002002.jpg,1934-1060-ND,9077002002,Fair-Rite Products Corp.,77 U CORE,12060,0,"0.54000","0","1","-","Active","U","-","77","-","-","-","Ungapped","-","2000","168","20.8","12.4","-","257","Uncoated","4.06mm","8.64mm","4.57mm"
