Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Maximum AC Volts","Maximum DC Volts","Varistor Voltage (Min)","Varistor Voltage (Typ)","Varistor Voltage (Max)","Current - Surge","Energy","Number of Circuits","Capacitance @ Frequency","Operating Temperature","Features","Mounting Type","Package / Case"
https://product.tdk.com/info/en/catalog/datasheets/vpd_varistors_avr_en.pdf,//media.digikey.com/Renders/TDK%20Renders/0603-MLZ.jpg,445-2537-2-ND,AVR-M1608C080MTAAB,TDK Corporation,VARISTOR 8V 30A 0603,120000,0,"0.07980","0","4000","Tape & Reel (TR)","AVR-M","Active","-","5.5V","6.4V","8V","9.6V","30A","0.09J","1","650pF @ 1kHz","-40°C ~ 125°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://product.tdk.com/info/en/catalog/datasheets/vpd_varistors_avr_en.pdf,//media.digikey.com/Renders/TDK%20Renders/0603-MLZ.jpg,445-2537-1-ND,AVR-M1608C080MTAAB,TDK Corporation,VARISTOR 8V 30A 0603,124578,0,"0.51000","0","1","Cut Tape (CT)","AVR-M","Active","-","5.5V","6.4V","8V","9.6V","30A","0.09J","1","650pF @ 1kHz","-40°C ~ 125°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://product.tdk.com/info/en/catalog/datasheets/vpd_varistors_avr_en.pdf,//media.digikey.com/Renders/TDK%20Renders/0603-MLZ.jpg,445-2537-6-ND,AVR-M1608C080MTAAB,TDK Corporation,VARISTOR 8V 30A 0603,124578,0,"Digi-Reel","0","1","Digi-Reel®","AVR-M","Active","-","5.5V","6.4V","8V","9.6V","30A","0.09J","1","650pF @ 1kHz","-40°C ~ 125°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://product.tdk.com/info/en/catalog/datasheets/vpd_automotive_varistors_avr_en.pdf,//media.digikey.com/photos/TDK%20Photos/AVR%200603%20SERIES.JPG,445-2566-2-ND,AVRL161A3R3FTA,TDK Corporation,VARISTOR 27V 0603,44000,0,"0.07980","0","4000","Tape & Reel (TR)","AVRL","Active","-","10V","-","27V","-","-","-","1","3.3pF @ 1MHz","-40°C ~ 125°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://product.tdk.com/info/en/catalog/datasheets/vpd_automotive_varistors_avr_en.pdf,//media.digikey.com/photos/TDK%20Photos/AVR%200603%20SERIES.JPG,445-2566-1-ND,AVRL161A3R3FTA,TDK Corporation,VARISTOR 27V 0603,46658,0,"0.51000","0","1","Cut Tape (CT)","AVRL","Active","-","10V","-","27V","-","-","-","1","3.3pF @ 1MHz","-40°C ~ 125°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://product.tdk.com/info/en/catalog/datasheets/vpd_automotive_varistors_avr_en.pdf,//media.digikey.com/photos/TDK%20Photos/AVR%200603%20SERIES.JPG,445-2566-6-ND,AVRL161A3R3FTA,TDK Corporation,VARISTOR 27V 0603,46658,0,"Digi-Reel","0","1","Digi-Reel®","AVRL","Active","-","10V","-","27V","-","-","-","1","3.3pF @ 1MHz","-40°C ~ 125°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://www.bourns.com/docs/Product-Datasheets/MLC.pdf,//media.digikey.com/Renders/Bourns%20Renders/CG0603MLC.jpg,CG0603MLC-05ETR-ND,CG0603MLC-05E,Bourns Inc.,VARISTOR 0603,245000,0,"0.08840","0","5000","Tape & Reel (TR)","ChipGuard®","Active","-","5V","-","-","-","-","-","1","0.5pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://www.bourns.com/docs/Product-Datasheets/MLC.pdf,//media.digikey.com/Renders/Bourns%20Renders/CG0603MLC.jpg,CG0603MLC-05ECT-ND,CG0603MLC-05E,Bourns Inc.,VARISTOR 0603,250921,0,"0.51000","0","1","Cut Tape (CT)","ChipGuard®","Active","-","5V","-","-","-","-","-","1","0.5pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://www.bourns.com/docs/Product-Datasheets/MLC.pdf,//media.digikey.com/Renders/Bourns%20Renders/CG0603MLC.jpg,CG0603MLC-05EDKR-ND,CG0603MLC-05E,Bourns Inc.,VARISTOR 0603,250921,0,"Digi-Reel","0","1","Digi-Reel®","ChipGuard®","Active","-","5V","-","-","-","-","-","1","0.5pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
http://datasheets.avx.com/tguard.pdf,//media.digikey.com/Renders/AVX%20Renders/0603.jpg,478-7999-2-ND,VC060305A150RP,AVX Corporation,VARISTOR 8.5V 30A 0603,8000,0,"0.08982","0","4000","Tape & Reel (TR)","TransGuard®","Active","4V","5.6V","6.8V","8.5V","10.2V","30A","0.10J","1","750pF @ 1kHz","-55°C ~ 125°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
http://datasheets.avx.com/tguard.pdf,//media.digikey.com/Renders/AVX%20Renders/0603.jpg,478-7999-1-ND,VC060305A150RP,AVX Corporation,VARISTOR 8.5V 30A 0603,11588,0,"0.49000","0","1","Cut Tape (CT)","TransGuard®","Active","4V","5.6V","6.8V","8.5V","10.2V","30A","0.10J","1","750pF @ 1kHz","-55°C ~ 125°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
http://datasheets.avx.com/tguard.pdf,//media.digikey.com/Renders/AVX%20Renders/0603.jpg,478-7999-6-ND,VC060305A150RP,AVX Corporation,VARISTOR 8.5V 30A 0603,11588,0,"Digi-Reel","0","1","Digi-Reel®","TransGuard®","Active","4V","5.6V","6.8V","8.5V","10.2V","30A","0.10J","1","750pF @ 1kHz","-55°C ~ 125°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://www.bourns.com/docs/Product-Datasheets/MLC.pdf,//media.digikey.com/Renders/Bourns%20Renders/CG0603MLC.jpg,CG0603MLC-05LETR-ND,CG0603MLC-05LE,Bourns Inc.,VARISTOR 0603,90000,0,"0.09300","0","5000","Tape & Reel (TR)","ChipGuard®","Active","-","5V","-","-","-","-","-","1","0.5pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://www.bourns.com/docs/Product-Datasheets/MLC.pdf,//media.digikey.com/Renders/Bourns%20Renders/CG0603MLC.jpg,CG0603MLC-05LECT-ND,CG0603MLC-05LE,Bourns Inc.,VARISTOR 0603,95287,0,"0.40000","0","1","Cut Tape (CT)","ChipGuard®","Active","-","5V","-","-","-","-","-","1","0.5pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://www.bourns.com/docs/Product-Datasheets/MLC.pdf,//media.digikey.com/Renders/Bourns%20Renders/CG0603MLC.jpg,CG0603MLC-05LEDKR-ND,CG0603MLC-05LE,Bourns Inc.,VARISTOR 0603,95287,0,"Digi-Reel","0","1","Digi-Reel®","ChipGuard®","Active","-","5V","-","-","-","-","-","1","0.5pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://www.bourns.com/docs/Product-Datasheets/MLC.pdf,//media.digikey.com/Renders/Bourns%20Renders/CG0603MLC.jpg,CG0603MLC-3.3LETR-ND,CG0603MLC-3.3LE,Bourns Inc.,VARISTOR 0603,20000,0,"0.09300","0","5000","Tape & Reel (TR)","ChipGuard®","Active","-","3.3V","-","-","-","-","-","1","0.5pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://www.bourns.com/docs/Product-Datasheets/MLC.pdf,//media.digikey.com/Renders/Bourns%20Renders/CG0603MLC.jpg,CG0603MLC-3.3LECT-ND,CG0603MLC-3.3LE,Bourns Inc.,VARISTOR 0603,31104,0,"0.40000","0","1","Cut Tape (CT)","ChipGuard®","Active","-","3.3V","-","-","-","-","-","1","0.5pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://www.bourns.com/docs/Product-Datasheets/MLC.pdf,//media.digikey.com/Renders/Bourns%20Renders/CG0603MLC.jpg,CG0603MLC-3.3LEDKR-ND,CG0603MLC-3.3LE,Bourns Inc.,VARISTOR 0603,31104,0,"Digi-Reel","0","1","Digi-Reel®","ChipGuard®","Active","-","3.3V","-","-","-","-","-","1","0.5pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://www.bourns.com/docs/Product-Datasheets/MLC.pdf,//media.digikey.com/Renders/Bourns%20Renders/CG0402MLC.jpg,CG0402MLC-05LGTR-ND,CG0402MLC-05LG,Bourns Inc.,VARISTOR 0402,10000,0,"0.09425","0","10000","Tape & Reel (TR)","ChipGuard®","Active","-","5V","-","-","-","-","-","1","0.5pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0402 (1005 Metric)"
https://www.bourns.com/docs/Product-Datasheets/MLC.pdf,//media.digikey.com/Renders/Bourns%20Renders/CG0402MLC.jpg,CG0402MLC-05LGCT-ND,CG0402MLC-05LG,Bourns Inc.,VARISTOR 0402,16046,0,"0.44000","0","1","Cut Tape (CT)","ChipGuard®","Active","-","5V","-","-","-","-","-","1","0.5pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0402 (1005 Metric)"
