Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Type Attributes","Style","Specifications"
http://downloadt.advantech.com/ProductFile/PIS/96pr-127-usp-d/Product%20-%20Datasheet/96PR-127-USP-D_datasheet20180225090051.pdf,-,96PR-127-USP-D-ND,96PR-127-USP-D,Advantech Corp,DESKTOP THERM PRINTER 300DPI US,0,0,"560.00000","0","1","-","Active","Desktop","Thermal Printer, Direct and Transfer","Barcodes, Labels","300 dpi (12 dots/mm), Print Speed 5"" (127mm/s), Print Width 4"" (101mm), Centronics (Parallel), Serial (RS-232), USB 2.0"
http://advdownload.advantech.com/productfile/PIS/96pr-102-uw2-m/Product%20-%20Datasheet/96PR-102-UW2-M_datasheet20180225090043.pdf,-,96PR-102-UW2-M-ND,96PR-102-UW2-M,Advantech Corp,MOBILE PRINTER 2"" 203DPI WIFI US,0,0,"568.38000","0","1","-","Active","Handheld","Thermal Printer, Direct","Barcodes, Labels, Receipts","203 dpi (8 dots/mm), Print Speed 4"" (102mm/s), Print Width 2"" (50.8mm), USB 2.0, WiFi"
http://advdownload.advantech.com/productfile/PIS/96pr-102-uw3-m/Product%20-%20Datasheet/96PR-102-UW3-M_datasheet20180225090045.pdf,-,96PR-102-UW3-M-ND,96PR-102-UW3-M,Advantech Corp,MOBILE PRINTER 3"" 203DPI WIFI US,0,0,"631.22000","0","1","-","Active","Handheld","Thermal Printer, Direct","Barcodes, Labels, Receipts","203 dpi (8 dots/mm), Print Speed 4"" (102mm/s), Print Width 3"" (76mm), USB 2.0, WiFi"
http://advdownload.advantech.com/productfile/PIS/96pr-127-ub-d/Product%20-%20Datasheet/96PR-127-UB-D_datasheet20180225090050.pdf,-,96PR-127-UB-D-ND,96PR-127-UB-D,Advantech Corp,DESKTOP PRINTER 300DPI USB/BT US,0,0,"631.22000","0","1","-","Active","Desktop","Thermal Printer, Direct and Transfer","Barcodes, Labels","300 dpi (12 dots/mm), Print Speed 5"" (127mm/s), Print Width 4"" (101mm), Bluetooth 4.0, USB 2.0"
http://advdownload.advantech.com/productfile/PIS/96pr-203-uxh-d/Product%20-%20Datasheet/96PR-203-UXH-D_datasheet20180225090104.pdf,-,96PR-203-UXH-D-ND,96PR-203-UXH-D,Advantech Corp,DESKTOP THERM PRINTER 203DPI US,0,0,"651.70000","0","1","-","Active","Desktop","Thermal Printer, Direct and Transfer","Barcodes, Labels","203 dpi (8 dots/mm), 10/100 Mbps Ethernet, Print Speed 8"" (203mm/s), Print Width 4"" (101mm), Serial (RS-232), USB 2.0, USB Host"
-,-,T22-LABEL-PRINTER-ND,T22-LABEL-PRINTER,TE Connectivity Raychem Cable Protection,T200-LABEL-PRINTER,0,0,"795.23000","0","1","T200","Active","Desktop","Thermal Printer, Transfer","Labels","203 dpi, Centronics (Parallel), Ethernet, Print Speed 5"" (127mm/s), Serial (RS-232C), USB"
http://advdownload.advantech.com/productfile/PIS/96pr-152-uxh-d/Product%20-%20Datasheet/96PR-152-UXH-D_datasheet20180225090101.pdf,-,96PR-152-UXH-D-ND,96PR-152-UXH-D,Advantech Corp,DESKTOP THERM PRINTER 300DPI US,0,0,"841.89000","0","1","-","Active","Desktop","Thermal Printer, Direct and Transfer","Barcodes, Labels","300 dpi (12 dots/mm), 10/100 Mbps Ethernet, Print Spd 6"" (152mm/s), Print Width 4"" (101mm), Serial (RS-232), USB 2.0, USB Host"
http://advdownload.advantech.com/productfile/PIS/96pr-152-us-i/Product%20-%20Datasheet/96PR-152-US-I_datasheet20180225090057.pdf,-,96PR-152-US-I-ND,96PR-152-US-I,Advantech Corp,PRINTER 203DPIUSB/SER US,0,0,"899.35000","0","1","-","Active","Desktop","Thermal Printer, Direct and Transfer - Industrial","Barcodes, Labels","203 dpi (8 dots/mm), Print Speed 6"" (150mm/s), Print Width 4"" (101mm), Serial (RS-232), USB 2.0"
-,-,TRP-303-FC-ES-ND,TRP-303-FC-ES,3M,THRML RL PRNT W/FULL CTTR EXT ST,0,0,"924.68000","0","1","-","Active","Desktop","Thermal Printer","Markers","300 dpi, Centronics (Parallel), Ethernet, RS-232C (Serial), USB 2.0, Print Width 4"" (10.16mm), Full Cutter"
-,-,TRP-303-PC-ES-ND,TRP-303-PC-ES,3M,THRML RL PRNT W/PRTL CTTR EXT ST,0,0,"924.68000","0","1","-","Active","Desktop","Thermal Printer","Markers","300 dpi, Centronics (Parallel), Ethernet, RS-232C (Serial), USB 2.0, Print Width 4"" (10.16mm), Partial Cutter"
