Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Interface","Number of Ports"
-,-,LP32-LW-OPT-2-ND,LP32-LW-OPT-2,Broadcom Limited,LP32GFCLWSFP+OPTTCVR2PC,0,0,"5760.64000","0","1","-","Active","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/AB839-Model.pdf,//media.digikey.com/photos/Assmann%20Photos/MFG_AB_839.jpg,AB839-ND,AB839,Assmann WSW Components,ADAPTER SCSI INT/EXT DB25 HP FEM,0,0,"Obsolete","0","75","-","Obsolete","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/AB840-Model.pdf,//media.digikey.com/photos/Assmann%20Photos/MFG_AB_840.jpg,AB840-ND,AB840,Assmann WSW Components,ADAPTER SCSI INT/EXT SLOTBRACKET,0,0,"Obsolete","0","50","-","Obsolete","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/AB841-Model.pdf,//media.digikey.com/photos/Assmann%20Photos/MFG_AB_841.jpg,AB841-ND,AB841,Assmann WSW Components,ADAPTER SCSI INT/EXT SLOTBRACKET,0,0,"Obsolete","0","50","-","Obsolete","-","-","-"
-,-,AB841/TERM-ND,AB841/TERM,Assmann WSW Components,ADAPTER SCSI INT/EXT SLOTBRACKET,0,0,"Obsolete","0","20","-","Obsolete","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/Cable-Catalog-2004.pdf#Page=108,//media.digikey.com/photos/Assmann%20Photos/MFG_AB_842.jpg,AB842-ND,AB842,Assmann WSW Components,ADAPTER SCSI INT/EXT SLOTBRACKET,0,0,"Obsolete","0","20","-","Obsolete","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/Cable-Catalog-2004.pdf#Page=108,//media.digikey.com/photos/Assmann%20Photos/MFG_AB_843.jpg,AB843-ND,AB843,Assmann WSW Components,ADAPTER SCSI INT/EXT SLOTBRACKET,0,0,"Obsolete","0","20","-","Obsolete","-","-","-"
-,//media.digikey.com/photos/Assmann%20Photos/MFG_AB_846.jpg,AB846-ND,AB846,Assmann WSW Components,ADAPTER SCSI INT/EXT SLOTBRACKET,0,0,"Obsolete","0","25","-","Obsolete","-","-","-"
-,//media.digikey.com/photos/Assmann%20Photos/MFG_AB_847.jpg,AB847-ND,AB847,Assmann WSW Components,ADAPTER SCSI INT/EXT SLOTBRACKET,0,0,"Obsolete","0","50","-","Obsolete","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/Cable-Catalog-2004.pdf#Page=108,-,AB847/TERM-ND,AB847/TERM,Assmann WSW Components,ADAPTER SCSI INT/EXT SLOTBRACKET,0,0,"Obsolete","0","50","-","Obsolete","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/Cable-Catalog-2004.pdf#Page=108,//media.digikey.com/photos/Assmann%20Photos/MFG_AB_848.jpg,AB848-ND,AB848,Assmann WSW Components,ADAPTER SCSI INT/EXT SLOTBRACKET,0,0,"Obsolete","0","50","-","Obsolete","-","-","-"
-,//media.digikey.com/photos/Assmann%20Photos/MFG_AB_849.jpg,AB849-ND,AB849,Assmann WSW Components,ADAPTER SCSI INT/EXT SLOTBRACKET,0,0,"Obsolete","0","75","-","Obsolete","-","-","-"
-,//media.digikey.com/photos/Assmann%20Photos/MFG_AB_852.jpg,AB852-ND,AB852,Assmann WSW Components,ADAPTER SCSI INTERNAL PCB VERS,0,0,"Obsolete","0","25","-","Obsolete","-","-","-"
https://assets.tripplite.com/product-pdfs/en/f200003r.pdf,-,F200-003-R-ND,F200-003-R,Tripp Lite,CARD IEEE1394 FIREWIRE PCI,0,0,"Obsolete","0","1","-","Obsolete","Firewire®","CNR","3"
https://assets.tripplite.com/product-pdfs/en/f201003.pdf,-,F201-003-ND,F201-003,Tripp Lite,CARD IEEE1394 FIREWIRE PCI,0,0,"Obsolete","0","1","-","Obsolete","USB 2.0","CNR","3"
https://assets.tripplite.com/product-pdfs/en/u234005r.pdf,-,U234-005-R-ND,U234-005-R,Tripp Lite,CARD PCI USB 2.0 5PORT W/DRIVERS,0,0,"Obsolete","0","1","-","Obsolete","USB 2.0","CNR","5"
https://assets.tripplite.com/product-pdfs/en/u250002r.pdf,-,U250-002-R-ND,U250-002-R,Tripp Lite,CARD USB CARDBUS HOST 2-PORT,0,0,"Obsolete","0","1","-","Obsolete","USB 2.0","PCMCIA (PC Card)","2"
http://www.services.assmann.com/download/adm/support-manual-en/211655.pdf,//media.digikey.com/photos/Assmann%20Photos/Mfg_DN-7006GS.jpg,DN-7006GS-ND,DN-7006GS,Assmann WSW Components,WIRELESS LAN PCI ADAPTER,0,0,"Discontinued at Digi-Key","0","400","Digitus®","Discontinued at Digi-Key","WLAN","CNR","1"
