Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Touchscreen","Interface","Dot Pixels","Diagonal Screen Size"
https://learn.adafruit.com/downloads/pdf/qualia-high-res-displayport-desktop-monitor.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1652.jpg,1652-ND,1652,Adafruit Industries LLC,DISPLAYPORT MON 9.7"" 2048X1536,0,0,"224.95000","0","1","-","Active","-","-","2048 x 1536","9.70"" (246.38mm)"
http://docs.wixstatic.com/ugd/d1477d_9cc51bed7c3a4bb690861095ffb4a2ed.pdf,//media.digikey.com/Photos/Touch%20Revolution/K15A-0101.jpg,1176-1028-ND,K15A-0101,TPK America LLC,MONITOR TRU 15"" TOUCH OPEN FRAME,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","2 Point Multi-Touch","VGA","1024 x 768","15.00"" (381.00mm)"
http://docs.wixstatic.com/ugd/d1477d_5c0ce2e5e3c74349b191252b6210ce19.pdf,//media.digikey.com/Photos/Touch%20Revolution/M15A-1101.jpg,1176-1001-ND,M15A-1101,TPK America LLC,MONITOR TRU 15"" TOUCH DESKTOP,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","2 Point Multi-Touch","VGA","1024 x 768","15.00"" (381.00mm)"
http://docs.wixstatic.com/ugd/d1477d_731dbdf6a23241888715a7f6bf3720d2.pdf,//media.digikey.com/Photos/Touch%20Revolution/K17A-0101.jpg,1176-1002-ND,K17A-0101,TPK America LLC,MONITOR TRU 17"" TOUCH OPEN FRAME,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","2 Point Multi-Touch","VGA","1280 x 1024","17.00"" (431.80mm)"
http://docs.wixstatic.com/ugd/d1477d_79cfd9b013b74b9c8b6dc91768387972.pdf,//media.digikey.com/Photos/Touch%20Revolution/M17A-1101.jpg,1176-1003-ND,M17A-1101,TPK America LLC,MONITOR TRU 17"" TOUCH DESKTOP,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","2 Point Multi-Touch","VGA","1280 x 1024","17.00"" (431.80mm)"
http://docs.wixstatic.com/ugd/d1477d_5f109dbf6bb140ca8859d771a6ab97dc.pdf,//media.digikey.com/Photos/Touch%20Revolution/K19A-0101.jpg,1176-1004-ND,K19A-0101,TPK America LLC,MONITOR TRU 19"" TOUCH OPEN FRAME,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","2 Point Multi-Touch","VGA","1280 x 1024","19.00"" (482.60mm)"
http://docs.wixstatic.com/ugd/d1477d_198b270636cd461f855f11c6f5cfbf02.pdf,//media.digikey.com/Photos/Touch%20Revolution/M19A-1101.jpg,1176-1005-ND,M19A-1101,TPK America LLC,MONITOR TRU 19"" TOUCH DESKTOP,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","2 Point Multi-Touch","DVI-D, VGA","1280 x 1024","19.00"" (482.60mm)"
-,//media.digikey.com/Photos/Touch%20Revolution/K21A-0101.jpg,1176-1006-ND,K21A-0101,TPK America LLC,MON TRU 21.5"" TOUCH OPEN FRAME,0,0,"Discontinued at Digi-Key","0","1","TRu Touch","Discontinued at Digi-Key","-","DVI, USB, VGA","1920 x 1080","19.00"" (482.60mm)"
-,//media.digikey.com/Photos/Touch%20Revolution/M21A-1101.jpg,1176-1007-ND,M21A-1101,TPK America LLC,MONITOR TRU 21.5"" TOUCH DESKTOP,0,0,"Discontinued at Digi-Key","0","1","TRu Touch","Discontinued at Digi-Key","-","-","1280 x 1024","17.00"" (431.80mm)"
-,//media.digikey.com/Photos/Touch%20Revolution/K32A-0111.jpg,1176-1010-ND,K32A-0111,TPK America LLC,MONITOR TRU SLIM 32"" TOUCH DESKT,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","2 Point Multi-Touch","DVI-D, VGA","1920 x 1080","32.00"" (812.80mm)"
http://docs.wixstatic.com/ugd/d1477d_e3e70db473ba470082e9c6fc9731c591.pdf,-,1176-1029-ND,K21A-0311,TPK America LLC,MONITOR TRU TOUCH,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","10 Point Multi-Touch","DVI-D, VGA","1920 x 1080","21.50"" (546.10mm)"
//media.digikey.com/pdf/Data%20Sheets/Advantech%20PDFs/PWS-770.pdf,-,PWS-770-S0A00C001E-ND,PWS-770-S0A00C001E,Advantech Corp,PWS-770 BAREBONE 10.4"" SUNLIGHT,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Advantech%20PDFs/PWS-770.pdf,-,PWS-770-S0AW0C001E-ND,PWS-770-S0AW0C001E,Advantech Corp,PWS-770 BAREBONE SUNLIGHT/WL/BT/,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Advantech%20PDFs/PWS-770.pdf,-,PWS-770-S3A0PC001E-ND,PWS-770-S3A0PC001E,Advantech Corp,CEDARTRAIL N2600 DDR3 2GB 32GB,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Advantech%20PDFs/PWS-770.pdf,-,PWS-770-S3AWPC001E-ND,PWS-770-S3AWPC001E,Advantech Corp,CEDARTRAIL N2600 DDR3 2GB 32GB,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
-,-,PWS-770-S3A6EC001E-ND,PWS-770-S3A6EC001E,Advantech Corp,CEDARTRAIL N2600 DDR3 2GB 32GB,0,0,"Obsolete","0","0","*","Obsolete","-","-","-","-"
-,-,PWS-770-S3A0EC001E-ND,PWS-770-S3A0EC001E,Advantech Corp,CEDARTRAIL N2600 DDR3 2GB 32GB,0,0,"Obsolete","0","0","*","Obsolete","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Advantech%20PDFs/VX2452mh.pdf,-,96LED-24W-VS-B3-ND,96LED-24W-VS-B3,Advantech Corp,LED DISPLAY 24"" VGA/DVI/HDMI BK,0,0,"Obsolete","0","1","-","Obsolete","Non-Touch","DVI, HDMI, VGA","1920 x 1080","24.00"" (609.60mm)"
//media.digikey.com/pdf/Data%20Sheets/Advantech%20PDFs/AMT-1023C-DH25_02-11-2015.pdf,-,AMT-1023C-DH25-ND,AMT-1023C-DH25,"B&B SmartWorx, Inc.",LED TOUCH MONITOR 23"",0,0,"Obsolete","0","0","-","Obsolete","10 Point Multi-Touch","DVI, HDMI, VGA","1920 x 1080","23.00"" (584.20mm)"
http://downloadt.advantech.com/ProductFile/PIS/PWS-770/Product%20-%20Datasheet/PWS-770_DS(12.03.13)_A_DLog20140505091225.pdf,-,PWS-770-N3A0EC001E-ND,PWS-770-N3A0EC001E,Advantech Corp,RUGGED TABLET PC WITH INTEL,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
http://downloadt.advantech.com/ProductFile/PIS/PWS-770/Product%20-%20Datasheet/PWS-770_DS(12.03.13)_A_DLog20140505091225.pdf,-,PWS-770-N3AWEC001E-ND,PWS-770-N3AWEC001E,Advantech Corp,RUGGED TABLET PC WITH INTEL,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
http://downloadt.advantech.com/ProductFile/PIS/PWS-770/Product%20-%20Datasheet/PWS-770_DS(12.03.13)_A_DLog20140505091225.pdf,-,PWS-770-N0A00C001E-ND,PWS-770-N0A00C001E,Advantech Corp,RUGGED TABLET PC WITH INTEL,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
http://downloadt.advantech.com/ProductFile/PIS/PWS-770/Product%20-%20Datasheet/PWS-770_DS(12.03.13)_A_DLog20140505091225.pdf,-,PWS-770-N0AW0C001E-ND,PWS-770-N0AW0C001E,Advantech Corp,RUGGED TABLET PC WITH INTEL,0,0,"Obsolete","0","1","*","Obsolete","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26700-402.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-402.jpg,26700-402-ND,26700-402,Aven Tools,MONITOR LCD 17IN,0,0,"Obsolete","0","1","-","Obsolete","-","-","1280 x 1024","17.00"" (431.80mm)"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26700-404.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-404.jpg,26700-404-ND,26700-404,Aven Tools,MONITOR LCD 15IN,0,0,"Obsolete","0","1","-","Obsolete","Non-Touch","-","1280 x 1024","15.00"" (381.00mm)"
