Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Diagonal Screen Size","Viewing Area"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/MPF828410~.pdf,-,MPF828410-ND,MPF828410,3M,PRIVACY SCREEN PROTECTOR IPAD MI,0,0,"38.77800","0","5","-","Active","Film","Window Safety, Security","-","-"
-,-,PFNAP001-ND,PFNAP001,3M,NOTEBOOK PRIVACY FILTER,0,0,"39.60000","0","1","-","Active","-","-","-","-"
-,-,AG173W9B-ND,AG173W9B,3M,ANTI-GLARE FILTER,0,0,"40.43000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/EPFPRO~.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_Filter-Software.jpg,EPFPRO-ND,EPFPRO,3M,EPRIVACY FILTER SOFTWARE PROFESS,0,0,"40.75000","0","1","-","Active","Privacy Filter","Window Safety, Security","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/PFMP13~.pdf,-,PFMP13-ND,PFMP13,3M,PRIVACY FILTER MACBOOK 13"",0,0,"41.60000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","13.3"" (13.31"", 338mm)","319.00mm W x 213.00mm H"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/GPFMA11~.pdf,-,GPFMA11-ND,GPFMA11,3M,GOLD PRIVACY FILTER MACBOOK 11"",0,0,"41.60000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","11.6"" (11.60"", 295mm)","257.18mm W x 144.46mm H"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/ePrivacy_Filter.pdf,-,PFMA13-ND,PFMA13,3M,PRIVACY FILTER MACBOOK 13"",0,0,"41.60000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","13.0"" (13.00"", 330mm)","287.34mm W x 179.39mm H"
-,-,PFNAP004-ND,PFNAP004,3M,NOTEBOOK PRIVACY FILTER,0,0,"41.60000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/PF12.5W9~.pdf,-,PF12.5W9-ND,PF12.5W9,3M,PRIVACY FILTER LAPTOP 12.5"",0,0,"42.34000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","12.5"" (12.50"", 318mm)","277.81mm W x 155.58mm H"
-,-,PF125W9E-ND,PF125W9E,3M,12.5"" PRIVACY FILTER,0,0,"42.34000","0","1","-","Active","-","-","-","-"
