Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Keys","Interface","Features","Color","Size / Dimension"
-,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2876.jpg,1528-1546-ND,2876,Adafruit Industries LLC,FULL SIZE WIRELESS KEYBOARD WITH,0,0,"39.95000","0","1","-","Active","Keyboard (Wireless)","-","USB","-","Black","10.240"" L x 3.270"" W x 0.280"" H (260.00mm x 83.00mm x 7.00mm)"
-,//media.digikey.com/Photos/Storm%20Interface%20Photos/2220-552023.jpg,MGR1703-ND,2220-552023,Storm Interface,VANDAL RESISTANT USB KEYBOARD WI,1,0,"291.08000","0","1","2220","Active","Keyboard","75","USB","Vandal Resistant, Sealed, IP65","Silver, White","11.400"" L x 5.400"" W x 1.300"" H (289.50mm x 137.50mm x 32.80mm)"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/KEY0104_Web.pdf,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_KEY0104.jpg,KEY0104-ND,KEY0104,Pimoroni Ltd,SLIM CHICLET KEYBOARD,0,0,"9.59214","0","14","-","Active","Keyboard","78","USB","Compact","Black","11.180"" L x 4.800"" W x 0.940"" H (284.00mm x 122.00mm x 24.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3601_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3601.jpg,1528-2405-ND,3601,Adafruit Industries LLC,COMP EQUIP KEYBOARD,16,0,"12.95000","0","1","-","Active","Keyboard (Wireless)","49","USB","Bluetooth, USB Charging Cable","Black","4.500"" L x 2.400"" W x 0.300"" H (114.30mm x 61.00mm x 7.60mm)"
http://advdownload.advantech.com/productfile/PIS/96KB-104U-MS-US-B/Product%20-%20Datasheet/96KB-104U-MS-US-B_datasheet20171109134022.pdf,//media.digikey.com/Photos/Advantech%20Corp%20Photos/MFG_96KB-104U-MS-US-B.jpg,96KB-104U-MS-US-B-ND,96KB-104U-MS-US-B,Advantech Corp,KEYBOARD KEYTRONIC USB 104 KEY,0,0,"18.62000","0","1","-","Active","Keyboard and Mouse","104","USB","-","Black","17.900"" L x 6.280"" W x 1.680"" H (454.70mm x 159.50mm x 42.70mm)"
https://www.raspberrypi.org/app/uploads/2019/04/Product-Brief-Raspberry-Pi-Keyboard-and-Mouse.pdf,-,1690-RPI-KYB(IT)RED-ND,RPI-KYB (IT) RED,Raspberry Pi,RASPBERRY PI KEYBOARD (IT) RED,0,0,"20.00000","0","1","-","Active","Keyboard","79","USB","USB Hub, 3 Port","Red","11.213"" L x 4.788"" W x 0.801"" H (284.80mm x 121.61mm x 20.34mm)"
https://www.raspberrypi.org/app/uploads/2019/04/Product-Brief-Raspberry-Pi-Keyboard-and-Mouse.pdf,-,1690-RPI-KYB(FR)BLK-ND,RPI-KYB (FR) BLK,Raspberry Pi,RASPBERRY PI KEYBOARD (FR) BLACK,0,0,"20.00000","0","1","-","Active","Keyboard","79","USB","USB Hub, 3 Port","Black","11.213"" L x 4.788"" W x 0.801"" H (284.80mm x 121.61mm x 20.34mm)"
https://www.raspberrypi.org/app/uploads/2019/04/Product-Brief-Raspberry-Pi-Keyboard-and-Mouse.pdf,-,1690-RPI-KYB(UK)BLK-ND,RPI-KYB (UK) BLK,Raspberry Pi,RASPBERRY PI KEYBOARD (UK) BLACK,0,0,"20.00000","0","1","-","Active","Keyboard","79","USB","USB Hub, 3 Port","Black","11.213"" L x 4.788"" W x 0.801"" H (284.80mm x 121.61mm x 20.34mm)"
https://www.raspberrypi.org/app/uploads/2019/04/Product-Brief-Raspberry-Pi-Keyboard-and-Mouse.pdf,-,1690-RPI-KYB(IT)BLK-ND,RPI-KYB (IT) BLK,Raspberry Pi,RASPBERRY PI KEYBOARD (IT) BLACK,0,0,"20.00000","0","1","-","Active","Keyboard","79","USB","USB Hub, 3 Port","Black","11.213"" L x 4.788"" W x 0.801"" H (284.80mm x 121.61mm x 20.34mm)"
https://www.raspberrypi.org/app/uploads/2019/04/Product-Brief-Raspberry-Pi-Keyboard-and-Mouse.pdf,-,1690-RPI-KYB(DE)RED-ND,RPI-KYB (DE) RED,Raspberry Pi,RASPBERRY PI KEYBOARD (DE) RED,0,0,"20.00000","0","1","-","Active","Keyboard","79","USB","USB Hub, 3 Port","Red","11.213"" L x 4.788"" W x 0.801"" H (284.80mm x 121.61mm x 20.34mm)"
-,-,1690-RPI-KYB(ES)RED-ND,RPI-KYB (ES) RED,Raspberry Pi,RASPBERRY PI KEYBOARD (ES) RED,0,0,"20.00000","0","1","-","Active","Keyboard","79","USB","USB Hub, 3 Port","Red","11.213"" L x 4.788"" W x 0.801"" H (284.80mm x 121.61mm x 20.34mm)"
https://www.raspberrypi.org/app/uploads/2019/04/Product-Brief-Raspberry-Pi-Keyboard-and-Mouse.pdf,-,1690-RPI-KYB(US)RED-ND,RPI-KYB (US) RED,Raspberry Pi,RASPBERRY PI KEYBOARD (US) RED,0,0,"20.00000","0","1","-","Active","Keyboard","78","USB","USB Hub, 3 Port","Red","11.213"" L x 4.788"" W x 0.801"" H (284.80mm x 121.61mm x 20.34mm)"
https://www.raspberrypi.org/app/uploads/2019/04/Product-Brief-Raspberry-Pi-Keyboard-and-Mouse.pdf,-,1690-RPI-KYB(DE)BLK-ND,RPI-KYB (DE) BLK,Raspberry Pi,RASPBERRY PI KEYBOARD (DE) BLACK,0,0,"20.00000","0","1","-","Active","Keyboard","79","USB","USB Hub, 3 Port","Black","11.213"" L x 4.788"" W x 0.801"" H (284.80mm x 121.61mm x 20.34mm)"
https://www.raspberrypi.org/app/uploads/2019/04/Product-Brief-Raspberry-Pi-Keyboard-and-Mouse.pdf,-,1690-RPI-KYB(US)BLK-ND,RPI-KYB (US) BLK,Raspberry Pi,RASPBERRY PI KEYBOARD (US) BLACK,0,0,"20.00000","0","1","-","Active","Keyboard","78","USB","USB Hub, 3 Port","Black","11.213"" L x 4.788"" W x 0.801"" H (284.80mm x 121.61mm x 20.34mm)"
https://www.raspberrypi.org/app/uploads/2019/04/Product-Brief-Raspberry-Pi-Keyboard-and-Mouse.pdf,-,1690-RPI-KYB(ES)BLK-ND,RPI-KYB (ES) BLK,Raspberry Pi,RASPBERRY PI KEYBOARD (ES) BLACK,0,0,"20.00000","0","1","-","Active","Keyboard","79","USB","USB Hub, 3 Port","Black","11.213"" L x 4.788"" W x 0.801"" H (284.80mm x 121.61mm x 20.34mm)"
