Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","Specifications","For Use With/Related Products"
http://www.panduit.com/heiler/PartDrawings/TDP43MY%20Product%20Page.pdf,-,RMR2WH-ND,RMR2WH,Panduit Corp,RIBBON RESIN 2 WIDE WITH TDP,0,0,"33.68000","0","1","Easy-Mark™","Active","Thermal Transfer Ribbon","Length 73.0m","TDP43MY Printer"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2891017.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2891017.jpg,2891017-ND,2891017,Phoenix Contact,MOUNTING ADAPTER FOR SFNT SWITCH,0,9,"34.00000","0","1","-","Active","DIN Rail Adapter","-","SFNT Switches"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1654227_Ident_Sols&DocType=DS&DocLang=English,-,1330-0607-T200-ND,1330-0607-T200,TE Connectivity Raychem Cable Protection,THERMAL TRANSFER RIBBON RHD 74M,0,0,"34.10389","0","36","-","Active","Thermal Transfer Ribbon","-","T208M and T212M Printers"
https://assets.tripplite.com/product-pdfs/en/ddr0710sc.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_DDR0710SC_A.jpg,DDR0710SC-ND,DDR0710SC,Tripp Lite,TABLET DESK MONITOR MOUNT CLAMP,0,0,"34.16000","0","1","-","Active","Desk Clamp","-","-"
https://assets.tripplite.com/product-pdfs/en/mr1208tray.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_MR1208TRAY.jpg,MR1208TRAY-ND,MR1208TRAY,Tripp Lite,UNIVERSAL MONITOR RISER STAND W,0,0,"34.16000","0","1","-","Active","Monitor Riser","-","-"
https://www.rk-rose-krieger.com/fileadmin/catalogue/neuheiten/news_rk_monitorhalterung_en.pdf,//media.digikey.com/Photos/RoseKrieger/MFG_193000052C66.jpg,193000052C66-ND,193000052C66,Rose+Krieger,TABLET HOLDER RK MONITOR MOUNTIN,0,0,"34.33000","0","1","-","Active","Holder","Length 112mm","Tablets"
https://assets.tripplite.com/product-pdfs/en/ddr0810tri.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_DDR0810TRI.jpg,DDR0810TRI-ND,DDR0810TRI,Tripp Lite,FULL MOTION UNIVERSAL TABLET DES,0,0,"34.85000","0","1","-","Active","Stand","-","-"
//media.digikey.com/pdf/Data%20Sheets/Advantech%20PDFs/Modules_Accessories.pdf,-,S10A-93-S10AA-002-ND,S10A-93-S10AA-002,Advantech Corp,ACCESSORY S10A HAND STRAP V2.0,0,0,"35.00000","0","1","*","Active","-","-","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2400033,-,2400033-ND,2400033,Phoenix Contact,2.5"" SATA KIT FOR DESIGNLINE IND,0,0,"35.00000","0","1","-","Active","Removable Hard Drive Tray","-","Industrial PC"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2400026,-,2400026-ND,2400026,Phoenix Contact,2.5"" SATA TRAY KIT FOR BASICLINE,0,0,"35.00000","0","1","-","Active","Removable Hard Drive Tray","-","Industrial PC"
-,-,EXTRM33-32CBNT-ND,EXTRM33-32CBNT,3M,EXTREME NOTES TRAY MULT,0,0,"35.19250","0","8","Post-it®","Active","Extreme Notes","3"" x 3"", 32 Pads, Mixed Colors, Water Resistant","-"
https://assets.tripplite.com/product-pdfs/en/u457025cg2.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U457-025-CG2.jpg,U457-025-CG2-ND,U457-025-CG2,Tripp Lite,USB 3.1 GEN 2 10GBPS SATA SSD/HD,0,0,"35.95000","0","1","-","Active","External Storage","Data Transfer up to 10.0Gbps","2.5"" Hard Drives"
-,-,558-CBS-ND,558-CBS,3M,POST-IT MESSAGE BOARD WITH MA,0,0,"36.80000","0","1","Post-it®","Active","Combination Bulletin Board","-","-"
//media.digikey.com/pdf/Data%20Sheets/Panduit%20PDFs/GHS.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PSL-GHSBINDE3.jpg,PSL-GHSBINDE3-ND,PSL-GHSBINDE3,Panduit Corp,BINDER ENGLISH 3.00 ETHYLENE,0,0,"37.55000","0","1","-","Active","Binder","-","-"
-,-,TT822OUT10SM-ND,TT822OUT10SM,HellermannTyton,WHITE THERMAL RIBBON ON 1/2"" COR,0,0,"37.66500","0","24","-","Active","Thermal Transfer Ribbon","Length 15.0m","Thermal Transfer Printer"
-,-,MALAPTOP2-ND,MALAPTOP2,3M,MONITOR ARM LAPTOP TRAY ATTACHME,0,0,"38.78000","0","1","-","Active","-","-","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=5146659,-,5146659-ND,5146659,Phoenix Contact,DUMMY INK CARTRIDGE FOR THE BLUE,0,0,"39.69000","0","10","-","Active","Ink Replacement Cartridge","-","Bluemark Printer"
-,-,35100013-ND,35100013,Altech Corporation,SUCTION BALL FOR PENS 5 REPLACEM,0,2,"40.52000","0","1","-","Active","-","-","-"
https://assets.tripplite.com/product-pdfs/en/ddr1013sc.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_DDR1013SC.jpg,DDR1013SC-ND,DDR1013SC,Tripp Lite,FULL-MOTION UNIVERSAL TABLET DES,0,0,"41.00000","0","1","-","Active","Desk Clamp","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=TTDS-257&DocType=DS&DocLang=English,-,1330-3300-101TT-ND,1330-3300-101TT,TE Connectivity Raychem Cable Protection,THERMAL TRANSFER RIBBON BLACK,0,0,"41.02000","0","1","-","Active","Thermal Transfer Ribbon","-","T208M, T212M, T312M, T408M Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1654227_Ident_Sols&DocType=DS&DocLang=English,-,TMS-101-RIBBON-4RPSCE-ND,TMS-101-RIBBON-4RPSCE,TE Connectivity Raychem Cable Protection,"RIBBON BLK RESIN - T208M, T212M",0,0,"41.06194","0","36","-","Active","Thermal Transfer Ribbon","-","T208M and T212M Printers"
-,-,TTMS-40MM-RIBBON-BLK-ND,TTMS-40MM-RIBBON-BLK,TE Connectivity Raychem Cable Protection,TTMS-40MM-RIBBON-BLK,0,0,"41.70500","0","2","-","Active","-","-","-"
