Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Convert From (Adapter End)","Convert To (Adapter End)","Interface","Features","Utilized IC / Part"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/321020002_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_321020002.jpg,1597-1457-ND,321020002,"Seeed Technology Co., Ltd",HDMI TO VGA ADAPTER,192,0,"10.10000","0","1","-","Active","HDMI to VGA","HDMI Male","D-Sub HD15 Female","-","-","-"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_DB9-USB-RS232.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/DB9-USB-F.jpg,768-1109-ND,DB9-USB-D3-F,"FTDI, Future Technology Devices International Ltd",MOD USB UART EMBDED 3.3V FEMAL,168,0,"15.63000","0","1","-","Active","USB to Serial","USB - Mini B 2.0 Female","D-Sub 09 Pos (DB9) Female","UART","D-Shaped Housing","FT232R"
https://assets.tripplite.com/product-pdfs/en/b015000.pdf,//media.digikey.com/Photos/Tripplite%20Photos/B015-000.jpg,TL376-ND,B015-000,Tripp Lite,ADAPTER USB TO PS/2,193,0,"16.97000","0","1","-","Active","USB to PS/2","USB - A 2.0 Male","Mini DIN Female (2)","-","-","-"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_DB9-USB-RS232.pdf,//media.digikey.com/photos/FTDI%20(Future%20Tech%20Devices)/DB9-USB-M.jpg,768-1064-ND,DB9-USB-M,"FTDI, Future Technology Devices International Ltd",MOD USB RS232 EMBEDED RETRO DB9M,395,0,"19.25000","0","1","-","Active","USB to Serial","USB - Mini B 2.0 Female","D-Sub 09 Pos (DB9) Male","RS232","D-Shaped Housing","FT232R"
http://www.assmann-wsw.com/fileadmin/datasheets/DA-70155-1.pdf,//media.digikey.com/Photos/Assmann%20Photos/DA-70155-1.JPG,AE11058-ND,DA-70155-1,Assmann WSW Components,ADAPTER USB 1.1 TO SERIAL M/DB-9,194,0,"21.22000","0","1","Digitus®","Active","USB to Serial","USB - A 2.0 Male","D-Sub 09 Pos (DB9) Male","RS-232","-","PL2303RA"
https://assets.tripplite.com/product-pdfs/en/p13606nhvv2.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P136-06N-HV-V2.jpg,TL1039-ND,P136-06N-HV-V2,Tripp Lite,DISPLAYPORT 1.2 TO VGA/HDMI ALL-,118,0,"23.54000","0","1","-","Active","DisplayPort to HDMI, VGA","DisplayPort Male","D-Sub HD15 Female, HDMI Female","-","-","-"
http://advdownload.advantech.com/productfile/PIS/BB-485USB9F-2W/Product%20-%20Datasheet/485USB9F-2Wx_485USB9F-4Wx_1017ds20170327234647.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_485USB9F-4W.jpg,1165-1025-ND,BB-485USB9F-4W,"B&B SmartWorx, Inc.",MINI CONVERTER USB TO RS-485,139,137,"93.73000","0","1","-","Active","USB to Serial","USB - B 2.0 Female","D-Sub 09 Pos (DB9) Female","RS-485","-","-"
https://assets.tripplite.com/product-pdfs/en/u442dock1.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U442-DOCK1.JPG,TL1395-ND,U442-DOCK1,Tripp Lite,USB 3.1 GEN 1 USB-C DOCKING STAT,27,0,"145.44000","0","1","-","Active","USB to DisplayPort - Mini, Ethernet, HDMI, VGA","USB - C 3.0 (3.1 Gen 1, Superspeed) Male","3.5mm Female, D-Sub HD15 Female, HDMI Female, DisplayPort-Mini Female, RJ45 Female, USB-A 3.0 (3.1 Gen 1, Superspeed) Female(3)","-","Memory Card Slot(s), Thunderbolt Compatible, USB - C Charging Port","-"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/DA-70118.pdf,//media.digikey.com/photos/Assmann%20Photos/Mfg_DA-70118.jpg,AE10287-ND,DA-70118,Assmann WSW Components,ADAPTER USB 1.1 TO PS/2(2),144,0,"11.86000","0","1","Digitus®","Active","USB to PS/2","USB 1.1","Mini DIN Female (2)","-","-","-"
https://assets.tripplite.com/product-pdfs/en/u43806ng1w.pdf,-,TL2319-ND,U438-06N-G1-W,Tripp Lite,USB 3.1 GEN 1 USB TYPE-C TO SATA,197,0,"19.09000","0","1","-","Active","USB to Serial","USB - C 3.0 (3.1 Gen 1, Superspeed) Male","22 Pin (Power Socket) Female","SATA","External SATA Drive Connector Port, Thunderbolt Compatible","-"
https://assets.tripplite.com/product-pdfs/en/u43806ng2w.pdf,-,TL2320-ND,U438-06N-G2-W,Tripp Lite,USB 3.1 GEN 2 USB TYPE-C TO SATA,194,0,"26.91000","0","1","-","Active","USB to Serial","USB - C 3.1 (3.1 Gen 2, Superspeed+) Male","22 Pin (Power Socket) Female","SATA","External SATA Drive Connector Port, Thunderbolt Compatible","-"
https://assets.tripplite.com/product-pdfs/en/p581015.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P581-0xx.jpg,TL1916-ND,P581-015,Tripp Lite,DISPLAYPORT TO DVI-D ADAPTER CAB,117,0,"43.35000","0","1","-","Active","DisplayPort to DVI","DisplayPort - Mini Male","DVI-D Single Link Male","-","-","-"
https://assets.tripplite.com/product-pdfs/en/u442dock11s.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U442-DOCK11-S.jpg,TL1940-ND,U442-DOCK11-S,Tripp Lite,"USB-C DOCKING STATION, 4K 30 HZ,",91,0,"96.96000","0","1","-","Active","USB to Ethernet, HDMI, USB","USB - C 3.0 (3.1 Gen 1, Superspeed) Male","HDMI Female, RJ45 Female, USB - A 3.0 (3.1 Gen 1, Superspeed) Female (2)","-","LED Indicator, Memory Card Slot(s), Thunderbolt Compatible, USB - C Charging Port","-"
https://assets.tripplite.com/product-pdfs/en/u442dock3b.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U442-DOCK3-B.jpg,TL1944-ND,U442-DOCK3-B,Tripp Lite,USB-C LAPTOP DOCKING STATION - H,44,0,"109.08000","0","1","-","Active","USB to Ethernet, HDMI, USB, VGA","USB - C 3.0 (3.1 Gen 1, Superspeed) Male","D-Sub HD15 Female, HDMI Female, RJ45 Female, USB - A 3.0 (3.1 Gen 1, Superspeed) Female","-","LED Indicator, Memory Card Slot(s), Thunderbolt Compatible, USB - C Charging Port","-"
https://assets.tripplite.com/product-pdfs/en/u342shg001.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U342-SHG-001.jpg,TL2307-ND,U342-SHG-001,Tripp Lite,USB 3.0 TO DISPLAYPORT VID ADAPT,34,0,"145.95000","0","1","-","Active","USB to Ethernet, HDMI, USB, VGA","USB - A 3.0 (3.1 Gen 1, Superspeed) Male","D-Sub HD15 Female, HDMI Female, RJ45 Female, USB - A 3.0 (3.1 Gen 1, Superspeed) Female","-","-","-"
http://advdownload.advantech.com/productfile/PIS/BB-485CON/Product%20-%20Datasheet/485CON_3217ds20170812051350.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_485CON.jpg,BB-485CON-ND,BB-485CON,"B&B SmartWorx, Inc.",RS-232 DB25 M TO RS-485 DB25FCON,30,42,"115.50000","0","1","-","Active","Serial to Serial","D-Sub 25 Pos (DB25) Male","D-Sub 25 Pos (DB25) Male","RS-232, RS-485","-","-"
http://advdownload.advantech.com/productfile/PIS/BB-USO9ML2/Product%20-%20Datasheet/USO9ML2_USO9ML2-LS_3417ds20170824214422.pdf,//media.digikey.com/Photos/B&B%20Electronics/USO9ML2.jpg,1165-1060-ND,BB-USO9ML2,"B&B SmartWorx, Inc.",CONVERT USB TO RS232 W/DB9 MALE,134,6,"132.00000","0","1","-","Obsolete","USB to Serial","USB - B 2.0 Female","D-Sub 09 Pos (DB9) Male","RS-232","ESD Protecting, LED Indicator","-"
