Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Disconnect Type","Number of Positions","Number of Levels","Terminal - Width","Termination Style","Current - IEC","Voltage - IEC","Current - UL","Voltage - UL","Wire Gauge or Range - AWG","Wire Gauge or Range - mm²","Features","Color","Fuse Type"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3100305.pdf,//media.digikey.com/photos/Phoenix%20Photos/3100305.jpg,277-1506-ND,3100305,Phoenix Contact,CONN TERM BLK FEED THRU 14-30AWG,5608,15500,"3.17000","0","1","CLIPLINE MT","Active","Feed Through","-","2","1","4.2mm","Screw","17.5A","400V","15A","300V","14-30 AWG","0.14-1.5mm²","-","Gray","-"
https://www.americanelectrical.com/pdfs/PEKSeries/ASK2S351100.pdf,//media.digikey.com/photos/American%20Elect%20Photos/351100.jpg,288-1252-ND,351100,American Electrical Inc.,CONN TERM BLK DISCONNECT 8-26AWG,1281,0,"3.17000","0","1","ASK","Active","Disconnect","Fuse, Lever","2","1","8.0mm","Screw","-","-","6.3A","600V","8-26 AWG","0.5-10mm²","-","Beige","5mm x 20mm, 5mm x 25mm"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/3044636.pdf,//media.digikey.com/photos/Phoenix%20Photos/3044636.JPG,277-2041-ND,3044636,Phoenix Contact,CONN TERM BLK FEED THRU 12-26AWG,3996,53650,"3.24000","0","1","CLIPLINE UTTB","Active","Feed Through","-","4","2","5.2mm","Screw","24A","500V","20A","600V","12-26 AWG","0.14-4mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3001035.pdf,//media.digikey.com/Photos/Phoenix%20Photos/UK%20SERIES%202%20POS.jpg,277-3276-ND,3001035,Phoenix Contact,CONN TERM BLK FEED THRU 12-30AWG,3048,1750,"3.25000","0","1","CLIPLINE UK","Active","Feed Through","-","2","1","6.2mm","Screw","24A","800V","20A","600V","12-30 AWG","0.2-4mm²","-","Gray","-"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/3044814.pdf,//media.digikey.com/photos/Phoenix%20Photos/3044814.JPG,277-2042-ND,3044814,Phoenix Contact,CONN TERM BLK FEED THRU 10-26AWG,841,51900,"3.33000","0","1","CLIPLINE UTTB","Active","Feed Through","-","4","2","6.2mm","Screw","30A","800V","30A","600V","10-26 AWG","0.14-6mm²","-","Gray","-"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/3211797.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3211797.jpg,277-3788-ND,3211797,Phoenix Contact,CONN TERM BLK FEED THRU 10-24AWG,6240,1750,"3.44000","0","1","CLIPLINE PT","Active","Feed Through","-","4","1","6.2mm","Push In, Spring","32A","800V","30A","600V","10-24 AWG","0.2-6mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/1608570000.pdf,//media.digikey.com/Photos/Weidmuller/1608570000.JPG,281-2930-ND,1608570000,Weidmüller,CONN TERM BLK FEED THRU 12-30AWG,1954,36600,"3.75000","0","1","Z","Active","Feed Through","-","4","1","5.1mm","Push In, Spring","24A","800V","25A","600V","12-30 AWG","0.5-4mm²","-","Beige","-"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/3049013.pdf,//media.digikey.com/photos/Phoenix%20Photos/3049013.JPG,277-2058-ND,3049013,Phoenix Contact,CONN TERM BLK FEED THRU 14-26AWG,4111,0,"3.66000","0","1","CLIPLINE RT","Active","Feed Through","-","2","1","12.3mm","Bolt and Nut","24A","1000V","30A","600V","14-26 AWG","0.1-2.5mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3004524.pdf,//media.digikey.com/photos/Phoenix%20Photos/3004524.jpg,277-1502-ND,3004524,Phoenix Contact,CONN TERM BLK FEED THRU 8-26 AWG,1246,0,"3.79000","0","1","CLIPLINE UK","Active","Feed Through","-","2","1","8.2mm","Screw","41A","800V","50A","600V","8-26 AWG","0.2-10mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3210567.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3210567.jpg,277-2107-ND,3210567,Phoenix Contact,CONN TERM BLK FEED THRU 12-26AWG,312,0,"4.04000","0","1","CLIPLINE PTTB","Active","Feed Through","-","4","2","5.2mm","Push In, Spring","26A","500V","5A","600V","12-26 AWG","0.14-4mm²","-","Gray","-"
