Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Function","Type","Inductance","Tolerance","DC Resistance (DCR)","Q @ Freq","Current Rating (Amps)","Current - Saturation","Frequency - Self Resonant","Operating Temperature","Size / Dimension"
https://product.tdk.com/info/en/catalog/datasheets/wlc_tx_wt151512-22f2-id_en.pdf,//media.digikey.com/Photos/TDK%20Photos/WT151512-22F2-ID.jpg,445-174578-ND,WT151512-22F2-ID,TDK Corporation,TX 1 COIL 2 LYR 6.8UH,293,0,"7.23000","0","1","WT","Active","Transmitter","1 Coil, 2 Layer","6.8µH","±5%","170mOhm","-","-","-","-","-","0.602"" Dia x 0.087"" H (15.30mm x 2.20mm)"
https://katalog.we-online.de/pbs/datasheet/760308101219.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_760308101219.jpg,732-9675-ND,760308101219,Wurth Electronics Inc.,RX 1 COIL 1 LAYER 11.8UH 700MA,283,0,"7.43000","0","1","WE-WPCC","Active","Receiver","1 Coil, 1 Layer","11.8µH","±10%","750mOhm Max","13 @ 125kHz","700mA","1.5A","22MHz","-20°C ~ 105°C","0.59"" Dia x 0.02"" H (15.0mm x 0.6mm)"
https://product.tdk.com/info/en/catalog/datasheets/wlc_tx_wt505090-10k2-a11-g_en.pdf,//media.digikey.com/Photos/TDK%20Photos/WT505090-10K2-A11-G.jpg,445-16095-ND,WT505090-10K2-A11-G,TDK Corporation,TX 1 COIL 1 LYR 6.3UH,1143,0,"7.49000","0","1","WT","Active","Transmitter","1 Coil, 1 Layer","6.3µH","-","60mOhm","-","-","-","-","-","1.97"" Dia x 0.15"" H (50.0mm x 3.8mm)"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/WT202030-16M8-G_Spec.pdf,//media.digikey.com/photos/TDK%20Photos/MFG_WT202030-16M8-G.jpg,445-175297-ND,WT202030-16M8-G,TDK Corporation,"TX 1 COIL, 1 LYR 6.2UH",470,0,"7.54000","0","1","WT","Active","Transmitter","1 Coil, 1 Layer","6.2µH","-","190mOhm","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/WT-505060-8K2-LT.pdf,//media.digikey.com/Photos/TDK%20Photos/WT-505060-8K2-LT.JPG,445-172646-ND,WT-505060-8K2-LT,TDK Corporation,TX 1 COIL 1 LYR 4.95UH,281,0,"7.62000","0","1","WT","Active","Transmitter","1 Coil, 1 Layer","4.95µH","-","30mOhm","97 @ 100kHz","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/WR424245-13K2-G_Spec.pdf,//media.digikey.com/photos/TDK%20Photos/MFG_WR424245-13K2-G.jpg,445-175291-ND,WR424245-13K2-G,TDK Corporation,"RX 1 COIL, 1 LYR 11.9UH",237,0,"7.73000","0","1","WR","Active","Receiver","1 Coil, 1 Layer","11.9µH","-","220mOhm","-","-","-","-","-","1.65"" L x 1.65"" W x 0.04"" H (42.0mm x 42.0mm x 0.9mm)"
https://katalog.we-online.de/pbs/datasheet/760308101220.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/760308101220.JPG,732-9676-ND,760308101220,Wurth Electronics Inc.,RX 1 COIL 1 LAYER 12.6UH 1.1A,311,0,"7.98000","0","1","WE-WPCC","Active","Receiver","1 Coil, 1 Layer","12.6µH","±10%","340mOhm Max","20 @ 125kHz","1.1A","2.5A","19MHz","-20°C ~ 105°C","0.67"" Dia x 0.03"" H (17.0mm x 0.8mm)"
https://katalog.we-online.de/pbs/datasheet/760308101208A.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_760308101208A.jpg,732-10331-ND,760308101208A,Wurth Electronics Inc.,RX 1 COIL 1 LAYER 18UH 700MA,653,0,"8.04000","0","1","WE-WPCC","Active","Receiver","1 Coil, 1 Layer","18µH","±10%","650mOhm Max","18 @ 125kHz","700mA","2A","24MHz","-20°C ~ 105°C","0.406"" Dia x 0.066"" H (10.30mm x 1.68mm)"
https://katalog.we-online.de/pbs/datasheet/760308101216.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_760308101216.jpg,732-9673-ND,760308101216,Wurth Electronics Inc.,RX 1 COIL 1 LAYER 7.2UH 500MA,739,0,"8.25000","0","1","WE-WPCC","Active","Receiver","1 Coil, 1 Layer","7.2µH","±10%","440mOhm Max","10 @ 125kHz","500mA","1A","32MHz","-20°C ~ 105°C","0.24"" Dia x 0.08"" H (6.0mm x 2.0mm)"
https://katalog.we-online.de/pbs/datasheet/760308101217.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/760308101217.JPG,732-9674-ND,760308101217,Wurth Electronics Inc.,RX 1 COIL 1 LAYER 24.2UH 400MA,309,0,"8.25000","0","1","WE-WPCC","Active","Receiver","1 Coil, 1 Layer","24.2µH","±10%","1.4Ohm Max","13 @ 125kHz","400mA","1A","14.5MHz","-20°C ~ 105°C","0.41"" Dia x 0.07"" H (10.3mm x 1.9mm)"
