Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Material - Core","Inductance","Tolerance","Current Rating (Amps)","Current - Saturation","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Ratings","Operating Temperature","Inductance Frequency - Test","Features","Mounting Type","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)"
https://katalog.we-online.de/pbs/datasheet/744043100.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/WE-TPC-4828.jpg,732-1103-6-ND,744043100,Wurth Electronics Inc.,FIXED IND 10UH 1.19A 110 MOHM,4821,0,"Digi-Reel","0","1","Digi-Reel®","WE-TPC","Active","Wirewound","Ferrite","10µH","±30%","1.19A","1A","Shielded","110mOhm Max","-","40MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","1919 (4848 Metric)","-","0.189"" L x 0.189"" W (4.80mm x 4.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744025002.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-TPC%202828%20Series.jpg,732-2613-2-ND,744025002,Wurth Electronics Inc.,FIXED IND 2.2UH 1.8A 66 MOHM SMD,10450,0,"0.83000","0","550","Tape & Reel (TR)","WE-TPC","Active","Wirewound","Ferrite","2.2µH","±20%","1.8A","2.4A","Shielded","66mOhm Max","-","130MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744025002.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-TPC%202828%20Series.jpg,732-2613-1-ND,744025002,Wurth Electronics Inc.,FIXED IND 2.2UH 1.8A 66 MOHM SMD,11258,0,"1.54000","0","1","Cut Tape (CT)","WE-TPC","Active","Wirewound","Ferrite","2.2µH","±20%","1.8A","2.4A","Shielded","66mOhm Max","-","130MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744025002.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-TPC%202828%20Series.jpg,732-2613-6-ND,744025002,Wurth Electronics Inc.,FIXED IND 2.2UH 1.8A 66 MOHM SMD,11258,0,"Digi-Reel","0","1","Digi-Reel®","WE-TPC","Active","Wirewound","Ferrite","2.2µH","±20%","1.8A","2.4A","Shielded","66mOhm Max","-","130MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744025003.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-TPC%202828%20Series.jpg,732-2614-2-ND,744025003,Wurth Electronics Inc.,FIXED IND 3.3UH 1.5A 101 MOHM,6050,0,"0.83000","0","550","Tape & Reel (TR)","WE-TPC","Active","Wirewound","Ferrite","3.3µH","±20%","1.5A","1.8A","Shielded","101mOhm Max","-","100MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744025003.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-TPC%202828%20Series.jpg,732-2614-1-ND,744025003,Wurth Electronics Inc.,FIXED IND 3.3UH 1.5A 101 MOHM,6648,0,"1.54000","0","1","Cut Tape (CT)","WE-TPC","Active","Wirewound","Ferrite","3.3µH","±20%","1.5A","1.8A","Shielded","101mOhm Max","-","100MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744025003.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-TPC%202828%20Series.jpg,732-2614-6-ND,744025003,Wurth Electronics Inc.,FIXED IND 3.3UH 1.5A 101 MOHM,6648,0,"Digi-Reel","0","1","Digi-Reel®","WE-TPC","Active","Wirewound","Ferrite","3.3µH","±20%","1.5A","1.8A","Shielded","101mOhm Max","-","100MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744025100.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-TPC%202828%20Series.jpg,732-2617-2-ND,744025100,Wurth Electronics Inc.,FIXED IND 10UH 1A 190 MOHM SMD,4950,0,"0.83000","0","550","Tape & Reel (TR)","WE-TPC","Active","Wirewound","Ferrite","10µH","±20%","1A","1.1A","Shielded","190mOhm Max","-","41MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744025100.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-TPC%202828%20Series.jpg,732-2617-1-ND,744025100,Wurth Electronics Inc.,FIXED IND 10UH 1A 190 MOHM SMD,5765,0,"1.54000","0","1","Cut Tape (CT)","WE-TPC","Active","Wirewound","Ferrite","10µH","±20%","1A","1.1A","Shielded","190mOhm Max","-","41MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744025100.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-TPC%202828%20Series.jpg,732-2617-6-ND,744025100,Wurth Electronics Inc.,FIXED IND 10UH 1A 190 MOHM SMD,5765,0,"Digi-Reel","0","1","Digi-Reel®","WE-TPC","Active","Wirewound","Ferrite","10µH","±20%","1A","1.1A","Shielded","190mOhm Max","-","41MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.118"" (3.00mm)"
