Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Fuse Type","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Response Time","Applications","Features","Class","Approvals","Operating Temperature","Breaking Capacity @ Rated Voltage","Mounting Type","Package / Case","Size / Dimension"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-a/Bus_Ele_DS_2031_GMF_GRF_HLR.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/BK%5EGMF-2-8%5E10.JPG,283-4991-ND,BK/GMF-10,Eaton - Electronics Division,FUSE CARTRIDGE 10A 300VAC,1000,0,"13.52000","0","1","Bulk","GMF","Active","Cartridge","10A","300V","-","Slow Blow","Electrical, Industrial","-","-","CE, CSA, UL","-","10kA","Holder","Cartridge, Non-Standard","-"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-a/Bus_Ele_DS_2031_GMF_GRF_HLR.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/BK%5EGMF-1-14.jpg,283-4992-ND,BK/GMF-1-1/4,Eaton - Electronics Division,FUSE CARTRIDGE 1.25A 300VAC,1000,0,"13.52000","0","1","Bulk","GMF","Active","Cartridge","1.25A","300V","-","Slow Blow","Electrical, Industrial","-","-","CE, CSA, UL","-","10kA","Holder","Cartridge, Non-Standard","-"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-a/Bus_Ele_DS_2031_GMF_GRF_HLR.pdf,//media.digikey.com/Photos/Eaton-Electronics/BK%5EGMF-2-1%5E2.JPG,283-4995-ND,BK/GMF-2-1/2,Eaton - Electronics Division,FUSE CARTRIDGE 2.5A 300VAC,1000,0,"13.52000","0","1","Bulk","GMF","Active","Cartridge","2.5A","300V","-","Slow Blow","Electrical, Industrial","-","-","CE, CSA, UL","-","10kA","Holder","Cartridge, Non-Standard","-"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-a/Bus_Ele_DS_2031_GMF_GRF_HLR.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/BK%5EGMF-2-8%5E10.JPG,283-4996-ND,BK/GMF-2-8/10,Eaton - Electronics Division,FUSE CARTRIDGE 2.8A 300VAC,1000,0,"13.52000","0","1","Bulk","GMF","Active","Cartridge","2.8A","300V","-","Slow Blow","Electrical, Industrial","-","-","CE, CSA, UL","-","10kA","Holder","Cartridge, Non-Standard","-"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-a/Bus_Ele_DS_2031_GMF_GRF_HLR.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/BK%5EGMF-1-14.jpg,283-5003-ND,BK/GMF-8/10,Eaton - Electronics Division,FUSE CARTRIDGE 800MA 300VAC,1000,0,"13.52000","0","1","Bulk","GMF","Active","Cartridge","800mA","300V","-","Slow Blow","Electrical, Industrial","-","-","CE, CSA, UL","-","10kA","Holder","Cartridge, Non-Standard","-"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-a/Bus_Ele_DS_2030_GMQ_HLQ.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/BK%5EGMQ-3-2%5E10.JPG,283-5004-ND,BK/GMQ-1-6/10,Eaton - Electronics Division,FUSE CARTRIDGE 1.6A 300VAC,1000,0,"13.52000","0","1","Bulk","GMQ","Active","Cartridge","1.6A","300V","-","Slow Blow","Electrical, Industrial","-","-","CE, CSA, UL","-","10kA","Holder","Cartridge, Non-Standard","-"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-a/Bus_Ele_DS_2030_GMQ_HLQ.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/BK%5EGMF-1-14.jpg,283-5005-ND,BK/GMQ-1,Eaton - Electronics Division,FUSE CARTRIDGE 1A 300VAC,1000,0,"13.52000","0","1","Bulk","GMQ","Active","Cartridge","1A","300V","-","Slow Blow","Electrical, Industrial","-","-","CE, CSA, UL","-","10kA","Holder","Cartridge, Non-Standard","-"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-a/Bus_Ele_DS_2030_GMQ_HLQ.pdf,-,283-5006-ND,BK/GMQ-2-1/2,Eaton - Electronics Division,FUSE CARTRIDGE 2.5A 300VAC,1000,0,"13.52000","0","1","Bulk","GMQ","Active","Cartridge","2.5A","300V","-","Slow Blow","Electrical, Industrial","-","-","CE, CSA, UL","-","10kA","Holder","Cartridge, Non-Standard","-"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-a/Bus_Ele_DS_2030_GMQ_HLQ.pdf,-,283-5009-ND,BK/GMQ-4,Eaton - Electronics Division,FUSE CARTRIDGE 4A 300VAC,1000,0,"13.52000","0","1","Bulk","GMQ","Active","Cartridge","4A","300V","-","Slow Blow","Electrical, Industrial","-","-","CE, CSA, UL","-","10kA","Holder","Cartridge, Non-Standard","-"
https://www.littelfuse.com/~/media/automotive/datasheets/fuses/passenger-car-and-commercial-vehicle/advanced-power-system-fuses/littelfuse_lowcurrenthevfuse_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_HEVxxx.ZXC.jpg,F12028-ND,0HEV015.ZXC,Littelfuse Inc.,FUSE HEV LC 450VDC 15A CARTRIDGE,240,0,"14.04000","0","1","Bulk","LC HEV","Active","Cartridge","15A","-","450V","-","Lift Trucks","-","-","-","-40°C ~ 125°C","10kA","Holder","Cartridge, Non-Standard","0.406"" Dia x 1.532"" L (10.30mm x 38.90mm)"
