Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Breaker Type","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Number of Poles","Actuator Type","Illumination","Illumination Voltage (Nominal)","Mounting Type","Approvals"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB1026-ND,W28-XT1A-15,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 15A 250VAC 32VDC,10364,0,"3.57000","0","1","W28","Active","Thermal","15A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB191-ND,W28-XQ1A-12,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 12A 250VAC 32VDC,4975,0,"3.57000","0","1","W28","Active","Thermal","12A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB187-ND,W28-XQ1A-6,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 6A 250VAC 32VDC,3106,0,"3.57000","0","1","W28","Active","Thermal","6A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB1030-ND,W28-XT1A-8,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 8A 250VAC 32VDC,2086,0,"3.57000","0","1","W28","Active","Thermal","8A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB239-ND,W28-XT1A-10,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 10A 250VAC 32VDC,1156,0,"3.57000","0","1","W28","Active","Thermal","10A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB1028-ND,W28-XT1A-3,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 3A 250VAC 32VDC,1007,0,"3.57000","0","1","W28","Active","Thermal","3A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB1029-ND,W28-XT1A-5,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 5A 250VAC 32VDC,534,0,"3.57000","0","1","W28","Active","Thermal","5A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB1023-ND,W28-XQ1A-16,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 16A 250VAC 32VDC,447,0,"3.57000","0","1","W28","Active","Thermal","16A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W54&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/W54-Series.jpg,PB1048-ND,W54-XB1A4A10-30,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 30A 250VAC,1251,0,"3.64000","0","1","W54","Active","Thermal","30A","250V","-","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W54&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/W54-XB1A4A10-25.jpg,PB1047-ND,W54-XB1A4A10-25,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 25A 250VAC,270,0,"3.64000","0","1","W54","Active","Thermal","25A","250V","-","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W51&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2-1423673-3.JPG,PB1366-ND,W51-A161A1-15,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 15A 125VAC 50VDC,372,0,"3.78000","0","1","W51","Active","Thermal","15A","125V","50V","1","Rocker","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W51&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W51-A152A1%20SERIES.jpg,PB1036-ND,W51-A152A1-5,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 5A 250VAC 50VDC,265,0,"3.78000","0","1","W51","Active","Thermal","5A","250V","50V","1","Rocker","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB188-ND,W28-XQ1A-7,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 7A 250VAC 32VDC,3373,0,"3.92000","0","1","W28","Active","Thermal","7A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W51&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W51-ILLUM%20SERIES.jpg,PB531-ND,W51-A121B1-20,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 20A 125VAC 50VDC,2100,0,"3.97000","0","1","W51","Active","Thermal","20A","125V","50V","1","Rocker","Red","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W51&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/W51-A122B1-15.JPG,PB678-ND,W51-A122B1-15,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 15A 250VAC 50VDC,1947,0,"3.97000","0","1","W51","Active","Thermal","15A","250V","50V","1","Rocker","Red","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W51&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W51-ILLUM%20SERIES.jpg,PB528-ND,W51-A121B1-5,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 5A 125VAC 50VDC,1255,0,"3.97000","0","1","W51","Active","Thermal","5A","125V","50V","1","Rocker","Red","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W51&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W51-ILLUM%20SERIES.jpg,PB529-ND,W51-A121B1-10,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 10A 125VAC 50VDC,1161,0,"3.97000","0","1","W51","Active","Thermal","10A","125V","50V","1","Rocker","Red","-","Panel Mount","-"
