Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Voltage - Clamping","Technology","Number of Circuits","Applications","Mounting Type","Package / Case","Supplier Device Package"
http://www.linear.com/docs/41815,//media.digikey.com/Renders/Linear%20Tech%20Renders/16-MSOP%2005-08-1669.jpg,LTC4364HMS-1#TRPBFCT-ND,LTC4364HMS-1#TRPBF,Linear Technology/Analog Devices,SURGE STOPPER W/DIODE 16MSOP,1280,0,"11.56000","0","1","Cut Tape (CT)","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","16-TFSOP (0.118"", 3.00mm Width)","16-MSOP"
http://www.linear.com/docs/41815,//media.digikey.com/Renders/Linear%20Tech%20Renders/16-MSOP%2005-08-1669.jpg,LTC4364HMS-1#TRPBFDKR-ND,LTC4364HMS-1#TRPBF,Linear Technology/Analog Devices,SURGE STOPPER W/DIODE 16MSOP,1280,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","16-TFSOP (0.118"", 3.00mm Width)","16-MSOP"
http://www.linear.com/docs/40796,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1702;DDB;8.jpg,LTC4366MPDDB-2#TRMPBFTR-ND,LTC4366MPDDB-2#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV 8-DFN,0,0,"9.88000","0","500","Tape & Reel (TR)","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","8-WFDFN Exposed Pad","8-DFN (3x2)"
http://www.linear.com/docs/40796,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1702;DDB;8.jpg,LTC4366MPDDB-2#TRMPBFCT-ND,LTC4366MPDDB-2#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV 8-DFN,479,0,"19.96000","0","1","Cut Tape (CT)","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","8-WFDFN Exposed Pad","8-DFN (3x2)"
http://www.linear.com/docs/40796,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1702;DDB;8.jpg,LTC4366MPDDB-2#TRMPBFDKR-ND,LTC4366MPDDB-2#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV 8-DFN,479,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","8-WFDFN Exposed Pad","8-DFN (3x2)"
http://www.linear.com/docs/40796,//media.digikey.com/renders/Linear%20Tech%20Renders/TSOT-23-8_05-08-1637.jpg,LTC4366MPTS8-1#TRMPBFTR-ND,LTC4366MPTS8-1#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV TSOT-23-8,0,0,"9.88000","0","500","Tape & Reel (TR)","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","SOT-23-8 Thin, TSOT-23-8","TSOT-23-8"
http://www.linear.com/docs/40796,//media.digikey.com/renders/Linear%20Tech%20Renders/TSOT-23-8_05-08-1637.jpg,LTC4366MPTS8-1#TRMPBFCT-ND,LTC4366MPTS8-1#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV TSOT-23-8,463,0,"19.96000","0","1","Cut Tape (CT)","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","SOT-23-8 Thin, TSOT-23-8","TSOT-23-8"
http://www.linear.com/docs/40796,//media.digikey.com/renders/Linear%20Tech%20Renders/TSOT-23-8_05-08-1637.jpg,LTC4366MPTS8-1#TRMPBFDKR-ND,LTC4366MPTS8-1#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV TSOT-23-8,463,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","SOT-23-8 Thin, TSOT-23-8","TSOT-23-8"
http://www.linear.com/docs/40796,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1702;DDB;8.jpg,LTC4366MPDDB-1#TRMPBFTR-ND,LTC4366MPDDB-1#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV 8-DFN,0,0,"9.88000","0","500","Tape & Reel (TR)","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","8-WFDFN Exposed Pad","8-DFN (3x2)"
http://www.linear.com/docs/40796,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1702;DDB;8.jpg,LTC4366MPDDB-1#TRMPBFCT-ND,LTC4366MPDDB-1#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV 8-DFN,420,0,"19.96000","0","1","Cut Tape (CT)","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","8-WFDFN Exposed Pad","8-DFN (3x2)"
