Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","R @ 25°C","Tolerance","Current - Steady State Max","R @ Current","Diameter","Lead Spacing","Approvals"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S235.pdf,//media.digikey.com/photos/Epcos%20Photos/B5723xS%20Series.jpg,495-75204-2-ND,B57235S0100M051,EPCOS (TDK),ICL 10 OHM 20% 3A 9.5MM,16500,0,"0.38675","0","1500","Tape & Reel (TR)","-","Active","10 Ohms","±20%","3A","-","0.374"" (9.50mm)","0.197"" (5.00mm)","CQC, UL, VDE"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S235.pdf,//media.digikey.com/photos/Epcos%20Photos/B5723xS%20Series.jpg,495-75204-1-ND,B57235S0100M051,EPCOS (TDK),ICL 10 OHM 20% 3A 9.5MM,17171,0,"1.09000","0","1","Cut Tape (CT)","-","Active","10 Ohms","±20%","3A","-","0.374"" (9.50mm)","0.197"" (5.00mm)","CQC, UL, VDE"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-200D9.JPG,317-1172-ND,MF72-200D9,Cantherm,ICL 200 OHM 20% 500MA 11MM,4184,0,"0.40000","0","1","Bulk","MF72","Active","200 Ohms","±20%","500mA","5.007 Ohms","0.433"" (11.00mm)","0.295"" (7.50mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-020D9.JPG,317-1164-ND,MF72-020D9,Cantherm,ICL 20 OHM 20% 1A 11MM,1215,0,"0.40000","0","1","Bulk","MF72","Active","20 Ohms","±20%","1A","864 mOhms","0.433"" (11.00mm)","0.295"" (7.50mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-060D9.JPG,317-1169-ND,MF72-060D9,Cantherm,ICL 60 OHM 20% 800MA 11MM,11747,0,"0.42000","0","1","Bulk","MF72","Active","60 Ohms","±20%","800mA","1.502 Ohms","0.433"" (11.00mm)","0.295"" (7.50mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-050D9.JPG,317-1168-ND,MF72-050D9,Cantherm,ICL 50 OHM 20% 1A 11MM,8248,0,"0.42000","0","1","Bulk","MF72","Active","50 Ohms","±20%","1A","1.252 Ohms","0.433"" (11.00mm)","0.295"" (7.50mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-400D9.JPG,317-1173-ND,MF72-400D9,Cantherm,ICL 400 OHM 20% 200MA 11MM,6305,0,"0.42000","0","1","Bulk","MF72","Active","400 Ohms","±20%","200mA","30.3 Ohms","0.433"" (11.00mm)","0.295"" (7.50mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-022D9.JPG,317-1165-ND,MF72-022D9,Cantherm,ICL 22 OHM 20% 1A 11MM,3005,0,"0.42000","0","1","Bulk","MF72","Active","22 Ohms","±20%","1A","950 mOhms","0.433"" (11.00mm)","0.295"" (7.50mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-008D9.JPG,317-1160-ND,MF72-008D9,Cantherm,ICL 8 OHM 20% 2A 11MM,1817,0,"0.42000","0","1","Bulk","MF72","Active","8 Ohms","±20%","2A","400 mOhms","0.433"" (11.00mm)","0.295"" (7.50mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-003D9.JPG,317-1156-ND,MF72-003D9,Cantherm,ICL 3 OHM 20% 4A 11MM,1472,0,"0.42000","0","1","Bulk","MF72","Active","3 Ohms","±20%","4A","120 mOhms","0.433"" (11.00mm)","0.295"" (7.50mm)","-"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S236.pdf,//media.digikey.com/photos/Epcos%20Photos/B57236S0100M000.JPG,495-76277-2-ND,B57236S0250M051,EPCOS (TDK),ICL 25 OHM 20% 2.5A 11.5MM,5000,0,"0.44929","0","1000","Tape & Reel (TR)","S236","Active","25 Ohms","±20%","2.5A","-","0.453"" (11.50mm)","0.197"" (5.00mm)","UL"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S236.pdf,//media.digikey.com/photos/Epcos%20Photos/B57236S0100M000.JPG,495-76277-1-ND,B57236S0250M051,EPCOS (TDK),ICL 25 OHM 20% 2.5A 11.5MM,5998,0,"1.09000","0","1","Cut Tape (CT)","-","Active","25 Ohms","±20%","2.5A","-","0.453"" (11.50mm)","0.197"" (5.00mm)","UL"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-005D11.JPG,317-1177-ND,MF72-005D11,Cantherm,ICL 5 OHM 20% 4A 13MM,6995,0,"0.49000","0","1","Bulk","MF72","Active","5 Ohms","±20%","4A","156 mOhms","0.512"" (13.00mm)","0.295"" (7.50mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-003D11.JPG,317-1175-ND,MF72-003D11,Cantherm,ICL 3 OHM 20% 5A 13MM,4298,0,"0.49000","0","1","Bulk","MF72","Active","3 Ohms","±20%","5A","100 mOhms","0.512"" (13.00mm)","0.295"" (7.50mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/CANTHERM-MF72-010D11.jpg,317-1180-ND,MF72-010D11,Cantherm,ICL 10 OHM 20% 3A 13MM,1521,0,"0.49000","0","1","Bulk","MF72","Active","10 Ohms","±20%","3A","275 mOhms","0.512"" (13.00mm)","0.295"" (7.50mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-022D11.JPG,317-1184-ND,MF72-022D11,Cantherm,ICL 22 OHM 20% 2A 13MM,3139,0,"0.49000","0","1","Bulk","MF72","Active","22 Ohms","±20%","2A","563 mOhms","0.512"" (13.00mm)","0.295"" (7.50mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-004D11.JPG,317-1176-ND,MF72-004D11,Cantherm,ICL 4 OHM 20% 4A 13MM,1024,0,"0.49000","0","1","Bulk","MF72","Active","4 Ohms","±20%","4A","150 mOhms","0.512"" (13.00mm)","0.295"" (7.50mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-002.5D11.JPG,317-1174-ND,MF72-002.5D11,Cantherm,ICL 2.5 OHM 20% 5A 13MM,883,0,"0.49000","0","1","Bulk","MF72","Active","2.5 Ohms","±20%","5A","95 mOhms","0.512"" (13.00mm)","0.295"" (7.50mm)","-"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S236.pdf,//media.digikey.com/photos/Epcos%20Photos/B57236S0100M000.JPG,495-76278-2-ND,B57236S0500M051,EPCOS (TDK),ICL 50 OHM 20% 1.9A 11.5MM,5000,0,"0.51126","0","1000","Tape & Reel (TR)","S236","Active","50 Ohms","±20%","1.9A","594 mOhms","0.453"" (11.50mm)","-","CQC, UL, VDE"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S236.pdf,//media.digikey.com/photos/Epcos%20Photos/B57236S0100M000.JPG,495-76278-1-ND,B57236S0500M051,EPCOS (TDK),ICL 50 OHM 20% 1.9A 11.5MM,5465,0,"1.41000","0","1","Cut Tape (CT)","-","Active","50 Ohms","±20%","1.9A","594 mOhms","0.453"" (11.50mm)","-","CQC, UL, VDE"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S237.pdf,//media.digikey.com/photos/Epcos%20Photos/B57237%20Series.jpg,495-75205-2-ND,B57237S0330M051,EPCOS (TDK),ICL 33 OHM 20% 2.5A 15MM,2000,0,"0.54429","0","1000","Tape & Reel (TR)","S237","Active","33 Ohms","±20%","2.5A","-","0.591"" (15.00mm)","0.295"" (7.50mm)","UL"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S237.pdf,//media.digikey.com/photos/Epcos%20Photos/B57237%20Series.jpg,495-75205-1-ND,B57237S0330M051,EPCOS (TDK),ICL 33 OHM 20% 2.5A 15MM,2410,0,"1.32000","0","1","Cut Tape (CT)","-","Active","33 Ohms","±20%","2.5A","-","0.591"" (15.00mm)","0.295"" (7.50mm)","UL"
https://www.ametherm.com/datasheetspdf/SL0850001.pdf,//media.digikey.com/Photos/Ametherm%20Photos/MFG_SL08_12101.jpg,570-1096-ND,SL08 50001,Ametherm,ICL 50 OHM 15% 1.1A 8MM,10014,0,"0.57000","0","1","Bulk","miniAMP","Active","50 Ohms","±15%","1.1A","950 mOhms","0.315"" (8.00mm)","0.201"" (5.10mm)","UL"
https://www.ametherm.com/datasheetspdf/SL0810002.pdf,//media.digikey.com/Photos/Ametherm%20Photos/MFG_SL08_12101.jpg,570-1094-ND,SL08 10002,Ametherm,ICL 10 OHM 20% 2.5A 8MM,9437,0,"0.57000","0","1","Bulk","miniAMP","Active","10 Ohms","±20%","2.5A","320 mOhms","0.315"" (8.00mm)","0.197"" (5.00mm)","CSA, UL"
https://www.ametherm.com/datasheetspdf/SL0310001.pdf,//media.digikey.com/Photos/Ametherm%20Photos/MFG_SL03%20Series.jpg,570-1088-ND,SL03 10001,Ametherm,ICL 10 OHM 20% 1A 3MM,8096,0,"0.57000","0","1","Bulk","miniAMP","Active","10 Ohms","±20%","1A","800 mOhms","0.118"" (3.00mm)","0.098"" (2.50mm)","-"
