Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Fuseholder Type","Fuse Type","For Use With/Related Products","Fuse Size","Number of Circuits","Voltage","Current Rating (Amps)","Mounting Type","Orientation","Termination Style","Contact Material","Contact Finish"
https://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/560_lf_051215.pdf,//media.digikey.com/photos/Wickmann%20Photos/56000001319.jpg,WK0001-ND,56000001319,Littelfuse Inc.,FUSE HOLDER RADIAL 250V 6.3A PCB,31967,0,"0.85000","0","1","560","Active","Holder","Radial","TE5, TR5","Radial 0.2"" (5.08mm) pitch","1","250V","6.3A","PCB","Vertical","PC Pin","Copper Alloy","Tin"
http://www.keyelco.com/product-pdf.cfm?p=1373,//media.digikey.com/photos/Keystone%20Elect%20Photos/3522-2.jpg,36-3522-2-ND,3522-2,Keystone Electronics,FUSE CLIP BLADE 500V 20A PCB,91867,63600,"0.89000","0","1","-","Active","Clip","Blade","ATC, ATO 257","1.15"" L x 0.35"" W x 1.35"" H (29.21mm x 8.85mm x 34.29mm)","2","500V","20A","PCB","Vertical","PC Pin","Brass","Tin Nickel"
http://www.keyelco.com/product-pdf.cfm?p=1376,//media.digikey.com/Photos/Keystone%20Elect%20Photos/3544-2.JPG,36-3544-2-ND,3544-2,Keystone Electronics,FUSE BLOCK BLADE 500V 20A PCB,55774,294500,"0.94000","0","1","-","Active","Block","Blade","MINI ATC, MINI ATO","0.43"" L x 0.15"" W x 0.64"" H (10.92mm x 3.81mm x 16.25mm)","1","500V","20A","PCB","Vertical","PC Pin","Brass","Tin"
http://www.keyelco.com/product-pdf.cfm?p=311,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_3588TR.jpg,36-3588TR-ND,3588TR,Keystone Electronics,FUSE HOLDER BLADE 500V 20A PCB,20000,57000,"0.94610","0","500","-","Active","Holder","Blade","MINI ATC, MINI ATO","0.43"" L x 0.15"" W x 0.64"" H (10.92mm x 3.81mm x 16.25mm)","1","500V","20A","PCB","Vertical","PC Pin","Brass","Tin"
http://www.keyelco.com/product-pdf.cfm?p=311,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_3588TR.jpg,36-3588CT-ND,3588TR,Keystone Electronics,FUSE HOLDER BLADE 500V 20A PCB,20362,57475,"1.42000","0","1","-","Active","Holder","Blade","MINI ATC, MINI ATO","0.43"" L x 0.15"" W x 0.64"" H (10.92mm x 3.81mm x 16.25mm)","1","500V","20A","PCB","Vertical","PC Pin","Brass","Tin"
http://www.keyelco.com/product-pdf.cfm?p=311,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_3588TR.jpg,36-3588DKR-ND,3588TR,Keystone Electronics,FUSE HOLDER BLADE 500V 20A PCB,20362,57475,"Digi-Reel","0","1","-","Active","Holder","Blade","MINI ATC, MINI ATO","0.43"" L x 0.15"" W x 0.64"" H (10.92mm x 3.81mm x 16.25mm)","1","500V","20A","PCB","Vertical","PC Pin","Brass","Tin"
http://www.keyelco.com/product-pdf.cfm?p=1381,//media.digikey.com/Photos/Keystone%20Elect%20Photos/3587TR.jpg,36-3587TR-ND,3587TR,Keystone Electronics,FUSE HOLDER BLADE 20A PCB,5000,0,"0.94610","0","500","-","Active","Holder","Blade","ATC, ATO","0.75"" L x 0.2"" W x 0.48"" H (19.1mm x 5.1mm x 12.2mm)","1","-","20A","Surface Mount","Vertical","Surface Mount","Brass","Tin"
http://www.keyelco.com/product-pdf.cfm?p=1381,//media.digikey.com/Photos/Keystone%20Elect%20Photos/3587TR.jpg,36-3587CT-ND,3587TR,Keystone Electronics,FUSE HOLDER BLADE 20A PCB,5418,473,"1.42000","0","1","-","Active","Holder","Blade","ATC, ATO","0.75"" L x 0.2"" W x 0.48"" H (19.1mm x 5.1mm x 12.2mm)","1","-","20A","Surface Mount","Vertical","Surface Mount","Brass","Tin"
http://www.keyelco.com/product-pdf.cfm?p=1381,//media.digikey.com/Photos/Keystone%20Elect%20Photos/3587TR.jpg,36-3587DKR-ND,3587TR,Keystone Electronics,FUSE HOLDER BLADE 20A PCB,5418,473,"Digi-Reel","0","1","-","Active","Holder","Blade","ATC, ATO","0.75"" L x 0.2"" W x 0.48"" H (19.1mm x 5.1mm x 12.2mm)","1","-","20A","Surface Mount","Vertical","Surface Mount","Brass","Tin"
http://www.keyelco.com/product-pdf.cfm?p=296,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_35x7.jpg,36-3557-2-ND,3557-2,Keystone Electronics,FUSE BLOCK BLADE 500V 30A PCB,292487,77300,"1.03000","0","1","-","Active","Block","Blade","297, 891, 897, 997, APM, APR, APS, ATC, ATM, ATM-LP, ATO 257","0.43"" L x 0.15"" W x 0.64"" H (10.92mm x 3.81mm x 16.25mm)","1","500V","30A","PCB","Vertical","PC Pin","Brass","Tin Nickel"
