Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Voltage - DC Spark Over (Nom)","Impulse Discharge Current (8/20µs)","Tolerance","Number of Poles","Fail Short","Mounting Type","Package / Case"
https://www.bourns.com/docs/Product-Datasheets/2036-xx-SM.pdf,//media.digikey.com/photos/Bourns%20Photos/2036-35-SM-RPLF.JPG,2036-07-SM-RPLFCT-ND,2036-07-SM-RPLF,Bourns Inc.,GDT 75V 20% 10KA SURFACE MOUNT,25127,0,"2.25000","0","1","Cut Tape (CT)","Mini-TRIGARD™ 2036-SM","Active","75V","10000A (10kA)","±20%","3","No","Surface Mount","3-SMD Cylinder Square End"
https://www.bourns.com/docs/Product-Datasheets/2036-xx-SM.pdf,//media.digikey.com/photos/Bourns%20Photos/2036-35-SM-RPLF.JPG,2036-07-SM-RPLFDKR-ND,2036-07-SM-RPLF,Bourns Inc.,GDT 75V 20% 10KA SURFACE MOUNT,25127,0,"Digi-Reel","0","1","Digi-Reel®","Mini-TRIGARD™ 2036-SM","Active","75V","10000A (10kA)","±20%","3","No","Surface Mount","3-SMD Cylinder Square End"
https://www.bourns.com/docs/Product-Datasheets/2036-xx-SM.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_2036-xx-SM-H-Series.jpg,2036-23-SM-RPLFTR-ND,2036-23-SM-RPLF,Bourns Inc.,GDT 230V 20% 10KA SURFACE MOUNT,6000,0,"0.92625","0","1000","Tape & Reel (TR)","Mini-TRIGARD™ 2036-SM","Active","230V","10000A (10kA)","±20%","3","No","Surface Mount","3-SMD Cylinder Square End"
https://www.bourns.com/docs/Product-Datasheets/2036-xx-SM.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_2036-xx-SM-H-Series.jpg,2036-23-SM-RPLFCT-ND,2036-23-SM-RPLF,Bourns Inc.,GDT 230V 20% 10KA SURFACE MOUNT,6353,0,"2.25000","0","1","Cut Tape (CT)","Mini-TRIGARD™ 2036-SM","Active","230V","10000A (10kA)","±20%","3","No","Surface Mount","3-SMD Cylinder Square End"
https://www.bourns.com/docs/Product-Datasheets/2036-xx-SM.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_2036-xx-SM-H-Series.jpg,2036-23-SM-RPLFDKR-ND,2036-23-SM-RPLF,Bourns Inc.,GDT 230V 20% 10KA SURFACE MOUNT,6353,0,"Digi-Reel","0","1","Digi-Reel®","Mini-TRIGARD™ 2036-SM","Active","230V","10000A (10kA)","±20%","3","No","Surface Mount","3-SMD Cylinder Square End"
https://www.littelfuse.com/~/media/electronics/datasheets/gas_discharge_tubes/littelfuse_gdt_se_datasheet.pdf.pdf,//media.digikey.com/Renders/Littelfuse%20Renders/1206%20(3216%20Metric).jpg,F6289TR-ND,SE200,Littelfuse Inc.,GDT 200V 500A SURFACE MOUNT,15000,0,"0.97500","0","3000","Tape & Reel (TR)","SE","Active","200V","500A","-","2","No","Surface Mount","1206 (3216 Metric)"
https://www.littelfuse.com/~/media/electronics/datasheets/gas_discharge_tubes/littelfuse_gdt_se_datasheet.pdf.pdf,//media.digikey.com/Renders/Littelfuse%20Renders/1206%20(3216%20Metric).jpg,F6289CT-ND,SE200,Littelfuse Inc.,GDT 200V 500A SURFACE MOUNT,16408,0,"2.60000","0","1","Cut Tape (CT)","SE","Active","200V","500A","-","2","No","Surface Mount","1206 (3216 Metric)"
https://www.littelfuse.com/~/media/electronics/datasheets/gas_discharge_tubes/littelfuse_gdt_se_datasheet.pdf.pdf,//media.digikey.com/Renders/Littelfuse%20Renders/1206%20(3216%20Metric).jpg,F6289DKR-ND,SE200,Littelfuse Inc.,GDT 200V 500A SURFACE MOUNT,16408,0,"Digi-Reel","0","1","Digi-Reel®","SE","Active","200V","500A","-","2","No","Surface Mount","1206 (3216 Metric)"
https://www.littelfuse.com/~/media/electronics/datasheets/gas_discharge_tubes/littelfuse_gdt_se_datasheet.pdf.pdf,//media.digikey.com/Renders/Littelfuse%20Renders/1206%20(3216%20Metric).jpg,F6288TR-ND,SE140,Littelfuse Inc.,GDT 140V 500A SURFACE MOUNT,3000,0,"0.97500","0","3000","Tape & Reel (TR)","SE","Active","140V","500A","-","2","No","Surface Mount","1206 (3216 Metric)"
https://www.littelfuse.com/~/media/electronics/datasheets/gas_discharge_tubes/littelfuse_gdt_se_datasheet.pdf.pdf,//media.digikey.com/Renders/Littelfuse%20Renders/1206%20(3216%20Metric).jpg,F6288CT-ND,SE140,Littelfuse Inc.,GDT 140V 500A SURFACE MOUNT,3289,0,"2.60000","0","1","Cut Tape (CT)","SE","Active","140V","500A","-","2","No","Surface Mount","1206 (3216 Metric)"
