Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Voltage - Max","Current - Max","Current - Hold (Ih) (Max)","Current - Trip (It)","Time to Trip","Resistance - Initial (Ri) (Min)","Resistance - Post Trip (R1) (Max)","Resistance - 25°C (Typ)","Operating Temperature","Ratings","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing"
https://belfuse.com/resources/CircuitProtection/datasheets/0ZCH%20Nov2016.pdf,//media.digikey.com/Photos/Bel%20Photos/OZCH-1210-CONCAVE%20SERIES.jpg,507-1786-6-ND,0ZCH0050FF2G,Bel Fuse Inc.,PTC RESET FUSE 16V 500MA 1210,137301,0,"Digi-Reel","0","1","Digi-Reel®","0ZCH","Active","Polymeric","16V","100A","500mA","1A","100ms","250 mOhms","900 mOhms","-","-40°C ~ 85°C","-","Surface Mount","1210 (3225 Metric), Concave","0.127"" L x 0.102"" W (3.22mm x 2.58mm)","-","0.030"" (0.75mm)","-"
https://belfuse.com/resources/CircuitProtection/datasheets/0ZCH%20Nov2016.pdf,//media.digikey.com/Photos/Bel%20Photos/OZCH-1210-CONCAVE%20SERIES.jpg,507-1782-2-ND,0ZCH0005FF2E,Bel Fuse Inc.,PTC RESET FUSE 60V 50MA 1210,54000,0,"0.05632","0","3000","Tape & Reel (TR)","0ZCH","Active","Polymeric","60V","10A","50mA","150mA","1.5s","3.6 Ohms","50 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1210 (3225 Metric), Concave","0.127"" L x 0.102"" W (3.22mm x 2.58mm)","-","0.045"" (1.15mm)","-"
https://belfuse.com/resources/CircuitProtection/datasheets/0ZCH%20Nov2016.pdf,//media.digikey.com/Photos/Bel%20Photos/OZCH-1210-CONCAVE%20SERIES.jpg,507-1782-1-ND,0ZCH0005FF2E,Bel Fuse Inc.,PTC RESET FUSE 60V 50MA 1210,56002,0,"0.13000","0","1","Cut Tape (CT)","0ZCH","Active","Polymeric","60V","10A","50mA","150mA","1.5s","3.6 Ohms","50 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1210 (3225 Metric), Concave","0.127"" L x 0.102"" W (3.22mm x 2.58mm)","-","0.045"" (1.15mm)","-"
https://belfuse.com/resources/CircuitProtection/datasheets/0ZCH%20Nov2016.pdf,//media.digikey.com/Photos/Bel%20Photos/OZCH-1210-CONCAVE%20SERIES.jpg,507-1782-6-ND,0ZCH0005FF2E,Bel Fuse Inc.,PTC RESET FUSE 60V 50MA 1210,56002,0,"Digi-Reel","0","1","Digi-Reel®","0ZCH","Active","Polymeric","60V","10A","50mA","150mA","1.5s","3.6 Ohms","50 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1210 (3225 Metric), Concave","0.127"" L x 0.102"" W (3.22mm x 2.58mm)","-","0.045"" (1.15mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCJ%20Nov2016.pdf,//media.digikey.com/Renders/Bel%20Fuse%20Renders/0ZCK-Series-1206.jpg,507-1800-2-ND,0ZCJ0035FF2G,Bel Fuse Inc.,PTC RESET FUSE 16V 350MA 1206,52000,0,"0.05632","0","4000","Tape & Reel (TR)","0ZCJ","Active","Polymeric","16V","40A","350mA","750mA","100ms","300 mOhms","1.2 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1206 (3216 Metric), Concave","0.128"" L x 0.065"" W (3.25mm x 1.65mm)","-","0.030"" (0.75mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCJ%20Nov2016.pdf,//media.digikey.com/Renders/Bel%20Fuse%20Renders/0ZCK-Series-1206.jpg,507-1800-1-ND,0ZCJ0035FF2G,Bel Fuse Inc.,PTC RESET FUSE 16V 350MA 1206,54148,0,"0.13000","0","1","Cut Tape (CT)","0ZCJ","Active","Polymeric","16V","40A","350mA","750mA","100ms","300 mOhms","1.2 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1206 (3216 Metric), Concave","0.128"" L x 0.065"" W (3.25mm x 1.65mm)","-","0.030"" (0.75mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCJ%20Nov2016.pdf,//media.digikey.com/Renders/Bel%20Fuse%20Renders/0ZCK-Series-1206.jpg,507-1800-6-ND,0ZCJ0035FF2G,Bel Fuse Inc.,PTC RESET FUSE 16V 350MA 1206,54148,0,"Digi-Reel","0","1","Digi-Reel®","0ZCJ","Active","Polymeric","16V","40A","350mA","750mA","100ms","300 mOhms","1.2 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1206 (3216 Metric), Concave","0.128"" L x 0.065"" W (3.25mm x 1.65mm)","-","0.030"" (0.75mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCJ%20Nov2016.pdf,//media.digikey.com/Renders/Bel%20Fuse%20Renders/0ZCK-Series-1206.jpg,507-1795-2-ND,0ZCJ0012FF2E,Bel Fuse Inc.,PTC RESET FUSE 48V 120MA 1206,48000,0,"0.05632","0","3000","Tape & Reel (TR)","0ZCJ","Active","Polymeric","48V","10A","120mA","390mA","200ms","1.4 Ohms","6.5 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1206 (3216 Metric), Concave","0.128"" L x 0.065"" W (3.25mm x 1.65mm)","-","0.033"" (0.85mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCJ%20Nov2016.pdf,//media.digikey.com/Renders/Bel%20Fuse%20Renders/0ZCK-Series-1206.jpg,507-1795-1-ND,0ZCJ0012FF2E,Bel Fuse Inc.,PTC RESET FUSE 48V 120MA 1206,50235,0,"0.13000","0","1","Cut Tape (CT)","0ZCJ","Active","Polymeric","48V","10A","120mA","390mA","200ms","1.4 Ohms","6.5 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1206 (3216 Metric), Concave","0.128"" L x 0.065"" W (3.25mm x 1.65mm)","-","0.033"" (0.85mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCJ%20Nov2016.pdf,//media.digikey.com/Renders/Bel%20Fuse%20Renders/0ZCK-Series-1206.jpg,507-1795-6-ND,0ZCJ0012FF2E,Bel Fuse Inc.,PTC RESET FUSE 48V 120MA 1206,50235,0,"Digi-Reel","0","1","Digi-Reel®","0ZCJ","Active","Polymeric","48V","10A","120mA","390mA","200ms","1.4 Ohms","6.5 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1206 (3216 Metric), Concave","0.128"" L x 0.065"" W (3.25mm x 1.65mm)","-","0.033"" (0.85mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCJ%20Nov2016.pdf,//media.digikey.com/Renders/Bel%20Fuse%20Renders/0ZCK-Series-1206.jpg,507-1796-2-ND,0ZCJ0016FF2E,Bel Fuse Inc.,PTC RESET FUSE 48V 160MA 1206,33000,0,"0.05632","0","3000","Tape & Reel (TR)","0ZCJ","Active","Polymeric","48V","10A","160mA","450mA","300ms","1.1 Ohms","5 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1206 (3216 Metric), Concave","0.128"" L x 0.065"" W (3.25mm x 1.65mm)","-","0.030"" (0.75mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCJ%20Nov2016.pdf,//media.digikey.com/Renders/Bel%20Fuse%20Renders/0ZCK-Series-1206.jpg,507-1796-1-ND,0ZCJ0016FF2E,Bel Fuse Inc.,PTC RESET FUSE 48V 160MA 1206,33361,0,"0.13000","0","1","Cut Tape (CT)","0ZCJ","Active","Polymeric","48V","10A","160mA","450mA","300ms","1.1 Ohms","5 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1206 (3216 Metric), Concave","0.128"" L x 0.065"" W (3.25mm x 1.65mm)","-","0.030"" (0.75mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCJ%20Nov2016.pdf,//media.digikey.com/Renders/Bel%20Fuse%20Renders/0ZCK-Series-1206.jpg,507-1796-6-ND,0ZCJ0016FF2E,Bel Fuse Inc.,PTC RESET FUSE 48V 160MA 1206,33361,0,"Digi-Reel","0","1","Digi-Reel®","0ZCJ","Active","Polymeric","48V","10A","160mA","450mA","300ms","1.1 Ohms","5 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1206 (3216 Metric), Concave","0.128"" L x 0.065"" W (3.25mm x 1.65mm)","-","0.030"" (0.75mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCG%20Nov2016.pdf,"//media.digikey.com/Photos/Bel%20Photos/1812-(4532-Metric),-Concave.jpg",507-1763-2-ND,0ZCG0075FF2C,Bel Fuse Inc.,PTC RESET FUSE 16V 750MA 1812,348000,0,"0.05984","0","2000","Tape & Reel (TR)","0ZCG","Active","Polymeric","16V","100A","750mA","1.5A","200ms","110 mOhms","450 mOhms","-","-40°C ~ 85°C","-","Surface Mount","1812 (4532 Metric), Concave","0.179"" L x 0.128"" W (4.55mm x 3.24mm)","-","0.026"" (0.65mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCG%20Nov2016.pdf,"//media.digikey.com/Photos/Bel%20Photos/1812-(4532-Metric),-Concave.jpg",507-1763-1-ND,0ZCG0075FF2C,Bel Fuse Inc.,PTC RESET FUSE 16V 750MA 1812,349665,0,"0.13000","0","1","Cut Tape (CT)","0ZCG","Active","Polymeric","16V","100A","750mA","1.5A","200ms","110 mOhms","450 mOhms","-","-40°C ~ 85°C","-","Surface Mount","1812 (4532 Metric), Concave","0.179"" L x 0.128"" W (4.55mm x 3.24mm)","-","0.026"" (0.65mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCG%20Nov2016.pdf,"//media.digikey.com/Photos/Bel%20Photos/1812-(4532-Metric),-Concave.jpg",507-1763-6-ND,0ZCG0075FF2C,Bel Fuse Inc.,PTC RESET FUSE 16V 750MA 1812,349665,0,"Digi-Reel","0","1","Digi-Reel®","0ZCG","Active","Polymeric","16V","100A","750mA","1.5A","200ms","110 mOhms","450 mOhms","-","-40°C ~ 85°C","-","Surface Mount","1812 (4532 Metric), Concave","0.179"" L x 0.128"" W (4.55mm x 3.24mm)","-","0.026"" (0.65mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCG%20Nov2016.pdf,"//media.digikey.com/Photos/Bel%20Photos/1812-(4532-Metric),-Concave.jpg",507-1755-2-ND,0ZCG0014FF2C,Bel Fuse Inc.,PTC RESET FUSE 60V 140MA 1812,610000,0,"0.06171","0","2000","Tape & Reel (TR)","0ZCG","Active","Polymeric","60V","10A","140mA","300mA","8ms","1.2 Ohms","6.5 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1812 (4532 Metric), Concave","0.179"" L x 0.128"" W (4.55mm x 3.24mm)","-","0.035"" (0.90mm)","-"
