Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Voltage - Clamping","Voltage","Technology","Number of Circuits","Applications","Mounting Type","Package / Case","Supplier Device Package"
https://www.bourns.com/docs/Product-Datasheets/LSP.pdf,//media.digikey.com/Photos/Bourns%20Photos/LSPXXXXBJR-S.jpg,LSP1300BJR-STR-ND,LSP1300BJR-S,Bourns Inc.,LED SHUNT PROTECTOR 13V SMD,18000,0,"0.29290","0","3000","Tape & Reel (TR)","-","Active","-","13V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","SMB (DO-214AA)"
https://www.bourns.com/docs/Product-Datasheets/LSP.pdf,//media.digikey.com/Photos/Bourns%20Photos/LSPXXXXBJR-S.jpg,LSP1300BJR-SCT-ND,LSP1300BJR-S,Bourns Inc.,LED SHUNT PROTECTOR 13V SMD,19965,0,"0.83000","0","1","Cut Tape (CT)","-","Active","-","13V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","SMB (DO-214AA)"
https://www.bourns.com/docs/Product-Datasheets/LSP.pdf,//media.digikey.com/Photos/Bourns%20Photos/LSPXXXXBJR-S.jpg,LSP1300BJR-SDKR-ND,LSP1300BJR-S,Bourns Inc.,LED SHUNT PROTECTOR 13V SMD,19965,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","-","13V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","SMB (DO-214AA)"
https://www.littelfuse.com/~/media/electronics/datasheets/varistors/littelfuse_varistor_lsp05gi_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/LSP05GI240S.jpg,F7565-ND,LSP05GI240S,Littelfuse Inc.,SURGE PROTECTOR 5KA 240VAC SER,106,0,"13.42000","0","1","Bulk","LSP","Active","-","240V","Surge Protector","1","LED Drivers, AC/DC SMPS","Screw","Module, Wire Leads","Module"
https://www.littelfuse.com/~/media/electronics/datasheets/varistors/littelfuse_varistor_lsp10_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_LSP_P.jpg,F6377-ND,LSP10240P,Littelfuse Inc.,SURGE PROTECTOR 10KA 240V PARL,143,0,"19.53000","0","1","Tray","LSP","Active","-","240V","Surge Protector","1","LED Drivers, AC/DC SMPS","Screw","Module, Wire Leads","Module"
https://hubbellcdn.com/specsheet/BSP3-20K.pdf,//media.digikey.com/photos/Thomas%20Research%20Products/BSP3.jpg,1121-1306-ND,BSP3-277-20KA-TN,Thomas Research Products,SURGE PRTCTR 277V/20K W/NPPL,134,0,"20.72000","0","1","Bulk","BSP3","Active","1.6kV","100 ~ 277V","Surge Protector","1","LED Drivers, AC/DC SMPS","Free Hanging","Module, Wire Leads","-"
https://www.littelfuse.com/~/media/electronics/datasheets/varistors/littelfuse_varistor_lsp10gihp_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_LSP10GIHP480S.jpg,F7562-ND,LSP10GIHP480S,Littelfuse Inc.,SURGE PROTECTOR 10KA 480V SERS,115,0,"22.43000","0","1","Bulk","LSP","Active","-","480V","Surge Protector","1","LED Drivers, AC/DC SMPS","Screw","Module, Wire Leads","Module"
https://www.bourns.com/docs/Product-Datasheets/LSP.pdf,//media.digikey.com/Photos/Bourns%20Photos/LSPXXXXBJR-S.jpg,LSP0600BJR-STR-ND,LSP0600BJR-S,Bourns Inc.,LED SHUNT PROTECTOR 6V SMD,3000,0,"0.27985","0","3000","Tape & Reel (TR)","-","Active","-","6V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","SMB (DO-214AA)"
https://www.bourns.com/docs/Product-Datasheets/LSP.pdf,//media.digikey.com/Photos/Bourns%20Photos/LSPXXXXBJR-S.jpg,LSP0600BJR-SCT-ND,LSP0600BJR-S,Bourns Inc.,LED SHUNT PROTECTOR 6V SMD,5413,0,"0.80000","0","1","Cut Tape (CT)","-","Active","-","6V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","SMB (DO-214AA)"
https://www.bourns.com/docs/Product-Datasheets/LSP.pdf,//media.digikey.com/Photos/Bourns%20Photos/LSPXXXXBJR-S.jpg,LSP0600BJR-SDKR-ND,LSP0600BJR-S,Bourns Inc.,LED SHUNT PROTECTOR 6V SMD,5413,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","-","6V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","SMB (DO-214AA)"
