Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Gender","Number of Positions or Pins (Grid)","Pitch","Height","Contact Finish","Contact Finish Thickness","Color","Material Flammability Rating","Dielectric Material","Voltage Rating","Current Rating (Amps)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=880584&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/880584-1.JPG,A122486-ND,880584-1,TE Connectivity AMP Connectors,CONN POST SHUNTS 2POS 15GOLD,16032,0,"0.46000","0","1","Bulk","-","Active","Closed Top, Grip","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.551"" (14.00mm)","Gold","15.0µin (0.38µm)","Black","UL94 V-0","Thermoplastic","-","3A"
https://www.molex.com/pdm_docs/sd/900590007_sd.pdf,//media.digikey.com/photos/Molex/90059-0007.JPG,WM1034-ND,0900590007,Molex,CONN SHUNT 2POS .100 TIN,10268,0,"0.46000","0","1","Strip","C-Grid 90059","Active","Open Top","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.190"" (4.83mm)","Tin","200.0µin (5.08µm)","Black","UL94 V-0","Polyester, Glass Filled","-","1.5A"
http://suddendocs.samtec.com/prints/mnt-1xx-xx-x-mkt.pdf,//media.digikey.com/photos/Samtec%20Photos/MNT-102-BK-T.JPG,SAM10619-ND,MNT-102-BK-T,Samtec Inc.,CONN SHUNT 4POS,1721,0,"0.47000","0","1","Bulk","MNT","Active","Open Top","Female Sockets","4 (2 x 2)","0.100"" (2.54mm)","0.240"" (6.10mm)","Tin","-","Black","UL94 V-0","Liquid Crystal Polymer (LCP)","-","3.9A per Contact"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/86730.pdf,//media.digikey.com/photos/FCI%20Photos/86730-001LF_FCI.JPG,609-3625-ND,86730-001LF,Amphenol ICC (FCI),MINITEK JUMPER 2MM 2POD AU BLK,13669,0,"0.48000","0","1","Bulk","Minitek® 2.00mm","Active","Open Top","Female Sockets","2 (1 x 2)","0.079"" (2.00mm)","0.138"" (3.50mm)","Gold","8.00µin (0.203µm)","Black","UL94 V-0","Polybutylene Terephthalate (PBT), Glass Filled","-","1A"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/65474.pdf,//media.digikey.com/Photos/FCI%20Photos/65474-001.jpg,609-4932-ND,65474-001,Amphenol ICC (FCI),MINI JUMP 2POS .100"",8172,0,"0.48000","0","1","Bulk","Mini-Jump™","Active","Closed Top","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.385"" (9.78mm)","Gold or Gold, GXT™","40.0µin (1.02µm)","Blue","UL94 V-0","Polyester","-","3A"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/65474.pdf,//media.digikey.com/photos/FCI%20Photos/65474-001lf.JPG,609-2835-ND,65474-001LF,Amphenol ICC (FCI),CONN MINI-JUMP SHUNT 2POS ..100"",9542,0,"0.48000","0","1","Bulk","Mini-Jump™","Active","Closed Top","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.385"" (9.78mm)","Gold or Gold, GXT™","40.0µin (1.02µm)","Blue","UL94 V-0","Polyester","-","3A"
http://multimedia.3m.com/mws/media/22102O/3mtm-100-in-shunt-100-midgie-929-series-ts0200.pdf,//media.digikey.com/photos/3M%20Photos/929957-08.jpg,929957-08-ND,929957-08,3M,SHORTING JUMPERS GOLD PLATED GRY,2287,0,"0.49000","0","1","Bulk","929","Active","Open Top","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.298"" (7.57mm)","Gold","30.0µin (0.76µm)","Gray","UL94 V-0","Polybutylene Terephthalate (PBT), Glass Filled","-","1A"
http://www.keyelco.com/product-pdf.cfm?p=3086,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1430-x.jpg,36-1430-5-ND,1430-5,Keystone Electronics,PIN SHORTING .500""DIA,2424,12500,"0.50000","0","1","Bulk","-","Active","Non-Insulated","Male Pins","2 (1 x 2)","0.500"" (12.70mm)","0.261"" (6.63mm)","Gold","-","-","-","-","-","-"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=A3-SP(A),//media.digikey.com/Photos/Hirose%20Elect%20Photos/A3-SP(A).jpg,H123085-ND,A3-SP(A),Hirose Electric Co Ltd,CONN SHUNT F 2 POS 2MM ST,2817,0,"0.51000","0","1","Bulk","A3","Active","Closed Top","Female Sockets","2 (1 x 2)","0.079"" (2.00mm)","0.138"" (3.50mm)","Gold","-","Black","UL94 V-0","Polybutylene Terephthalate (PBT)","200V","2A"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=390088&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Amp%20Photos/390088-1390088-2.jpg,390088-1-ND,390088-1,TE Connectivity AMP Connectors,CONN SHUNT DUAL BEAM 30AU PCB,2308,0,"0.51400","0","10","Strip","AMPMODU","Active","Open Top","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.247"" (6.27mm)","Gold","30.0µin (0.76µm)","Black","UL94 V-0","Polyester, Glass Filled","250VAC","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=390088&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Amp%20Photos/390088-1390088-2.jpg,390088-2-ND,390088-2,TE Connectivity AMP Connectors,CONN SHUNT DUAL BEAM 15AU PCB,10520,0,"0.64300","0","10","Strip","AMPMODU","Active","Open Top","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.247"" (6.27mm)","Gold","15.0µin (0.38µm)","Black","UL94 V-0","Polyester, Glass Filled","250VAC","-"
