Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Style","Connector Type","Number of Positions","Shape","Barrel Depth","Voltage","Mounting Type","Features"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=861753&DocType=Customer+Drawing&DocLang=English,-,5-861753-1-ND,5-861753-1,"TE Connectivity Aerospace, Defense and Marine",CONN LGH RCPT 1POS CIRC STR,0,0,"9.90850","0","1200","Bulk","-","Active","LGH","Receptacle","1","Circular","1.00"" (25.40mm)","20kVDC","Free Hanging (In-Line)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=834981&DocType=Customer+Drawing&DocLang=English,-,834981-1-ND,834981-1,"TE Connectivity Aerospace, Defense and Marine",CONN LGH CAP CIRC,0,0,"11.18600","0","400","Bulk","-","Active","LGH 1","Accessory - Cap","-","Circular","-","-","-","-"
-,-,863950-1-ND,863950-1,TE Connectivity AMP Connectors,"RUBBER BOOT, LGH",0,0,"11.59500","0","100","-","-","Active","-","-","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=861610&DocType=Customer+Drawing&DocLang=English,-,861610-3-ND,861610-3,TE Connectivity AMP Connectors,CONN LGH PLUG 1POS CYL STR,0,0,"12.01200","0","2400","Bulk","-","Active","LGH","Plug","1","Cylindrical","-","20kVDC","Free Hanging (In-Line)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862256&DocType=Customer+Drawing&DocLang=English,-,862256-1-ND,862256-1,TE Connectivity AMP Connectors,CONN LGH POTTING SHELL,0,0,"12.06400","0","1000","Bulk","-","Active","LGH","Accessory - Potting Shell","-","-","-","-","-","-"
-,-,863995-1-ND,863995-1,TE Connectivity AMP Connectors,END BELL,0,0,"12.64510","0","500","-","-","Active","-","-","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=864900&DocType=Customer+Drawing&DocLang=English,-,864900-2-ND,864900-2,"TE Connectivity Aerospace, Defense and Marine",CONN LGH HOUSING 6P CIRC PNL MNT,0,0,"13.52610","0","500","Bulk","-","Active","LGH","Housing","6","Circular","-","-","Panel Mount","Flange"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862197&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/x-862197-1.jpg,5-862197-1-ND,5-862197-1,"TE Connectivity Aerospace, Defense and Marine",CONN LGH RCPT 1POS CIRC STR,0,0,"13.57200","0","900","Bulk","-","Active","LGH","Receptacle","1","Circular","1.00"" (25.40mm)","20kVDC","Free Hanging (In-Line)","Flange"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=867156&DocType=Customer+Drawing&DocLang=English,-,867156-1-ND,867156-1,"TE Connectivity Aerospace, Defense and Marine",CONN LGH RCPT 1POS CIRC STR,0,0,"14.41720","0","500","Bulk","-","Active","LGH","Receptacle","1","Circular","0.60"" (15.24mm)","10kVDC","Free Hanging (In-Line)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862544&DocType=Customer+Drawing&DocLang=English,-,862544-1-ND,862544-1,"TE Connectivity Aerospace, Defense and Marine",CONN LGH POTTING SHELL,0,0,"14.46000","0","104","Bulk","-","Active","LGH","Accessory - Potting Shell","-","-","-","-","-","-"
