Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Connector Style","Connector Type","Number of Positions","Number of Rows","Mounting Type","Termination","Flange Feature","Type","Features","Contact Finish","Contact Finish Thickness"
https://www.hirose.com/product/document?clcode=CL0572-2768-1-71&productname=FX2-100P-0.635SH(71)&series=FX2&documenttype=Catalog&lang=en&documentid=D49368_en,//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2CA-68S-1.27DSA.jpg,H10615-ND,FX2CA-68S-1.27DSA(71),Hirose Electric Co Ltd,CONN RECEPT VERT 68POS 1.27MM,180,0,"5.33000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.norcomp.net/rohspdfs/SCSI-050Ribbon/11Y/111/111-YYY-113L001.pdf,//media.digikey.com/photos/Norcomp%20Photos/111-036-113L001.jpg,1036PMA-ND,111-036-113L001,NorComp Inc.,CONN SCSI PLUG 36POS VERT SOLDER,140,0,"5.58000","0","1","111","Active","Center Strip Contacts","Plug","36","2","Through Hole","Solder","Housing/Shell (Unthreaded)","SCSI","-","Gold","Flash"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2-68S-1.27DS(71),//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2-68S-1.27DS.jpg,H10642-ND,FX2-68S-1.27DS(71),Hirose Electric Co Ltd,CONN RECEPT R/A 68POS 1.27MM,110,0,"5.68000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.hirose.com/product/document?clcode=CL0572-2768-1-71&productname=FX2-100P-0.635SH(71)&series=FX2&documenttype=Catalog&lang=en&documentid=D49368_en,//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2BA-100PA-1.27DSA(71).JPG,H10515-ND,FX2BA-100PA-1.27DSA(71),Hirose Electric Co Ltd,CONN HEADER VERT 100POS 1.27MM,354,0,"5.70000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2B-100PA-1.27DSA(71),//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2B-100PA-1.27DSA.jpg,H10507-ND,FX2B-100PA-1.27DSA(71),Hirose Electric Co Ltd,CONN HEADER VERT 100POS 1.27MM,113,0,"5.70000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.norcomp.net/rohspdfs/SCSI-050Ribbon/11Y/112/112-YYY-213R001.pdf,//media.digikey.com/photos/Norcomp%20Photos/112-036-213R001.jpg,1036RFA-ND,112-036-213R001,NorComp Inc.,CONN SCSI RCPT 36POS R/A SOLDER,1565,0,"5.80000","0","1","112","Active","Outer Shroud Contacts","Receptacle","36","2","Through Hole, Right Angle","Solder","Housing/Shell (4-40)","SCSI","Bail Lock","Gold","Flash"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=552032&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Amp%20Photos/552032-1.jpg,A1542-ND,552032-1,TE Connectivity AMP Connectors,CONN PLUG 50POS STR IDC,1429,0,"5.98000","0","1","CHAMP .085","Active","Center Strip Contacts","Plug","50","2","Free Hanging (In-Line)","IDC","-","-","Bail Lock","Gold","30.0µin (0.76µm)"
http://multimedia.3m.com/mws/media/22348O/3mtm-mdr-050-bm-thru-hole-ra-receptacle-shielded-ts0621.pdf,//media.digikey.com/Photos/3M%20Photos/10226-55G3PL.JPG,3M156250-ND,10226-55G3PL,3M,CONN RCPT 26POS R/A SOLDER,1120,0,"6.01000","0","1","102, Mini D Ribbon (MDR)","Active","Outer Shroud Contacts","Receptacle","26","2","Panel Mount, Through Hole, Right Angle","Solder","Housing/Shell (M2.6)","-","Board Lock, Shielded","Gold","8.00µin (0.203µm)"
http://multimedia.3m.com/mws/media/22258O/3mtm-mini-d-ribbonmdr-050idc-wm-plug-shielded-ts0423.pdf,//media.digikey.com/photos/3M%20Photos/10114-6000EC.JPG,MPB14A-ND,10114-6000EC,3M,CONN PLUG 14POS STR IDC,200,0,"6.02000","0","1","101, Mini D Ribbon (MDR)","Active","Center Strip Contacts","Plug","14","2","Free Hanging (In-Line)","IDC","-","-","Shielded","Gold","30.0µin (0.76µm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1734037&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Amp%20Photos/1-1734037-0.jpg,A33470-ND,1-1734037-0,TE Connectivity AMP Connectors,CONN BTB RCPT 100POS R/A SOLDER,360,0,"6.04000","0","1","CHAMP .050 I","Active","Outer Shroud Contacts","Receptacle","100","2","Through Hole, Right Angle","Solder","-","Board to Board","Board Lock","Gold","Flash"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1734099&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1734099-6.JPG,1734099-6-ND,1734099-6,TE Connectivity AMP Connectors,CONN BTB PLUG 60POS R/A SOLDER,936,0,"6.17000","0","1","CHAMP .050 I","Active","Center Strip Contacts","Plug","60","2","Through Hole, Right Angle","Solder","-","Board to Board","Board Lock","Gold","Flash"
