Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Connector Style","Connector Type","Number of Positions","Number of Rows","Shell Size, Connector Layout","Contact Type","Mounting Type","Flange Feature","Termination","Features","Shell Material, Finish","Contact Finish","Contact Finish Thickness","Ingress Protection","Material Flammability Rating","Current Rating (Amps)","Operating Temperature"
//media.digikey.com/pdf/Data%20Sheets/Conec%20PDFs/DLSxXP5AK40X.pdf,//media.digikey.com/Photos/Conec%20Photos/DLS1XP5AK40X.jpg,626-1953-ND,DLS1XP5AK40X,Conec,CONN D-SUB PLUG 9 POS R/A SOLDER,1738,0,"1.31000","0","1","Bulk","-","Active","D-Sub","Plug, Male Pins","9","2","1 (DE, E)","Signal","Board Edge, Through Hole, Right Angle","Mating Side, Female Screwlock (4-40)","Solder","Board Lock, Grounding Indents","Steel, Tin Plated","Gold","8.00µin (0.203µm)","-","UL94 V-0","-","-"
https://www.norcomp.net/rohspdfs/Connectors/17Y/171/171-YYY-20YLYY1.pdf,//media.digikey.com/photos/Norcomp%20Photos/171-015-203L001.jpg,215FE-ND,171-015-203L001,NorComp Inc.,CONN D-SUB RCPT 15POS PNL MNT,4677,0,"1.38000","0","1","Tray","171","Active","D-Sub","Receptacle, Female Sockets","15","2","2 (DA, A)","Signal","Panel Mount","Housing/Shell (Unthreaded)","Solder Cup","-","Steel, Nickel Plated","Gold","Flash","-","UL94 V-0","5A","-50°C ~ 100°C"
https://www.norcomp.net/rohspdfs/Connectors/17Y/171/171-YYY-20YLYY1.pdf,//media.digikey.com/photos/Norcomp%20Photos/171-015-202l001.JPG,215FER-ND,171-015-202L001,NorComp Inc.,CONN D-SUB RCPT 15POS PNL MNT,3505,0,"1.38000","0","1","Tray","171","Active","D-Sub","Receptacle, Female Sockets","15","2","2 (DA, A)","Signal","Panel Mount","Housing/Shell (Unthreaded)","Solder Cup","-","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-50°C ~ 100°C"
https://www.norcomp.net/rohspdfs/Connectors/17Y/171/171-YYY-10YLYY1.pdf,//media.digikey.com/photos/Norcomp%20Photos/171-025-102l001.JPG,225MER-ND,171-025-102L001,NorComp Inc.,CONN D-SUB PLUG 25POS PNL MNT,2490,0,"1.42000","0","1","Tray","171","Active","D-Sub","Plug, Male Pins","25","2","3 (DB, B)","Signal","Panel Mount","Housing/Shell (Unthreaded)","Solder Cup","Grounding Indents","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-50°C ~ 100°C"
http://www.amphenol-icc.com/media/wysiwyg/files/drawing/10130912.pdf,//media.digikey.com/Photos/Amphenol%20Photos/LD15S24A4GV00LF.jpg,609-5195-ND,LD15S24A4GV00LF,Amphenol ICC (FCI),CONN D-SUB RCPT 15POS VERT SLDR,2298,0,"1.43000","0","1","Tray","LD","Active","D-Sub","Receptacle, Female Sockets","15","2","2 (DA, A)","Signal","Through Hole","Mating Side, Female Screwlock (4-40)","Solder","Board Lock","Nickel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-55°C ~ 105°C"
https://www.amphenolcanada.com/ProductSearch/drawings/AC/G17S2510110EU.pdf,//media.digikey.com/photos/Amphenol%20Photos/G17S2510110EU.jpg,G17S2510110EU-ND,G17S2510110EU,Amphenol ICC (Commercial Products),CONN D-SUB PLUG 25P SLDR CUP,2259,0,"1.45000","0","1","Tray","G17S","Active","D-Sub","Plug, Male Pins","25","2","3 (DB, B)","Signal","Free Hanging (In-Line)","Housing/Shell (Unthreaded)","Solder Cup","Grounding Indents","Steel, Tin Plated","-","Flash","-","UL94 V-0","5A","-"
https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/cmio/sd_hd_stamepd_formed_solder_cup_dsub.pdf,//media.digikey.com/photos/Amphenol%20Photos/L77SDC37S.JPG,L77SDC37S-ND,L77SDC37S,Amphenol ICC (Commercial Products),CONN D-SUB RCPT 37P SLDR CUP,2881,0,"1.58000","0","1","Bulk","SD","Active","D-Sub","Receptacle, Female Sockets","37","2","4 (DC, C)","Signal","Free Hanging (In-Line)","Housing/Shell (Unthreaded)","Solder Cup","-","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-55°C ~ 155°C"
https://www.amphenol-icc.com/media/wysiwyg/files/drawing/l77sdxxxsa4ch4f.pdf,//media.digikey.com/Photos/Amphenol%20Photos/L77SDE09SA4CH4F.JPG,L77SDE09SA4CH4F-ND,L77SDE09SA4CH4F,Amphenol ICC (Commercial Products),CONN D-SUB RCPT 9POS R/A SOLDER,1168,0,"1.64000","0","1","Tray","SD","Active","D-Sub","Receptacle, Female Sockets","9","2","1 (DE, E)","Signal","Through Hole, Right Angle","Mating Side, Female Screwlock (4-40)","Solder","Board Lock","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-55°C ~ 155°C"
http://www.amphenol-icc.com/media/wysiwyg/files/drawing/10090926.pdf,//media.digikey.com/Photos/FCI%20Photos/10090926-P154XLF.jpg,609-4022-ND,10090926-P154XLF,Amphenol ICC (FCI),CONN DSUB HD PLUG 15POS R/A SLDR,1569,0,"1.66000","0","1","Tray","10090926","Active","D-Sub, High Density","Plug, Male Pins","15","3","1 (DE, E) High Density","Signal","Board Edge, Through Hole, Right Angle","Board Side (4-40)","Solder","Board Lock, Grounding Indents, Mounting Brackets","Steel, Nickel Plated","Gold","Flash","-","UL94 V-0","2.5A","-55°C ~ 105°C"
http://www.amphenol-icc.com/media/wysiwyg/files/drawing/c01-8646-0294.pdf,//media.digikey.com/photos/Amphenol%20Photos/D09S_00LF.jpg,609-1484-ND,D09S13A4GX00LF,Amphenol ICC (FCI),CONN D-SUB RCPT 9POS R/A SOLDER,1982,0,"1.67000","0","1","Tray","Delta D","Active","D-Sub","Receptacle, Female Sockets","9","2","1 (DE, E)","Signal","Through Hole, Right Angle","Housing/Shell (4-40)","Solder","Board Lock, Mounting Bracket","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-55°C ~ 125°C"
