Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Number of Outputs","Voltage - Input (Min)","Voltage - Input (Max)","Voltage - Output 1","Voltage - Output 2","Voltage - Output 3","Voltage - Output 4","Current - Output (Max)","Power (Watts)","Voltage - Isolation","Applications","Features","Operating Temperature","Efficiency","Mounting Type","Package / Case","Size / Dimension","Supplier Device Package","Control Features"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftpsm82480,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;-4223492;-MOP;-24.jpg,296-49473-1-ND,TPSM82480MOPR,Texas Instruments,DC DC CONVERTER 0.6-5.5V,4279,10001,"6.69000","0","1","Cut Tape (CT)","TPS","Active","Non-Isolated PoL Module","1","2.4V","5.5V","0.6 ~ 5.5V","-","-","-","6A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 125°C","-","Surface Mount","24-SMD Module","0.31"" L x 0.14"" W x 0.06"" H (7.9mm x 3.6mm x 1.6mm)","24-QFM (7.9x3.6)","-"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftpsm82480,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;-4223492;-MOP;-24.jpg,296-49473-6-ND,TPSM82480MOPR,Texas Instruments,DC DC CONVERTER 0.6-5.5V,4279,10001,"Digi-Reel","0","1","Digi-Reel®","TPS","Active","Non-Isolated PoL Module","1","2.4V","5.5V","0.6 ~ 5.5V","-","-","-","6A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 125°C","-","Surface Mount","24-SMD Module","0.31"" L x 0.14"" W x 0.06"" H (7.9mm x 3.6mm x 1.6mm)","24-QFM (7.9x3.6)","-"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmz20502,//media.digikey.com/Photos/Texas%20Instr%20Photos/LMZ2170xSILT.jpg,296-38656-2-ND,LMZ20502SILT,Texas Instruments,DC DC CONVERTER 0.8-3.6V 2A,75250,10000,"3.55756","0","250","Tape & Reel (TR)","SIMPLE SWITCHER® Nano","Active","Non-Isolated PoL Module","1","2.7V","5.5V","0.8 ~ 3.6V","-","-","-","2A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 125°C","89%","Surface Mount","8-SMD Module","0.14"" L x 0.14"" W x 0.07"" H (3.5mm x 3.5mm x 1.8mm)","-","-"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmz20502,//media.digikey.com/Photos/Texas%20Instr%20Photos/LMZ2170xSILT.jpg,296-38656-1-ND,LMZ20502SILT,Texas Instruments,DC DC CONVERTER 0.8-3.6V 2A,76772,10001,"5.25000","0","1","Cut Tape (CT)","SIMPLE SWITCHER® Nano","Active","Non-Isolated PoL Module","1","2.7V","5.5V","0.8 ~ 3.6V","-","-","-","2A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 125°C","89%","Surface Mount","8-SMD Module","0.14"" L x 0.14"" W x 0.07"" H (3.5mm x 3.5mm x 1.8mm)","-","-"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmz20502,//media.digikey.com/Photos/Texas%20Instr%20Photos/LMZ2170xSILT.jpg,296-38656-6-ND,LMZ20502SILT,Texas Instruments,DC DC CONVERTER 0.8-3.6V 2A,76772,10001,"Digi-Reel","0","1","Digi-Reel®","SIMPLE SWITCHER® Nano","Active","Non-Isolated PoL Module","1","2.7V","5.5V","0.8 ~ 3.6V","-","-","-","2A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 125°C","89%","Surface Mount","8-SMD Module","0.14"" L x 0.14"" W x 0.07"" H (3.5mm x 3.5mm x 1.8mm)","-","-"
https://www.xppower.com/Portals/0/pdfs/SF_ISE.pdf,//media.digikey.com/Photos/XP%20Power/MFG_ISE-Series.jpg,1470-2948-2-ND,ISE1205A,XP Power,DC DC CONVERTER 5V 1W,5000,0,"3.57002","0","500","Tape & Reel (TR)","ISE (1W)","Active","Isolated Module","1","10.8V","13.2V","5V","-","-","-","200mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C","80%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.44"" W x 0.29"" H (12.7mm x 11.2mm x 7.3mm)","-","-"
https://www.xppower.com/Portals/0/pdfs/SF_ISE.pdf,//media.digikey.com/Photos/XP%20Power/MFG_ISE-Series.jpg,1470-2948-1-ND,ISE1205A,XP Power,DC DC CONVERTER 5V 1W,5611,0,"4.25000","0","1","Cut Tape (CT)","ISE (1W)","Active","Isolated Module","1","10.8V","13.2V","5V","-","-","-","200mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C","80%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.44"" W x 0.29"" H (12.7mm x 11.2mm x 7.3mm)","-","-"
https://www.xppower.com/Portals/0/pdfs/SF_ISE.pdf,//media.digikey.com/Photos/XP%20Power/MFG_ISE-Series.jpg,1470-2948-6-ND,ISE1205A,XP Power,DC DC CONVERTER 5V 1W,5611,0,"Digi-Reel","0","1","Digi-Reel®","ISE (1W)","Active","Isolated Module","1","10.8V","13.2V","5V","-","-","-","200mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C","80%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.44"" W x 0.29"" H (12.7mm x 11.2mm x 7.3mm)","-","-"
https://www.xppower.com/Portals/0/pdfs/SF_ISE.pdf,//media.digikey.com/Photos/XP%20Power/MFG_ISE-Series.jpg,1470-2950-2-ND,ISE1212A,XP Power,DC DC CONVERTER 12V 1W,1500,0,"3.57002","0","500","Tape & Reel (TR)","ISE (1W)","Active","Isolated Module","1","10.8V","13.2V","12V","-","-","-","84mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C","81%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.44"" W x 0.29"" H (12.7mm x 11.2mm x 7.3mm)","-","-"
https://www.xppower.com/Portals/0/pdfs/SF_ISE.pdf,//media.digikey.com/Photos/XP%20Power/MFG_ISE-Series.jpg,1470-2950-1-ND,ISE1212A,XP Power,DC DC CONVERTER 12V 1W,1801,0,"4.25000","0","1","Cut Tape (CT)","ISE (1W)","Active","Isolated Module","1","10.8V","13.2V","12V","-","-","-","84mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C","81%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.44"" W x 0.29"" H (12.7mm x 11.2mm x 7.3mm)","-","-"
https://www.xppower.com/Portals/0/pdfs/SF_ISE.pdf,//media.digikey.com/Photos/XP%20Power/MFG_ISE-Series.jpg,1470-2950-6-ND,ISE1212A,XP Power,DC DC CONVERTER 12V 1W,1801,0,"Digi-Reel","0","1","Digi-Reel®","ISE (1W)","Active","Isolated Module","1","10.8V","13.2V","12V","-","-","-","84mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C","81%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.44"" W x 0.29"" H (12.7mm x 11.2mm x 7.3mm)","-","-"
https://www.xppower.com/Portals/0/pdfs/SF_ISE.pdf,//media.digikey.com/Photos/XP%20Power/MFG_ISE-Series.jpg,1470-2946-2-ND,ISE0515A,XP Power,DC DC CONVERTER 15V 1W,1000,0,"3.57002","0","500","Tape & Reel (TR)","ISE (1W)","Active","Isolated Module","1","4.5V","5.5V","15V","-","-","-","67mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C","80%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.44"" W x 0.29"" H (12.7mm x 11.2mm x 7.3mm)","-","-"
https://www.xppower.com/Portals/0/pdfs/SF_ISE.pdf,//media.digikey.com/Photos/XP%20Power/MFG_ISE-Series.jpg,1470-2946-1-ND,ISE0515A,XP Power,DC DC CONVERTER 15V 1W,1900,0,"4.25000","0","1","Cut Tape (CT)","ISE (1W)","Active","Isolated Module","1","4.5V","5.5V","15V","-","-","-","67mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C","80%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.44"" W x 0.29"" H (12.7mm x 11.2mm x 7.3mm)","-","-"
https://www.xppower.com/Portals/0/pdfs/SF_ISE.pdf,//media.digikey.com/Photos/XP%20Power/MFG_ISE-Series.jpg,1470-2946-6-ND,ISE0515A,XP Power,DC DC CONVERTER 15V 1W,1900,0,"Digi-Reel","0","1","Digi-Reel®","ISE (1W)","Active","Isolated Module","1","4.5V","5.5V","15V","-","-","-","67mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C","80%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.44"" W x 0.29"" H (12.7mm x 11.2mm x 7.3mm)","-","-"
https://www.xppower.com/Portals/0/pdfs/SF_ISE.pdf,//media.digikey.com/Photos/XP%20Power/MFG_ISE-Series.jpg,1470-2955-2-ND,ISE2424A,XP Power,DC DC CONVERTER 24V 1W,1000,0,"3.57002","0","500","Tape & Reel (TR)","ISE (1W)","Active","Isolated Module","1","21.6V","26.4V","24V","-","-","-","42mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C","81%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.44"" W x 0.29"" H (12.7mm x 11.2mm x 7.3mm)","-","-"
https://www.xppower.com/Portals/0/pdfs/SF_ISE.pdf,//media.digikey.com/Photos/XP%20Power/MFG_ISE-Series.jpg,1470-2955-1-ND,ISE2424A,XP Power,DC DC CONVERTER 24V 1W,1417,0,"4.25000","0","1","Cut Tape (CT)","ISE (1W)","Active","Isolated Module","1","21.6V","26.4V","24V","-","-","-","42mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C","81%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.44"" W x 0.29"" H (12.7mm x 11.2mm x 7.3mm)","-","-"
https://www.xppower.com/Portals/0/pdfs/SF_ISE.pdf,//media.digikey.com/Photos/XP%20Power/MFG_ISE-Series.jpg,1470-2955-6-ND,ISE2424A,XP Power,DC DC CONVERTER 24V 1W,1417,0,"Digi-Reel","0","1","Digi-Reel®","ISE (1W)","Active","Isolated Module","1","21.6V","26.4V","24V","-","-","-","42mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C","81%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.44"" W x 0.29"" H (12.7mm x 11.2mm x 7.3mm)","-","-"
https://www.cui.com/product/resource/digikeypdf/pds1-m.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PDS1-M%20Series.jpg,102-2686-2-ND,PDS1-S5-S12-M-TR,CUI Inc.,DC DC CONVERTER 12V 1W,14000,0,"3.59800","0","500","Tape & Reel (TR)","PDS1-M (1W)","Active","Isolated Module","1","4.5V","5.5V","12V","-","-","-","83mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C (With Derating)","80%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.33"" W x 0.29"" H (12.7mm x 8.3mm x 7.3mm)","-","-"
https://www.cui.com/product/resource/digikeypdf/pds1-m.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PDS1-M%20Series.jpg,102-2686-1-ND,PDS1-S5-S12-M-TR,CUI Inc.,DC DC CONVERTER 12V 1W,14285,0,"4.63000","0","1","Cut Tape (CT)","PDS1-M (1W)","Active","Isolated Module","1","4.5V","5.5V","12V","-","-","-","83mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C (With Derating)","80%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.33"" W x 0.29"" H (12.7mm x 8.3mm x 7.3mm)","-","-"
https://www.cui.com/product/resource/digikeypdf/pds1-m.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PDS1-M%20Series.jpg,102-2686-6-ND,PDS1-S5-S12-M-TR,CUI Inc.,DC DC CONVERTER 12V 1W,14285,0,"Digi-Reel","0","1","Digi-Reel®","PDS1-M (1W)","Active","Isolated Module","1","4.5V","5.5V","12V","-","-","-","83mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C (With Derating)","80%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.33"" W x 0.29"" H (12.7mm x 8.3mm x 7.3mm)","-","-"
https://www.cui.com/product/resource/digikeypdf/pds1-m.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PDS1-M%20Series.jpg,102-3406-2-ND,PDS1-S24-S12-M-TR,CUI Inc.,DC DC CONVERTER 12V 1W,9500,0,"3.59800","0","500","Tape & Reel (TR)","PDS1-M (1W)","Active","Isolated Module","1","21.6V","26.4V","12V","-","-","-","84mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C (With Derating)","80%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.33"" W x 0.29"" H (12.7mm x 8.3mm x 7.3mm)","-","-"
