Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Terminal Type","Number of Positions","Pitch","Number of Rows","Row Spacing","Board Size","Material - Board","Features","Material Flammability Rating"
http://www.keyelco.com/product-pdf.cfm?p=5250,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_MS27249%20SERIES.jpg,36-MS27249-4E3-ND,MS272494E3,Keystone Electronics,TURRET BOARD 30POS 0.375"" SINGLE,0,0,"38.17010","0","100","-","Active","Turret Board, Scored","Turret, Single End, Double Turret","30","0.375"" (9.53mm)","2","2.000"" (50.80mm)","7.875"" L x 2.000"" W x 0.125"" H (200.03mm x 50.80mm x 3.18mm)","Glass Epoxy","-","-"
http://www.keyelco.com/product-pdf.cfm?p=5254,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_MS27249%20SERIES.jpg,36-MS27249-5B2-ND,MS272495B2,Keystone Electronics,TURRET BOARD 20POS 0.375"" SINGLE,0,0,"38.34010","0","100","-","Active","Turret Board, Scored","Turret, Single End, Double Turret","20","0.375"" (9.53mm)","2","2.500"" (63.50mm)","5.250"" L x 3.000"" W x 0.125"" H (133.35mm x 76.20mm x 3.18mm)","Glass Epoxy","-","-"
http://www.keyelco.com/product-pdf.cfm?p=5260,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_MS27249%20SERIES.jpg,36-MS27249-5E3-ND,MS272495E3,Keystone Electronics,TURRET BOARD 30POS 0.375"" SINGLE,0,0,"39.87000","0","100","-","Active","Turret Board, Scored","Turret, Single End, Double Turret","30","0.375"" (9.53mm)","2","2.500"" (63.50mm)","7.875"" L x 3.000"" W x 0.125"" H (200.03mm x 76.20mm x 3.18mm)","Glass Epoxy","-","-"
http://www.keyelco.com/product-pdf.cfm?p=3674,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_153xy.jpg,36-15330-ND,15330,Keystone Electronics,TURRET BOARD 66POS 0.375"" SINGLE,0,0,"40.44020","0","100","-","Active","Turret Board","Turret, Single End, Double Turret","66","0.375"" (9.53mm)","2","2.500"" (63.50mm)","13.125"" L x 3.000"" W x 0.093"" H (333.38mm x 76.20mm x 2.36mm)","Glass Epoxy","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=5225,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_MS27249%20SERIES.jpg,36-MS27249-2B3-ND,MS272492B3,Keystone Electronics,TURRET BOARD 30POS 0.375"" SINGLE,0,0,"41.48020","0","100","-","Active","Turret Board, Scored","Turret, Single End, Double Turret","30","0.375"" (9.53mm)","2","1.000"" (25.40mm)","7.785"" L x 1.500"" W x 0.093"" H (200.03mm x 38.10mm x 2.36mm)","Glass Epoxy","-","-"
http://www.keyelco.com/product-pdf.cfm?p=3446,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_150xy%20SERIES.jpg,36-15042-ND,15042,Keystone Electronics,TURRET BOARD 50POS 0.375"" DUAL,0,0,"43.05000","0","100","-","Active","Turret Board, Scored","Turret, Dual End, Double Turret","50","0.375"" (9.53mm)","2","1.000"" (25.40mm)","13.125"" L x 1.500"" W x 0.093"" H (333.38mm x 38.10mm x 2.36mm)","XP Phenolic","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3450,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_150xy%20SERIES.jpg,36-15046-ND,15046,Keystone Electronics,TURRET BOARD 50POS 0.375"" DUAL,0,0,"43.05000","0","100","-","Active","Turret Board, Scored","Turret, Dual End, Double Turret","50","0.375"" (9.53mm)","2","1.187"" (30.10mm)","13.125"" L x 1.500"" W x 0.093"" H (333.38mm x 38.10mm x 2.36mm)","XP Phenolic","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3467,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1507x.jpg,36-15072-ND,15072,Keystone Electronics,TURRET BOARD 50POS 0.375"" FORK,0,0,"43.05000","0","100","-","Active","Turret Board, Scored","Turret, Fork End, Hollow","50","0.375"" (9.53mm)","2","1.000"" (25.40mm)","13.125"" L x 1.500"" W x 0.093"" H (333.38mm x 38.10mm x 2.36mm)","XP Phenolic","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3471,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_150xy%20SERIES.jpg,36-15076-ND,15076,Keystone Electronics,TURRET BOARD 50POS 0.375"" FORK,0,0,"43.05000","0","100","-","Active","Turret Board, Scored","Turret, Fork End, Hollow","50","0.375"" (9.53mm)","2","1.187"" (30.10mm)","13.125"" L x 1.500"" W x 0.093"" H (333.38mm x 38.10mm x 2.36mm)","XP Phenolic","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3446,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_150xy%20SERIES.jpg,36-15043-ND,15043,Keystone Electronics,TURRET BOARD 50POS 0.375"" DUAL,0,0,"43.87020","0","100","-","Active","Turret Board, Scored","Turret, Dual End, Double Turret","50","0.375"" (9.53mm)","2","1.500"" (38.10mm)","13.125"" L x 2.000"" W x 0.093"" H (333.38mm x 50.80mm x 2.36mm)","XP Phenolic","Standard Strip","-"
